,,,,,,,,,,,,,,,,,,,,,,,,,,iShares New York Muni Bond ETF
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"875,942.48",0.16,"875,942.48","800,000.00",64990BZW6,US64990BZW61,-,108.24,United States,-,USD,1.68,0.28,1.0,"Oct 01, 2023",5.0,1.68,-,0.28,1.68,0.28,USD,"Apr 27, 2016","Apr 27, 2016"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"870,278.20",0.16,"870,278.20","1,000,000.00",59261APG6,US59261APG66,-,87.03,United States,-,USD,7.84,1.77,1.0,"Nov 15, 2029",0.0,7.74,-,1.77,7.74,1.77,USD,"Dec 14, 2017","Dec 14, 2017"
LONG ISLAND PWR AUTH N Y ELEC,Utility,Fixed Income,"868,533.50",0.16,"868,533.50","750,000.00",5426904K5,US5426904K52,-,114.14,United States,-,USD,6.41,4.06,1.0,"Sep 01, 2045",5.0,13.59,-,1.06,3.35,1.06,USD,"Dec 01, 2015","Dec 01, 2015"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"843,639.62",0.15,"843,639.62","720,000.00",64990BZL0,US64990BZL07,-,115.92,United States,-,USD,7.12,3.98,1.0,"Oct 01, 2046",5.0,14.78,-,1.15,3.85,1.15,USD,"Apr 27, 2016","Apr 27, 2016"
TRIBOROUGH BRDG & TUNL AUTH NY,Transportation,Fixed Income,"834,980.91",0.15,"834,980.91","665,000.00",89602RFJ9,US89602RFJ95,-,124.92,United States,-,USD,8.91,3.38,1.0,"Nov 15, 2043",5.0,14.17,-,1.43,6.32,1.43,USD,"May 23, 2019","May 23, 2019"
TRIBOROUGH BRDG & TUNL AUTH N Y RE,Prerefund/Escrow,Fixed Income,"832,275.00",0.15,"832,275.00","810,000.00",896029Z32,US896029Z323,-,100.0,United States,-,USD,0.02,50.0,1.0,"Jan 03, 2022",5.5,0.0,-,50.0,0.0,50.0,USD,"Aug 15, 1999","Aug 15, 1999"
LONG IS PWR AUTH N Y ELEC SYS,Utility,Fixed Income,"825,982.13",0.15,"825,982.13","700,000.00",542691CC2,US542691CC25,-,116.33,United States,-,USD,3.37,0.5,1.0,"Sep 01, 2025",5.0,3.36,-,0.5,3.36,0.5,USD,"Sep 26, 2019","Sep 26, 2019"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"817,918.59",0.15,"817,918.59","750,000.00",91802RAJ8,US91802RAJ86,-,108.83,United States,-,USD,3.07,3.83,1.0,"Dec 15, 2030",5.0,7.25,-,0.46,1.88,0.46,USD,"Dec 18, 2013","Dec 18, 2013"
ERIE CNTY NY INDL DEV AGY SCH,School Districts,Fixed Income,"814,001.80",0.15,"814,001.80","795,000.00",29509PJE0,US29509PJE07,-,101.56,United States,-,USD,0.36,4.49,1.0,"May 01, 2025",5.0,3.02,-,0.32,0.33,0.32,USD,"Apr 19, 2012","Apr 19, 2012"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"810,472.96",0.15,"810,472.96","740,000.00",64966K4Y6,US64966K4Y68,-,107.44,United States,-,USD,1.51,0.29,1.0,"Aug 01, 2023",5.0,1.51,-,0.29,1.51,0.29,USD,"Oct 16, 2013","Oct 16, 2013"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"804,815.58",0.15,"804,815.58","670,000.00",64990FFT6,US64990FFT66,-,118.23,United States,-,USD,3.75,0.52,1.0,"Feb 15, 2026",5.0,3.74,-,0.52,3.74,0.52,USD,"Oct 13, 2017","Oct 13, 2017"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"803,908.52",0.15,"803,908.52","750,000.00",650036BJ4,US650036BJ40,-,105.72,United States,-,USD,1.17,0.25,1.0,"Mar 15, 2023",5.0,1.17,-,0.25,1.17,0.25,USD,"Jul 23, 2020","Jul 23, 2020"
TRIBOROUGH BRDG & TUNL AUTH NY,Transportation,Fixed Income,"801,885.12",0.15,"801,885.12","625,000.00",89602RGP4,US89602RGP47,-,127.66,United States,-,USD,10.85,3.5,1.0,"Nov 15, 2051",5.0,16.31,-,1.78,7.73,1.78,USD,"Mar 31, 2021","Mar 31, 2021"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"801,756.50",0.15,"801,756.50","750,000.00",65000BHX9,US65000BHX91,-,106.66,United States,-,USD,13.28,2.62,1.0,"Jul 01, 2045",3.0,17.01,-,2.28,9.02,2.28,USD,"Dec 02, 2021","Dec 02, 2021"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"797,252.50",0.15,"797,252.50","500,000.00",64990C6P1,US64990C6P15,-,158.2,United States,-,USD,16.59,2.13,1.0,"Oct 01, 2048",5.0,17.2,-,2.13,17.2,2.13,USD,"May 16, 2018","May 16, 2018"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"795,360.20",0.15,"795,360.20","715,000.00",64990EMU8,US64990EMU81,-,109.35,United States,-,USD,3.13,3.66,1.0,"Feb 15, 2030",5.0,6.61,-,0.56,2.0,0.56,USD,"Mar 21, 2014","Mar 21, 2014"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"791,591.36",0.14,"791,591.36","645,000.00",64966MJM2,US64966MJM29,-,120.64,United States,-,USD,4.93,1.67,1.0,"Aug 01, 2028",5.0,5.64,-,0.84,4.51,0.84,USD,"Feb 22, 2017","Feb 22, 2017"
NEW YORK N Y CITY TRANSITIONAL,State Tax-Backed,Fixed Income,"787,350.48",0.14,"787,350.48","685,000.00",64972HWB4,US64972HWB40,-,112.64,United States,-,USD,5.47,4.11,1.0,"Jul 15, 2043",5.0,13.01,-,0.78,2.8,0.78,USD,"Jan 22, 2015","Jan 22, 2015"
HUDSON YDS INFRASTRUCTURE CORP,Local Tax-Backed,Fixed Income,"779,037.34",0.14,"779,037.34","650,000.00",44420RBG4,US44420RBG48,-,117.96,United States,-,USD,7.67,3.82,1.0,"Feb 15, 2045",5.0,14.23,-,1.36,4.53,1.36,USD,"May 30, 2017","May 30, 2017"
NEW YORK N Y,Prerefund/Escrow,Fixed Income,"760,344.93",0.14,"760,344.93","725,000.00",64966JL61,US64966JL615,-,102.79,United States,-,USD,0.57,0.21,1.0,"Aug 01, 2022",5.0,0.57,-,0.21,0.57,0.21,USD,"Jun 07, 2012","Jun 07, 2012"
NEW YORK ST PWR AUTH REV,Prerefund/Escrow,Fixed Income,"759,918.24",0.14,"759,918.24","725,000.00",64989KHX7,US64989KHX72,-,104.18,United States,-,USD,0.86,0.2,1.0,"Nov 15, 2022",5.0,0.86,-,0.2,0.86,0.2,USD,"Oct 06, 2011","Oct 06, 2011"
NEW YORK CITY NY MUNI WTR FIN AUTH,Utility,Fixed Income,"753,631.26",0.14,"753,631.26","625,000.00",64972GPJ7,US64972GPJ75,-,120.36,United States,-,USD,8.04,3.72,1.0,"Jun 15, 2046",5.0,15.0,-,1.14,4.87,1.14,USD,"Oct 12, 2017","Oct 12, 2017"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"750,401.77",0.14,"750,401.77","700,000.00",650035B80,US650035B806,-,105.73,United States,-,USD,1.23,2.32,1.0,"Mar 15, 2024",5.0,2.07,-,0.24,1.17,0.24,USD,"Sep 26, 2013","Sep 26, 2013"
METROPOLITAN TRANSN AUTH N Y D,Local Tax-Backed,Fixed Income,"745,877.03",0.14,"745,877.03","630,000.00",59259N3L5,US59259N3L57,-,117.75,United States,-,USD,7.35,3.88,1.0,"Nov 15, 2046",5.0,13.43,-,1.23,4.38,1.23,USD,"May 26, 2016","May 26, 2016"
TRIBOROUGH BRDG & TUNL AUTH N,Transportation,Fixed Income,"743,481.25",0.14,"743,481.25","710,000.00",89602NB37,US89602NB370,-,104.08,United States,-,USD,1.05,3.86,1.0,"Nov 15, 2025",5.0,3.49,-,0.32,0.86,0.32,USD,"Aug 23, 2012","Aug 23, 2012"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"733,143.97",0.13,"733,143.97","700,000.00",91802RBC2,US91802RBC25,-,104.51,United States,-,USD,1.0,3.38,1.0,"Dec 15, 2024",5.0,2.74,-,0.27,0.94,0.27,USD,"Oct 27, 2015","Oct 27, 2015"
METROPOLITAN TRANSN AUTH N Y D,Local Tax-Backed,Fixed Income,"732,794.52",0.13,"732,794.52","850,000.00",59259NT29,US59259NT294,-,86.21,United States,-,USD,8.83,1.68,1.0,"Nov 15, 2030",0.0,8.73,-,1.68,8.73,1.68,USD,"Oct 25, 2012","Oct 25, 2012"
NASSAU CNTY N Y INTERIM FIN AU,Local Tax-Backed,Fixed Income,"726,574.85",0.13,"726,574.85","540,000.00",631663QZ7,US631663QZ76,-,133.91,United States,-,USD,8.77,2.0,1.0,"Nov 15, 2034",5.0,10.0,-,1.17,7.8,1.17,USD,"Feb 17, 2021","Feb 17, 2021"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"712,442.22",0.13,"712,442.22","665,000.00",64985HNE3,US64985HNE35,-,106.5,United States,-,USD,1.33,0.26,1.0,"May 15, 2023",5.0,1.34,-,0.26,1.34,0.26,USD,"Jul 02, 2014","Jul 02, 2014"
NEW YORK ST TWY AUTH GEN REV J,Transportation,Fixed Income,"704,468.52",0.13,"704,468.52","600,000.00",650010BB6,US650010BB63,-,114.91,United States,-,USD,6.93,4.11,1.0,"Jan 01, 2051",5.0,15.3,-,1.17,3.6,1.17,USD,"May 12, 2016","May 12, 2016"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"704,129.05",0.13,"704,129.05","600,000.00",91802RBQ1,US91802RBQ11,-,117.13,United States,-,USD,5.8,3.44,1.0,"Dec 15, 2035",5.0,10.21,-,0.61,3.65,0.61,USD,"Oct 27, 2015","Oct 27, 2015"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"701,265.35",0.13,"701,265.35","655,000.00",650035C71,US650035C713,-,105.59,United States,-,USD,2.12,4.26,1.0,"Mar 15, 2031",5.0,7.29,-,0.35,1.17,0.35,USD,"Sep 26, 2013","Sep 26, 2013"
NEW YORK N Y CITY INDL DEV AGY,Local Tax-Backed,Fixed Income,"701,270.00",0.13,"701,270.00","600,000.00",64971PKJ3,US64971PKJ39,-,115.55,United States,-,USD,10.7,3.06,1.0,"Mar 01, 2045",4.0,14.57,-,2.03,7.35,2.03,USD,"Oct 06, 2020","Oct 06, 2020"
BROOKHAVEN N Y,Local Tax-Backed,Fixed Income,"697,479.86",0.13,"697,479.86","600,000.00",113152VX7,US113152VX78,-,115.41,United States,-,USD,3.55,1.94,1.0,"May 01, 2027",5.0,4.72,-,0.35,3.1,0.35,USD,"May 19, 2015","May 19, 2015"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"685,568.61",0.13,"685,568.61","670,000.00",64971QVJ9,US64971QVJ92,-,101.49,United States,-,USD,1.3,4.87,1.0,"May 01, 2039",5.0,10.57,-,0.52,0.33,0.52,USD,"Jun 19, 2012","Jun 19, 2012"
PORT AUTH N Y & N J,Transportation,Fixed Income,"684,800.77",0.13,"684,800.77","520,000.00",73358W6E9,US73358W6E98,-,129.39,United States,-,USD,6.39,0.95,1.0,"Jul 15, 2029",5.0,6.39,-,0.95,6.39,0.95,USD,"Jul 22, 2020","Jul 22, 2020"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"680,842.21",0.12,"680,842.21","565,000.00",64966MHF9,US64966MHF95,-,120.09,United States,-,USD,6.15,2.98,1.0,"Dec 01, 2033",5.0,9.23,-,0.82,4.44,0.82,USD,"Dec 20, 2016","Dec 20, 2016"
TRIBOROUGH BRDG & TUNL AUTH N,Transportation,Fixed Income,"680,767.68",0.12,"680,767.68","650,000.00",89602NZF4,US89602NZF40,-,104.09,United States,-,USD,0.97,3.49,1.0,"Nov 15, 2024",5.0,2.65,-,0.3,0.86,0.3,USD,"Aug 23, 2012","Aug 23, 2012"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"680,776.54",0.12,"680,776.54","650,000.00",91802RDE6,US91802RDE62,-,104.51,United States,-,USD,1.06,3.38,1.0,"Dec 15, 2024",5.0,2.74,-,0.27,0.94,0.27,USD,"Sep 08, 2016","Sep 08, 2016"
NEW YORK ST,State Tax-Backed,Fixed Income,"680,137.71",0.12,"680,137.71","500,000.00",649791QS2,US649791QS23,-,134.56,United States,-,USD,7.63,1.05,1.0,"Mar 15, 2031",5.0,7.64,-,1.05,7.64,1.05,USD,"Mar 23, 2021","Mar 23, 2021"
NASSAU CNTY N Y INTERIM FIN AU,Local Tax-Backed,Fixed Income,"677,948.14",0.12,"677,948.14","500,000.00",631663QU8,US631663QU89,-,134.95,United States,-,USD,7.93,1.23,1.0,"Nov 15, 2031",5.0,8.14,-,1.07,7.81,1.07,USD,"Feb 17, 2021","Feb 17, 2021"
SUFFOLK CNTY N Y WTR AUTH WTRW,Utility,Fixed Income,"669,876.62",0.12,"669,876.62","610,000.00",864784GL1,US864784GL18,-,109.57,United States,-,USD,11.97,2.44,1.0,"Jun 01, 2044",3.0,16.55,-,1.77,7.47,1.77,USD,"May 12, 2020","May 12, 2020"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"665,817.21",0.12,"665,817.21","500,000.00",650036BS4,US650036BS49,-,131.69,United States,-,USD,7.41,1.33,1.0,"Mar 15, 2031",5.0,7.61,-,1.16,7.27,1.16,USD,"Jul 23, 2020","Jul 23, 2020"
LONG IS PWR AUTH N Y ELEC SYS,Utility,Fixed Income,"663,681.60",0.12,"663,681.60","500,000.00",542691EH9,US542691EH93,-,131.49,United States,-,USD,7.25,1.17,1.0,"Sep 01, 2030",5.0,7.26,-,1.17,7.26,1.17,USD,"Sep 30, 2021","Sep 30, 2021"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"661,722.51",0.12,"661,722.51","500,000.00",64972GWD2,US64972GWD23,-,132.12,United States,-,USD,7.16,1.02,1.0,"Jun 15, 2030",5.0,7.17,-,1.02,7.17,1.02,USD,"Feb 13, 2020","Feb 13, 2020"
NEW YORK N Y CITY TRANSITIONAL,State Tax-Backed,Fixed Income,"661,415.75",0.12,"661,415.75","560,000.00",64972HZA3,US64972HZA30,-,115.8,United States,-,USD,6.61,3.91,1.0,"Jul 15, 2043",5.0,13.08,-,1.0,3.64,1.0,USD,"Mar 17, 2016","Mar 17, 2016"
PORT AUTH N Y & N J,Transportation,Fixed Income,"661,315.58",0.12,"661,315.58","500,000.00",73358W6J8,US73358W6J85,-,129.96,United States,-,USD,7.89,2.07,1.0,"Jul 15, 2033",5.0,9.02,-,1.28,7.1,1.28,USD,"Jul 22, 2020","Jul 22, 2020"
NASSAU CNTY N Y INTERIM FIN AU,Local Tax-Backed,Fixed Income,"656,073.74",0.12,"656,073.74","500,000.00",631663QS3,US631663QS34,-,130.58,United States,-,USD,6.72,0.96,1.0,"Nov 15, 2029",5.0,6.73,-,0.96,6.73,0.96,USD,"Feb 17, 2021","Feb 17, 2021"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"655,312.46",0.12,"655,312.46","640,000.00",64986AU90,US64986AU902,-,102.17,United States,-,USD,0.48,4.06,1.0,"Jun 15, 2024",5.0,2.29,-,0.23,0.46,0.23,USD,"May 31, 2012","May 31, 2012"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"655,124.37",0.12,"655,124.37","640,000.00",64986AU82,US64986AU829,-,102.14,United States,-,USD,0.46,3.48,1.0,"Jun 15, 2023",5.0,1.4,-,0.29,0.45,0.29,USD,"May 31, 2012","May 31, 2012"
NEW YORK ST TWY AUTH GEN REV J,Transportation,Fixed Income,"649,457.06",0.12,"649,457.06","585,000.00",650010BA8,US650010BA80,-,109.02,United States,-,USD,8.15,3.5,1.0,"Jan 01, 2051",4.0,16.61,-,1.66,3.65,1.66,USD,"May 12, 2016","May 12, 2016"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"644,777.84",0.12,"644,777.84","500,000.00",64985HC47,US64985HC477,-,127.07,United States,-,USD,8.8,3.29,1.0,"Aug 15, 2044",5.0,13.49,-,1.26,6.45,1.26,USD,"Jun 13, 2019","Jun 13, 2019"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"643,731.65",0.12,"643,731.65","500,000.00",64990C6N6,US64990C6N66,-,127.5,United States,-,USD,5.85,0.81,1.0,"Oct 01, 2028",5.0,5.86,-,0.81,5.86,0.81,USD,"May 16, 2018","May 16, 2018"
ONONDAGA CNTY N Y TR CULTURAL,Education,Fixed Income,"643,419.53",0.12,"643,419.53","500,000.00",68276FDM9,US68276FDM95,-,128.27,United States,-,USD,9.12,3.03,1.0,"Dec 01, 2040",5.0,13.04,-,1.24,6.75,1.24,USD,"Dec 19, 2019","Dec 19, 2019"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"643,201.51",0.12,"643,201.51","600,000.00",650035ZM3,US650035ZM30,-,105.73,United States,-,USD,1.23,2.32,1.0,"Mar 15, 2024",5.0,2.07,-,0.24,1.17,0.24,USD,"Mar 19, 2013","Mar 19, 2013"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"642,629.80",0.12,"642,629.80","500,000.00",64990GVH2,US64990GVH28,-,126.03,United States,-,USD,9.54,3.54,1.0,"Jul 01, 2050",5.0,16.31,-,1.34,6.33,1.34,USD,"Nov 26, 2019","Nov 26, 2019"
ONONDAGA CNTY N Y TR CULTURAL,Education,Fixed Income,"639,695.08",0.12,"639,695.08","500,000.00",68276FDP2,US68276FDP27,-,127.52,United States,-,USD,9.55,3.24,1.0,"Dec 01, 2043",5.0,14.11,-,1.33,6.74,1.33,USD,"Dec 19, 2019","Dec 19, 2019"
TRIBOROUGH BRDG & TUNL AUTH NY,Transportation,Fixed Income,"639,530.04",0.12,"639,530.04","500,000.00",89602RGQ2,US89602RGQ20,-,127.27,United States,-,USD,11.07,3.62,1.0,"Nov 15, 2056",5.0,17.89,-,1.82,7.72,1.82,USD,"Mar 31, 2021","Mar 31, 2021"
NEW YORK N Y CITY TRANSITIONAL,State Tax-Backed,Fixed Income,"637,544.23",0.12,"637,544.23","500,000.00",64972HF98,US64972HF981,-,125.2,United States,-,USD,6.44,2.07,1.0,"Jul 15, 2031",5.0,7.71,-,1.01,5.64,1.01,USD,"Mar 22, 2018","Mar 22, 2018"
NEW YORK N Y CITY TRANSITIONAL,State Tax-Backed,Fixed Income,"637,544.23",0.12,"637,544.23","500,000.00",64972HY30,US64972HY305,-,125.2,United States,-,USD,6.44,2.07,1.0,"Jul 15, 2031",5.0,7.71,-,1.01,5.64,1.01,USD,"Oct 25, 2018","Oct 25, 2018"
NEW YORK N Y CITY TR CULTURAL,Education,Fixed Income,"633,666.95",0.12,"633,666.95","500,000.00",649717UH6,US649717UH62,-,124.23,United States,-,USD,7.83,2.98,1.0,"Jan 01, 2037",5.0,10.84,-,1.36,5.96,1.36,USD,"Nov 15, 2018","Nov 15, 2018"
PORT AUTH N Y & N J,Transportation,Fixed Income,"633,408.48",0.12,"633,408.48","500,000.00",73358WV92,US73358WV921,-,124.38,United States,-,USD,7.38,2.82,1.0,"Jul 15, 2035",5.0,10.08,-,1.12,5.63,1.12,USD,"May 04, 2018","May 04, 2018"
NEW YORK N Y CITY TR CULTURAL,Education,Fixed Income,"632,409.35",0.12,"632,409.35","500,000.00",649717UJ2,US649717UJ29,-,123.98,United States,-,USD,8.15,3.09,1.0,"Jan 01, 2038",5.0,11.34,-,1.39,5.95,1.39,USD,"Nov 15, 2018","Nov 15, 2018"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"631,665.76",0.12,"631,665.76","500,000.00",64986DJD8,US64986DJD84,-,126.11,United States,-,USD,5.67,0.84,1.0,"Jun 15, 2028",5.0,5.67,-,0.84,5.67,0.84,USD,"Oct 08, 2019","Oct 08, 2019"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"631,054.20",0.12,"631,054.20","500,000.00",64990GTN2,US64990GTN24,-,123.71,United States,-,USD,9.45,3.63,1.0,"Jul 01, 2049",5.0,15.26,-,1.63,6.31,1.63,USD,"Oct 08, 2019","Oct 08, 2019"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"630,507.18",0.12,"630,507.18","500,000.00",64966QAQ3,US64966QAQ38,-,125.68,United States,-,USD,7.73,2.76,1.0,"Dec 01, 2035",5.0,10.47,-,1.13,6.0,1.13,USD,"Dec 18, 2018","Dec 18, 2018"
MONROE CNTY N Y,Local Tax-Backed,Fixed Income,"630,167.59",0.12,"630,167.59","565,000.00",61074PSP3,US61074PSP35,-,111.12,United States,-,USD,2.31,0.37,1.0,"Jun 01, 2024",5.0,2.3,-,0.37,2.3,0.37,USD,"Oct 27, 2016","Oct 27, 2016"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"627,785.21",0.11,"627,785.21","600,000.00",59261ANA1,US59261ANA15,-,103.99,United States,-,USD,0.86,0.41,1.0,"Nov 15, 2022",5.0,0.86,-,0.41,0.86,0.41,USD,"Sep 28, 2017","Sep 28, 2017"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"626,946.90",0.11,"626,946.90","500,000.00",64990CQD6,US64990CQD64,-,124.14,United States,-,USD,5.08,0.71,1.0,"Oct 01, 2027",5.0,5.08,-,0.71,5.08,0.71,USD,"Mar 01, 2017","Mar 01, 2017"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"625,574.87",0.11,"625,574.87","500,000.00",64966QGQ7,US64966QGQ73,-,123.03,United States,-,USD,4.92,0.78,1.0,"Aug 01, 2027",5.0,4.91,-,0.78,4.91,0.78,USD,"Feb 25, 2020","Feb 25, 2020"
ERIE CNTY NY INDL DEV AGY SCH,School Districts,Fixed Income,"624,705.12",0.11,"624,705.12","500,000.00",29509PLE7,US29509PLE78,-,121.86,United States,-,USD,4.69,0.8,1.0,"May 01, 2027",5.0,4.68,-,0.8,4.68,0.8,USD,"May 19, 2021","May 19, 2021"
NEW YORK ST DORM AUTH SALES TA,State Tax-Backed,Fixed Income,"622,219.31",0.11,"622,219.31","500,000.00",64990AKC8,US64990AKC89,-,122.97,United States,-,USD,7.68,3.18,1.0,"Mar 15, 2038",5.0,11.51,-,1.15,5.41,1.15,USD,"Jul 19, 2018","Jul 19, 2018"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"619,920.60",0.11,"619,920.60","500,000.00",64990GHV7,US64990GHV77,-,121.48,United States,-,USD,8.84,3.72,1.0,"Jul 01, 2048",5.0,14.82,-,1.52,5.57,1.52,USD,"Oct 11, 2018","Oct 11, 2018"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"618,808.99",0.11,"618,808.99","500,000.00",59261AZQ3,US59261AZQ39,-,123.12,United States,-,USD,9.23,3.34,1.0,"Nov 15, 2040",5.0,12.85,-,1.83,6.66,1.83,USD,"Aug 14, 2019","Aug 14, 2019"
NEW YORK ST,State Tax-Backed,Fixed Income,"618,256.21",0.11,"618,256.21","500,000.00",649791QN3,US649791QN36,-,122.18,United States,-,USD,4.64,0.66,1.0,"Mar 15, 2027",5.0,4.64,-,0.66,4.64,0.66,USD,"Mar 23, 2021","Mar 23, 2021"
LONG IS PWR AUTH N Y ELEC SYS,Utility,Fixed Income,"617,723.10",0.11,"617,723.10","600,000.00",542691CR9,US542691CR93,-,102.4,United States,-,USD,2.75,1.54,1.0,"Sep 01, 2024",1.65,22.11,-,0.53,2.12,0.53,USD,"Sep 26, 2019","Sep 26, 2019"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"616,638.69",0.11,"616,638.69","500,000.00",64990FGE8,US64990FGE88,-,121.44,United States,-,USD,6.96,3.2,1.0,"Feb 15, 2037",5.0,10.9,-,1.06,4.94,1.06,USD,"Oct 13, 2017","Oct 13, 2017"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"616,068.11",0.11,"616,068.11","500,000.00",6500357G7,US6500357G77,-,121.74,United States,-,USD,7.53,3.33,1.0,"Mar 15, 2039",5.0,11.96,-,1.06,5.02,1.06,USD,"Dec 21, 2017","Dec 21, 2017"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"615,377.05",0.11,"615,377.05","500,000.00",64966MA25,US64966MA257,-,121.83,United States,-,USD,8.51,3.61,1.0,"Apr 01, 2045",5.0,14.3,-,1.35,5.44,1.35,USD,"Apr 19, 2018","Apr 19, 2018"
TRIBOROUGH BRDG & TUNL AUTH NY,Transportation,Fixed Income,"615,043.89",0.11,"615,043.89","500,000.00",89602RDV4,US89602RDV42,-,122.37,United States,-,USD,8.55,3.52,1.0,"Nov 15, 2043",5.0,14.08,-,1.33,5.57,1.33,USD,"Feb 01, 2018","Feb 01, 2018"
NEW YORK ST DORM AUTH REVS,Education,Fixed Income,"613,265.00",0.11,"613,265.00","400,000.00",64983XWC4,US64983XWC46,-,150.57,United States,-,USD,10.88,2.17,1.0,"Jul 01, 2040",5.5,11.01,-,2.17,11.01,2.17,USD,"Mar 15, 2001","Mar 15, 2001"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"611,549.16",0.11,"611,549.16","510,000.00",64990BA29,US64990BA292,-,118.66,United States,-,USD,4.27,1.59,1.0,"Oct 01, 2027",5.0,5.04,-,0.55,3.87,0.55,USD,"Apr 27, 2016","Apr 27, 2016"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"610,013.41",0.11,"610,013.41","500,000.00",6500353V8,US6500353V80,-,120.53,United States,-,USD,5.88,2.69,1.0,"Mar 15, 2032",5.0,8.13,-,0.95,4.63,0.95,USD,"Mar 23, 2017","Mar 23, 2017"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"609,666.94",0.11,"609,666.94","500,000.00",64990FWF7,US64990FWF79,-,120.04,United States,-,USD,6.6,3.22,1.0,"Feb 15, 2036",5.0,10.34,-,0.98,4.54,0.98,USD,"Jul 13, 2017","Jul 13, 2017"
HUDSON YDS INFRASTRUCTURE CORP,Local Tax-Backed,Fixed Income,"608,837.54",0.11,"608,837.54","500,000.00",44420RAV2,US44420RAV24,-,119.88,United States,-,USD,6.05,2.9,1.0,"Feb 15, 2033",5.0,8.65,-,1.01,4.54,1.01,USD,"May 30, 2017","May 30, 2017"
SYRACUSE NY INDL DEV AGY FAC REVEN,School Districts,Fixed Income,"608,808.27",0.11,"608,808.27","500,000.00",871683EM6,US871683EM65,-,120.93,United States,-,USD,5.81,2.47,1.0,"May 01, 2031",5.0,7.61,-,0.96,4.76,0.96,USD,"Apr 11, 2019","Apr 11, 2019"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"608,798.77",0.11,"608,798.77","500,000.00",64966MQ44,US64966MQ444,-,119.68,United States,-,USD,4.12,0.64,1.0,"Aug 01, 2026",5.0,4.11,-,0.64,4.11,0.64,USD,"Mar 19, 2019","Mar 19, 2019"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"608,506.76",0.11,"608,506.76","500,000.00",64972GPQ1,US64972GPQ19,-,121.48,United States,-,USD,6.14,2.64,1.0,"Jun 15, 2032",5.0,8.38,-,0.95,4.88,0.95,USD,"Oct 12, 2017","Oct 12, 2017"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"607,026.71",0.11,"607,026.71","500,000.00",64972GNK6,US64972GNK66,-,121.18,United States,-,USD,6.92,3.16,1.0,"Jun 15, 2036",5.0,10.69,-,1.0,4.88,1.0,USD,"Mar 23, 2017","Mar 23, 2017"
