,,,,,,,,,,,,,,,,,,,,,,,,,,iShares Short-Term National Muni Bond ETF
NEW YORK ST DORM AUTH REVS ST,State Tax-Backed,Fixed Income,"665,476.75",0.01,"665,476.75","650,000.00",64990HML1,US64990HML14,-,101.74,United States,-,USD,0.37,3.68,1.0,"May 15, 2023",5.0,1.31,-,0.31,0.37,0.31,USD,"Feb 23, 2012","Feb 23, 2012"
NORTH CAROLINA ST,State Tax-Backed,Fixed Income,"665,673.30",0.01,"665,673.30","650,000.00",6582564B5,US6582564B53,-,101.99,United States,-,USD,0.42,0.21,1.0,"Jun 01, 2022",5.0,0.42,-,0.21,0.42,0.21,USD,"Sep 19, 2019","Sep 19, 2019"
TEXAS ST,State Tax-Backed,Fixed Income,"665,308.16",0.01,"665,308.16","585,000.00",882723SP5,US882723SP57,-,112.48,United States,-,USD,2.58,0.43,1.0,"Oct 01, 2024",5.0,2.58,-,0.43,2.58,0.43,USD,"Dec 18, 2014","Dec 18, 2014"
CONNECTICUT ST SPL TAX OBLIG R,State Tax-Backed,Fixed Income,"664,694.76",0.01,"664,694.76","565,000.00",207758TY9,US207758TY95,-,115.53,United States,-,USD,3.5,1.48,1.0,"Aug 01, 2026",5.0,4.08,-,0.61,3.28,0.61,USD,"Oct 15, 2015","Oct 15, 2015"
CONNECTICUT ST,State Tax-Backed,Fixed Income,"661,589.27",0.01,"661,589.27","605,000.00",20772JPF3,US20772JPF39,-,107.46,United States,-,USD,1.65,2.06,1.0,"Aug 15, 2024",5.0,2.43,-,0.38,1.55,0.38,USD,"Aug 29, 2013","Aug 29, 2013"
PENNSYLVANIA ST,State Tax-Backed,Fixed Income,"659,439.72",0.01,"659,439.72","560,000.00",70914PD90,US70914PD900,-,116.28,United States,-,USD,3.4,0.55,1.0,"Sep 15, 2025",5.0,3.4,-,0.55,3.4,0.55,USD,"Aug 19, 2016","Aug 19, 2016"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"659,209.73",0.01,"659,209.73","615,000.00",13063BT77,US13063BT779,-,105.11,United States,-,USD,1.2,3.25,1.0,"Feb 01, 2025",5.0,2.8,-,0.28,1.05,0.28,USD,"Mar 27, 2013","Mar 27, 2013"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"657,239.18",0.01,"657,239.18","600,000.00",13063CVK3,US13063CVK34,-,107.46,United States,-,USD,1.51,0.28,1.0,"Aug 01, 2023",5.0,1.51,-,0.28,1.51,0.28,USD,"Sep 09, 2015","Sep 09, 2015"
PHILADELPHIA PA,Local Tax-Backed,Fixed Income,"653,510.98",0.01,"653,510.98","575,000.00",717813RG6,US717813RG66,-,111.57,United States,-,USD,2.42,0.49,1.0,"Aug 01, 2024",5.0,2.41,-,0.49,2.41,0.49,USD,"Jul 08, 2015","Jul 08, 2015"
DISTRICT COLUMBIA,State Tax-Backed,Fixed Income,"653,046.52",0.01,"653,046.52","610,000.00",25476FME5,US25476FME50,-,106.64,United States,-,USD,1.46,2.16,1.0,"Jun 01, 2024",5.0,2.28,-,0.3,1.38,0.3,USD,"Dec 18, 2013","Dec 18, 2013"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"652,732.52",0.01,"652,732.52","560,000.00",59261ANG8,US59261ANG84,-,115.92,United States,-,USD,3.57,0.81,1.0,"Nov 15, 2025",5.0,3.56,-,0.81,3.56,0.81,USD,"Sep 28, 2017","Sep 28, 2017"
HARRIS CNTY TEX,Local Tax-Backed,Fixed Income,"649,918.72",0.01,"649,918.72","620,000.00",414005QQ4,US414005QQ42,-,103.58,United States,-,USD,0.82,3.62,1.0,"Oct 01, 2024",5.0,2.53,-,0.23,0.74,0.23,USD,"Dec 12, 2012","Dec 12, 2012"
CONNECTICUT ST SPL TAX OBLIG R,State Tax-Backed,Fixed Income,"650,176.97",0.01,"650,176.97","595,000.00",207758RV7,US207758RV74,-,108.02,United States,-,USD,1.79,1.99,1.0,"Oct 01, 2024",5.0,2.56,-,0.39,1.68,0.39,USD,"Nov 21, 2013","Nov 21, 2013"
KANSAS ST DEPT TRANSN HWY REV,State Tax-Backed,Fixed Income,"648,115.31",0.01,"648,115.31","550,000.00",485424QF5,US485424QF55,-,116.17,United States,-,USD,3.37,0.54,1.0,"Sep 01, 2025",5.0,3.36,-,0.54,3.36,0.54,USD,"Dec 10, 2015","Dec 10, 2015"
PORT AUTH OF NEW YORK & NEW JERSEY,Transportation,Fixed Income,"647,733.57",0.01,"647,733.57","570,000.00",73358WM27,US73358WM276,-,113.0,United States,-,USD,2.71,0.44,1.0,"Nov 15, 2024",5.0,2.7,-,0.44,2.7,0.44,USD,"Aug 17, 2017","Aug 17, 2017"
FLORIDA ST,State Tax-Backed,Fixed Income,"644,148.03",0.01,"644,148.03","565,000.00",3411505T3,US3411505T35,-,111.51,United States,-,USD,2.33,0.37,1.0,"Jul 01, 2024",5.0,2.33,-,0.37,2.33,0.37,USD,"Apr 04, 2019","Apr 04, 2019"
OREGON ST,State Tax-Backed,Fixed Income,"642,985.76",0.01,"642,985.76","600,000.00",68609TEK0,US68609TEK07,-,106.33,United States,-,USD,1.32,0.24,1.0,"May 01, 2023",5.0,1.32,-,0.24,1.32,0.24,USD,"May 22, 2018","May 22, 2018"
CLARK CNTY NEV SCH DIST,School Districts,Fixed Income,"642,226.39",0.01,"642,226.39","600,000.00",181059ZG4,US181059ZG43,-,106.82,United States,-,USD,1.42,0.3,1.0,"Jun 15, 2023",5.0,1.42,-,0.3,1.42,0.3,USD,"Jun 26, 2018","Jun 26, 2018"
DENVER COLO CITY & CNTY SCH DI,Prerefund/Escrow,Fixed Income,"634,004.89",0.01,"634,004.89","605,000.00",249174SL8,US249174SL81,-,104.38,United States,-,USD,0.91,0.22,1.0,"Dec 01, 2022",5.0,0.9,-,0.22,0.9,0.22,USD,"Dec 19, 2012","Dec 19, 2012"
PENNSYLVANIA ST,State Tax-Backed,Fixed Income,"633,965.38",0.01,"633,965.38","580,000.00",70914PUT7,US70914PUT73,-,108.25,United States,-,USD,1.72,0.37,1.0,"Oct 15, 2023",5.0,1.72,-,0.37,1.72,0.37,USD,"Nov 07, 2013","Nov 07, 2013"
NEW JERSEY ST TRANSN TR FD AUTH,State Tax-Backed,Fixed Income,"632,741.49",0.01,"632,741.49","675,000.00",646136XD8,US646136XD88,-,93.74,United States,-,USD,4.94,1.31,1.0,"Dec 15, 2026",0.0,4.89,-,1.31,4.89,1.31,USD,"Jan 14, 2010","Jan 14, 2010"
DELAWARE RIV PORT AUTH PA & NJ,Transportation,Fixed Income,"630,818.38",0.01,"630,818.38","565,000.00",246352HJ0,US246352HJ05,-,109.15,United States,-,USD,1.89,0.4,1.0,"Jan 01, 2024",5.0,1.89,-,0.4,1.89,0.4,USD,"Dec 18, 2018","Dec 18, 2018"
MIAMI-DADE CNTY FLA,Local Tax-Backed,Fixed Income,"630,168.09",0.01,"630,168.09","575,000.00",59333FRC6,US59333FRC67,-,107.09,United States,-,USD,1.43,0.26,1.0,"Jul 01, 2023",5.0,1.43,-,0.26,1.43,0.26,USD,"May 07, 2015","Jan 09, 2013"
SOUTH CAROLINA ST TRANSPRTN INFRAS,State Tax-Backed,Fixed Income,"629,478.43",0.01,"629,478.43","575,000.00",837152TH0,US837152TH01,-,108.22,United States,-,USD,1.68,0.28,1.0,"Oct 01, 2023",5.0,1.68,-,0.28,1.68,0.28,USD,"Jul 01, 2015","Jul 01, 2015"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"626,844.00",0.01,"626,844.00","550,000.00",64971WQ78,US64971WQ781,-,112.3,United States,-,USD,3.33,0.53,1.0,"Aug 01, 2025",4.0,3.33,-,0.53,3.33,0.53,USD,"Sep 22, 2016","Sep 22, 2016"
GEORGIA ST PORTS AUTH REV,Transportation,Fixed Income,"625,597.68",0.01,"625,597.68","520,000.00",373586FY7,US373586FY73,-,119.52,United States,-,USD,4.09,0.6,1.0,"Jul 01, 2026",5.0,4.09,-,0.6,4.09,0.6,USD,"Nov 04, 2021","Nov 04, 2021"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"623,755.64",0.01,"623,755.64","570,000.00",64971WT83,US64971WT835,-,108.6,United States,-,USD,1.77,0.29,1.0,"Nov 01, 2023",5.0,1.76,-,0.29,1.76,0.29,USD,"Mar 22, 2017","Mar 22, 2017"
SHELBY CNTY TENN,Local Tax-Backed,Fixed Income,"620,201.69",0.01,"620,201.69","535,000.00",821686Q70,US821686Q709,-,114.68,United States,-,USD,3.02,0.45,1.0,"Apr 01, 2025",5.0,3.02,-,0.45,3.02,0.45,USD,"Feb 26, 2016","Feb 26, 2016"
PENNSYLVANIA ST,State Tax-Backed,Fixed Income,"618,765.04",0.01,"618,765.04","590,000.00",70914PTE2,US70914PTE24,-,102.38,United States,-,USD,0.49,0.24,1.0,"Jul 01, 2022",5.0,0.49,-,0.24,0.49,0.24,USD,"Aug 09, 2012","Aug 09, 2012"
HAWAII ST,State Tax-Backed,Fixed Income,"618,427.59",0.01,"618,427.59","565,000.00",419792ME3,US419792ME38,-,108.21,United States,-,USD,1.68,0.29,1.0,"Oct 01, 2023",5.0,1.68,-,0.29,1.68,0.29,USD,"Oct 13, 2016","Oct 13, 2016"
METROPOLITAN WTR DIST SOUTHN C,Utility,Fixed Income,"618,736.19",0.01,"618,736.19","585,000.00",59266TND9,US59266TND99,-,104.64,United States,-,USD,2.42,0.38,1.0,"Jul 01, 2024",2.25,2.42,-,0.38,2.42,0.38,USD,"Jun 01, 2017","Jun 01, 2017"
TRIBOROUGH BRDG & TUNL AUTH N,Transportation,Fixed Income,"618,243.35",0.01,"618,243.35","590,000.00",89602NT38,US89602NT380,-,104.15,United States,-,USD,0.86,0.24,1.0,"Nov 15, 2022",5.0,0.86,-,0.24,0.86,0.24,USD,"Nov 15, 2013","Nov 15, 2013"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"616,379.88",0.01,"616,379.88","575,000.00",13063DKY3,US13063DKY30,-,105.95,United States,-,USD,1.22,0.23,1.0,"Apr 01, 2023",5.0,1.21,-,0.23,1.21,0.23,USD,"Mar 14, 2019","Mar 14, 2019"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"615,680.49",0.01,"615,680.49","565,000.00",59261APM3,US59261APM35,-,108.33,United States,-,USD,1.8,0.52,1.0,"Nov 15, 2023",5.0,1.8,-,0.52,1.8,0.52,USD,"Dec 14, 2017","Dec 14, 2017"
ARIZONA ST TRANSN BRD HWY REV,State Tax-Backed,Fixed Income,"615,073.77",0.01,"615,073.77","540,000.00",040654WJ0,US040654WJ08,-,111.4,United States,-,USD,2.33,0.41,1.0,"Jul 01, 2024",5.0,2.33,-,0.41,2.33,0.41,USD,"Jan 28, 2015","Jan 28, 2015"
WASHINGTON ST FOR ISSUES DTD P,State Tax-Backed,Fixed Income,"613,614.42",0.01,"613,614.42","520,000.00",93974DW53,US93974DW531,-,115.92,United States,-,USD,3.28,0.51,1.0,"Aug 01, 2025",5.0,3.28,-,0.51,3.28,0.51,USD,"Dec 07, 2017","Dec 07, 2017"
WASHINGTON D C MET AREA TRAN A,Local Tax-Backed,Fixed Income,"612,893.87",0.01,"612,893.87","500,000.00",93878YAZ2,US93878YAZ25,-,119.76,United States,-,USD,4.05,0.58,1.0,"Jul 15, 2026",5.0,4.05,-,0.58,4.05,0.58,USD,"Jun 08, 2021","Jun 08, 2021"
DISTRICT COLUMBIA INCOME TAX R,Local Tax-Backed,Fixed Income,"612,826.32",0.01,"612,826.32","585,000.00",25477GKA2,US25477GKA21,-,104.34,United States,-,USD,1.02,3.42,1.0,"Dec 01, 2024",5.0,2.7,-,0.26,0.9,0.26,USD,"May 16, 2012","May 16, 2012"
TEXAS WATER DEV BRD,Utility,Fixed Income,"609,298.92",0.01,"609,298.92","500,000.00",8828542X9,US8828542X91,-,119.78,United States,-,USD,4.12,0.62,1.0,"Aug 01, 2026",5.0,4.11,-,0.62,4.11,0.62,USD,"Jun 02, 2020","Jun 02, 2020"
COLORADO SPRINGS COLO UTILS RE,Utility,Fixed Income,"607,638.04",0.01,"607,638.04","500,000.00",196632V26,US196632V262,-,120.89,United States,-,USD,4.4,0.64,1.0,"Nov 15, 2026",5.0,4.4,-,0.64,4.4,0.64,USD,"Aug 18, 2020","Aug 18, 2020"
WASHINGTON ST FOR ISSUES DTD P,State Tax-Backed,Fixed Income,"603,294.26",0.01,"603,294.26","575,000.00",93974DGF9,US93974DGF96,-,102.42,United States,-,USD,0.49,0.15,1.0,"Jul 01, 2022",5.0,0.49,-,0.15,0.49,0.15,USD,"Jul 09, 2014","Jul 09, 2014"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"602,769.47",0.01,"602,769.47","550,000.00",5446466A5,US5446466A52,-,107.09,United States,-,USD,1.43,0.26,1.0,"Jul 01, 2023",5.0,1.43,-,0.26,1.43,0.26,USD,"Mar 08, 2018","Mar 08, 2018"
SOUTHERN CALIF PUB PWR AUTH TR,Utility,Fixed Income,"603,120.55",0.01,"603,120.55","575,000.00",842477VD0,US842477VD09,-,102.39,United States,-,USD,0.49,0.21,1.0,"Jul 01, 2022",5.0,0.49,-,0.21,0.49,0.21,USD,"Oct 10, 2018","Oct 10, 2018"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"601,814.14",0.01,"601,814.14","510,000.00",64966QPM6,US64966QPM68,-,115.92,United States,-,USD,3.28,0.51,1.0,"Aug 01, 2025",5.0,3.28,-,0.51,3.28,0.51,USD,"Oct 15, 2020","Oct 15, 2020"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"600,141.31",0.01,"600,141.31","500,000.00",64990FKH6,US64990FKH63,-,118.56,United States,-,USD,3.82,0.53,1.0,"Mar 15, 2026",5.0,3.82,-,0.53,3.82,0.53,USD,"Jun 28, 2019","Jun 28, 2019"
WASHINGTON SUBN SAN DIST MD,Local Tax-Backed,Fixed Income,"598,815.13",0.01,"598,815.13","500,000.00",940157W22,US940157W226,-,119.35,United States,-,USD,4.03,0.56,1.0,"Jun 01, 2026",5.0,4.03,-,0.56,4.03,0.56,USD,"Dec 20, 2018","Dec 20, 2018"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"597,979.45",0.01,"597,979.45","525,000.00",13063CZ29,US13063CZ295,-,112.23,United States,-,USD,2.51,0.38,1.0,"Sep 01, 2024",5.0,2.5,-,0.38,2.5,0.38,USD,"Sep 13, 2016","Sep 13, 2016"
CALIFORNIA ST DEPT OF WTR RESOURCE,Utility,Fixed Income,"597,433.91",0.01,"597,433.91","570,000.00",13067WNM0,US13067WNM00,-,104.4,United States,-,USD,0.91,0.2,1.0,"Dec 01, 2022",5.0,0.9,-,0.2,0.9,0.2,USD,"Dec 19, 2017","Dec 19, 2017"
TRIBOROUGH BRDG & TUNL AUTH N,Transportation,Fixed Income,"595,958.97",0.01,"595,958.97","545,000.00",89602N5A8,US89602N5A87,-,108.71,United States,-,USD,1.8,0.33,1.0,"Nov 15, 2023",5.0,1.8,-,0.33,1.8,0.33,USD,"Jan 28, 2016","Jan 28, 2016"
METROPOLITAN WTR DIST SOUTHN C,Utility,Fixed Income,"595,251.08",0.01,"595,251.08","550,000.00",59266TNE7,US59266TNE72,-,106.98,United States,-,USD,3.33,0.49,1.0,"Jul 01, 2025",2.5,3.33,-,0.49,3.33,0.49,USD,"Jun 01, 2017","Jun 01, 2017"
SALES TAX SECURITIZATION CORP,Local Tax-Backed,Fixed Income,"593,667.80",0.01,"593,667.80","515,000.00",79467BCQ6,US79467BCQ68,-,112.78,United States,-,USD,2.77,0.69,1.0,"Jan 01, 2025",5.0,2.77,-,0.69,2.77,0.69,USD,"Jan 30, 2020","Jan 30, 2020"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"591,743.00",0.01,"591,743.00","520,000.00",544646S86,US544646S861,-,111.3,United States,-,USD,2.49,1.66,1.0,"Jul 01, 2025",5.0,3.17,-,0.45,2.33,0.45,USD,"Jun 26, 2014","Jun 26, 2014"
MASSACHUSETTS ST,State Tax-Backed,Fixed Income,"591,181.50",0.01,"591,181.50","500,000.00",57582RJU1,US57582RJU14,-,115.74,United States,-,USD,3.2,0.46,1.0,"Jul 01, 2025",5.0,3.2,-,0.46,3.2,0.46,USD,"Jul 07, 2016","Jul 07, 2016"
INDIANA FIN AUTH HWY REV,State Tax-Backed,Fixed Income,"590,789.09",0.01,"590,789.09","540,000.00",45470RCR5,US45470RCR57,-,108.99,United States,-,USD,1.85,0.29,1.0,"Dec 01, 2023",5.0,1.85,-,0.29,1.85,0.29,USD,"Sep 02, 2016","Sep 02, 2016"
MET SAINT LOUIS MO SWR DIST WSTWTR,Utility,Fixed Income,"591,025.76",0.01,"591,025.76","510,000.00",592481JQ9,US592481JQ96,-,115.05,United States,-,USD,3.1,0.44,1.0,"May 01, 2025",5.0,3.1,-,0.44,3.1,0.44,USD,"Dec 14, 2017","Dec 14, 2017"
DELAWARE TRANSN AUTH TRANSN SY,State Tax-Backed,Fixed Income,"590,992.90",0.01,"590,992.90","500,000.00",246428G59,US246428G597,-,115.7,United States,-,USD,3.2,0.47,1.0,"Jul 01, 2025",5.0,3.2,-,0.47,3.2,0.47,USD,"Sep 10, 2019","Sep 10, 2019"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"590,534.80",0.01,"590,534.80","485,000.00",64966QPN4,US64966QPN42,-,119.68,United States,-,USD,4.12,0.64,1.0,"Aug 01, 2026",5.0,4.11,-,0.64,4.11,0.64,USD,"Oct 15, 2020","Oct 15, 2020"
NEW YORK ST DORM AUTH ST PERS,Prerefund/Escrow,Fixed Income,"589,703.80",0.01,"589,703.80","550,000.00",64990EYC5,US64990EYC55,-,105.75,United States,-,USD,1.17,0.22,1.0,"Mar 15, 2023",5.0,1.17,-,0.22,1.17,0.22,USD,"Jan 14, 2015","Jan 14, 2015"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"586,870.12",0.01,"586,870.12","515,000.00",13063DDT2,US13063DDT28,-,111.87,United States,-,USD,2.42,0.38,1.0,"Aug 01, 2024",5.0,2.41,-,0.38,2.41,0.38,USD,"Oct 26, 2017","Oct 26, 2017"
DALLAS TEX WTRWKS & SWR SYS RE,Utility,Fixed Income,"585,590.72",0.01,"585,590.72","535,000.00",2354166J8,US2354166J89,-,108.21,United States,-,USD,1.68,0.29,1.0,"Oct 01, 2023",5.0,1.68,-,0.29,1.68,0.29,USD,"Mar 25, 2015","Mar 25, 2015"
SEATTLE WASH,Local Tax-Backed,Fixed Income,"585,467.43",0.01,"585,467.43","535,000.00",812627JZ1,US812627JZ19,-,108.99,United States,-,USD,1.85,0.3,1.0,"Dec 01, 2023",5.0,1.85,-,0.3,1.85,0.3,USD,"May 20, 2021","May 20, 2021"
GEORGIA ST PORTS AUTH REV,Transportation,Fixed Income,"581,697.48",0.01,"581,697.48","500,000.00",373586FX9,US373586FX90,-,115.55,United States,-,USD,3.25,0.51,1.0,"Jul 01, 2025",5.0,3.25,-,0.51,3.25,0.51,USD,"Nov 04, 2021","Nov 04, 2021"
KING CNTY WASH,Prerefund/Escrow,Fixed Income,"580,847.50",0.01,"580,847.50","500,000.00",49474FKG4,US49474FKG45,-,113.67,United States,-,USD,2.78,0.41,1.0,"Jan 01, 2025",5.0,2.77,-,0.41,2.77,0.41,USD,"Feb 18, 2015","Feb 18, 2015"
CLARK CNTY NEV ARPT REV,Transportation,Fixed Income,"580,272.67",0.01,"580,272.67","530,000.00",18085PSD7,US18085PSD77,-,106.99,United States,-,USD,1.43,0.33,1.0,"Jul 01, 2023",5.0,1.43,-,0.33,1.43,0.33,USD,"Nov 27, 2019","Nov 27, 2019"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"578,592.26",0.01,"578,592.26","490,000.00",13063C5U0,US13063C5U09,-,116.0,United States,-,USD,3.28,0.49,1.0,"Aug 01, 2025",5.0,3.28,-,0.49,3.28,0.49,USD,"Mar 14, 2017","Mar 14, 2017"
NORTH CAROLINA ST LTD OBLIG,State Tax-Backed,Fixed Income,"578,692.45",0.01,"578,692.45","565,000.00",65829QCR3,US65829QCR39,-,101.59,United States,-,USD,0.33,0.22,1.0,"May 01, 2022",5.0,0.33,-,0.22,0.33,0.22,USD,"Aug 03, 2017","Aug 03, 2017"
CONNECTICUT ST,State Tax-Backed,Fixed Income,"576,121.07",0.01,"576,121.07","490,000.00",20772JQ47,US20772JQ478,-,116.94,United States,-,USD,3.57,0.57,1.0,"Nov 15, 2025",5.0,3.57,-,0.57,3.57,0.57,USD,"Dec 01, 2015","Dec 01, 2015"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"573,653.43",0.01,"573,653.43","560,000.00",64966JSG2,US64966JSG21,-,100.35,United States,-,USD,0.08,4.76,1.0,"Aug 01, 2023",5.0,1.48,-,0.56,0.08,0.56,USD,"Oct 13, 2011","Dec 29, 1993"
CONNECTICUT ST,State Tax-Backed,Fixed Income,"573,347.11",0.01,"573,347.11","560,000.00",20772KCB3,US20772KCB35,-,102.16,United States,-,USD,0.45,0.25,1.0,"Jun 15, 2022",5.0,0.45,-,0.25,0.45,0.25,USD,"Jun 20, 2018","Jun 20, 2018"
CONNECTICUT ST SPL TAX OBLIG R,State Tax-Backed,Fixed Income,"573,877.29",0.01,"573,877.29","525,000.00",207758XX6,US207758XX66,-,108.06,United States,-,USD,1.68,0.37,1.0,"Oct 01, 2023",5.0,1.68,-,0.37,1.68,0.37,USD,"Oct 25, 2018","Oct 25, 2018"
MINNESOTA ST,State Tax-Backed,Fixed Income,"571,666.16",0.01,"571,666.16","545,000.00",604129C20,US604129C208,-,102.81,United States,-,USD,0.57,0.18,1.0,"Aug 01, 2022",5.0,0.57,-,0.18,0.57,0.18,USD,"Aug 16, 2012","Aug 16, 2012"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"569,365.47",0.01,"569,365.47","500,000.00",64966MAS8,US64966MAS89,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"May 27, 2016","May 27, 2016"
DISTRICT COLUMBIA WTR & SWR AU,Utility,Fixed Income,"568,932.15",0.01,"568,932.15","500,000.00",254845KK5,US254845KK55,-,112.54,United States,-,USD,2.75,1.55,1.0,"Oct 01, 2025",5.0,3.42,-,0.41,2.58,0.41,USD,"Nov 20, 2014","Nov 20, 2014"
TEXAS ST,Prerefund/Escrow,Fixed Income,"568,639.35",0.01,"568,639.35","500,000.00",882723SV2,US882723SV26,-,112.48,United States,-,USD,2.58,0.43,1.0,"Oct 01, 2024",5.0,2.58,-,0.43,2.58,0.43,USD,"Dec 18, 2014","Dec 18, 2014"
PENNSYLVANIA ST TPK COMMN TPK,Transportation,Fixed Income,"567,402.38",0.01,"567,402.38","500,000.00",709224L23,US709224L236,-,113.06,United States,-,USD,2.75,0.48,1.0,"Dec 01, 2024",5.0,2.75,-,0.48,2.75,0.48,USD,"Sep 24, 2019","Sep 24, 2019"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"563,466.74",0.01,"563,466.74","550,000.00",64990E5K9,US64990E5K90,-,100.56,United States,-,USD,0.13,0.41,1.0,"Feb 15, 2022",5.0,0.12,-,0.41,0.12,0.41,USD,"Oct 20, 2016","Oct 20, 2016"
NORTH TEX TWY AUTH REV,Transportation,Fixed Income,"563,750.00",0.01,"563,750.00","550,000.00",66285WUS3,US66285WUS33,-,100.0,United States,-,USD,0.01,0.0,1.0,"Jan 01, 2022",5.0,0.0,-,0.0,0.0,0.0,USD,"Nov 01, 2017","Nov 01, 2017"
NORTH CAROLINA ST LTD OBLIG,State Tax-Backed,Fixed Income,"562,881.35",0.01,"562,881.35","505,000.00",65829QCG7,US65829QCG73,-,110.63,United States,-,USD,2.57,2.4,1.0,"May 01, 2026",5.0,3.9,-,0.42,2.22,0.42,USD,"Nov 19, 2014","Nov 19, 2014"
CONNECTICUT ST,State Tax-Backed,Fixed Income,"562,945.57",0.01,"562,945.57","555,000.00",20772J7B2,US20772J7B28,-,100.8,United States,-,USD,0.29,0.23,1.0,"Apr 15, 2022",3.0,0.29,-,0.23,0.29,0.23,USD,"Apr 19, 2017","Apr 19, 2017"
CONNECTICUT ST,State Tax-Backed,Fixed Income,"561,868.82",0.01,"561,868.82","525,000.00",20772KCD9,US20772KCD90,-,106.8,United States,-,USD,1.42,0.31,1.0,"Jun 15, 2023",5.0,1.42,-,0.31,1.42,0.31,USD,"Jun 20, 2018","Jun 20, 2018"
OKLAHOMA TRANSN AUTH OK F/K/A,Transportation,Fixed Income,"558,980.55",0.01,"558,980.55","500,000.00",679111YV0,US679111YV02,-,109.3,United States,-,USD,1.89,0.33,1.0,"Jan 01, 2024",5.0,1.89,-,0.33,1.89,0.33,USD,"Dec 21, 2017","Dec 21, 2017"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"558,114.15",0.01,"558,114.15","490,000.00",13063CR36,US13063CR367,-,112.23,United States,-,USD,2.51,0.38,1.0,"Sep 01, 2024",5.0,2.5,-,0.38,2.5,0.38,USD,"Apr 28, 2016","Apr 28, 2016"
OREGON ST,State Tax-Backed,Fixed Income,"558,171.12",0.01,"558,171.12","500,000.00",68609TKX5,US68609TKX53,-,110.8,United States,-,USD,2.22,0.35,1.0,"May 01, 2024",5.0,2.22,-,0.35,2.22,0.35,USD,"Feb 21, 2019","Feb 21, 2019"
MICHIGAN ST BLDG AUTH REV,State Tax-Backed,Fixed Income,"557,329.78",0.01,"557,329.78","500,000.00",594615BD7,US594615BD78,-,110.41,United States,-,USD,2.17,0.42,1.0,"Apr 15, 2024",5.0,2.17,-,0.42,2.17,0.42,USD,"Aug 31, 2015","Aug 31, 2015"
MASSACHUSETTS ST,State Tax-Backed,Fixed Income,"552,934.60",0.01,"552,934.60","495,000.00",57582RYL4,US57582RYL40,-,111.45,United States,-,USD,4.6,0.63,1.0,"Dec 01, 2026",3.0,4.6,-,0.63,4.6,0.63,USD,"Sep 12, 2019","Sep 12, 2019"
NORTH CAROLINA ST UNIV N C RAL,Prerefund/Escrow,Fixed Income,"552,753.86",0.01,"552,753.86","505,000.00",658289D42,US658289D427,-,108.21,United States,-,USD,1.68,0.29,1.0,"Oct 01, 2023",5.0,1.68,-,0.29,1.68,0.29,USD,"Mar 06, 2013","Mar 06, 2013"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"552,284.50",0.01,"552,284.50","485,000.00",64966LMS7,US64966LMS78,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"Jun 23, 2014","Jun 23, 2014"
NEW YORK ST DORM AUTH REVS NON,Prerefund/Escrow,Fixed Income,"547,972.30",0.01,"547,972.30","500,000.00",649907TY8,US649907TY80,-,107.09,United States,-,USD,1.43,0.26,1.0,"Jul 01, 2023",5.0,1.43,-,0.26,1.43,0.26,USD,"Sep 11, 2013","Sep 11, 2013"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"547,918.89",0.01,"547,918.89","450,000.00",64966QBK5,US64966QBK58,-,119.68,United States,-,USD,4.12,0.64,1.0,"Aug 01, 2026",5.0,4.11,-,0.64,4.11,0.64,USD,"Dec 18, 2018","Apr 01, 2008"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"546,866.12",0.01,"546,866.12","500,000.00",79765RF61,US79765RF619,-,108.54,United States,-,USD,1.77,0.32,1.0,"Nov 01, 2023",5.0,1.76,-,0.32,1.76,0.32,USD,"Apr 16, 2015","Apr 16, 2015"
