,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 10+ Year Investment Grade Corporate Bond ETF
TRANSCANADA PIPELINES LIMITED,Energy,Fixed Income,"313,670.17",0.01,"313,670.17","250,000.00",89352HAL3,US89352HAL33,BFF3376,124.43,Canada,-,USD,13.9,3.4,1.0,"Oct 16, 2043",5.0,14.08,-,3.38,13.88,3.38,USD,"Oct 07, 2013","Oct 07, 2013"
JERSEY CENTRAL POWER & LIGHT CO,Electric,Fixed Income,"313,454.49",0.01,"313,454.49","236,000.00",476556CX1,US476556CX17,B2B0FC9,132.31,United States,-,USD,10.71,3.43,1.0,"Jun 01, 2037",6.15,10.7,-,3.43,10.7,3.43,USD,"Dec 01, 2007","Dec 13, 2007"
HASBRO INC,Consumer Non-Cyclical,Fixed Income,"312,792.42",0.01,"312,792.42","250,000.00",418056AU1,US418056AU19,BMJ71B3,124.47,United States,-,USD,14.07,3.51,1.0,"May 15, 2044",5.1,14.24,-,3.49,14.04,3.49,USD,"May 13, 2014","May 13, 2014"
PRINCIPAL FINANCIAL GROUP INC,Insurance,Fixed Income,"312,678.03",0.01,"312,678.03","258,000.00",74251VAJ1,US74251VAJ17,B92N2H0,120.64,United States,-,USD,14.49,3.03,1.0,"May 15, 2043",4.35,14.56,-,3.03,14.56,3.03,USD,"Nov 16, 2012","Nov 16, 2012"
CENTERPOINT ENERGY HOUSTON ELECTRI,Electric,Fixed Income,"312,537.25",0.01,"312,537.25","247,000.00",15189XAN8,US15189XAN84,BKRW213,125.41,United States,-,USD,14.65,2.94,1.0,"Apr 01, 2044",4.5,14.86,-,2.91,14.64,2.91,USD,"Mar 17, 2014","Mar 17, 2014"
AMERICAN TRANSMISSION SYSTEMS INC 144A,Electric,Fixed Income,"312,689.71",0.01,"312,689.71","241,000.00",030288AB0,US030288AB07,BQH0Y35,128.08,United States,-,USD,14.29,3.24,1.0,"Sep 01, 2044",5.0,14.48,-,3.22,14.29,3.22,USD,"Sep 25, 2014","Sep 25, 2014"
ABBOTT LABORATORIES,Consumer Non-Cyclical,Fixed Income,"311,955.59",0.01,"311,955.59","238,000.00",002824BN9,US002824BN93,BD6NWW9,130.07,United States,-,USD,14.11,2.85,1.0,"Apr 15, 2043",4.75,14.33,-,2.83,14.11,2.83,USD,"Oct 15, 2016","Mar 22, 2017"
HARLEY-DAVIDSON INC,Consumer Cyclical,Fixed Income,"311,751.14",0.01,"311,751.14","288,000.00",412822AE8,US412822AE80,BYZ7VM2,106.28,United States,-,USD,14.21,4.2,1.0,"Jul 28, 2045",4.63,14.31,-,4.2,14.14,4.2,USD,"Jul 28, 2015","Jul 28, 2015"
WASTE MANAGEMENT INC,Capital Goods,Fixed Income,"311,544.49",0.01,"311,544.49","243,000.00",94106LBK4,US94106LBK44,BJXKL28,126.29,United States,-,USD,17.18,2.78,1.0,"Jul 15, 2049",4.15,17.43,-,2.76,17.24,2.76,USD,"May 22, 2019","May 22, 2019"
ITC HOLDINGS CORP,Electric,Fixed Income,"310,704.57",0.01,"310,704.57","233,000.00",465685AH8,US465685AH81,BBX4JK8,130.7,United States,-,USD,13.51,3.3,1.0,"Jul 01, 2043",5.3,13.7,-,3.27,13.5,3.27,USD,"Jul 03, 2013","Jul 03, 2013"
SOUTHWESTERN PUBLIC SERVICE CO,Electric,Fixed Income,"310,467.61",0.01,"310,467.61","233,000.00",845743BL6,US845743BL61,B1FS7F9,131.75,United States,-,USD,10.39,3.27,1.0,"Oct 01, 2036",6.0,10.38,-,3.27,10.38,3.27,USD,"Oct 06, 2006","Oct 06, 2006"
BARRICK GOLD CORP,Basic Industry,Fixed Income,"310,455.07",0.01,"310,455.07","237,000.00",067901AH1,US067901AH18,B8L1XS6,129.68,Canada,-,USD,13.3,3.24,1.0,"Apr 01, 2042",5.25,13.34,-,3.24,13.34,3.24,USD,"Apr 03, 2012","Jun 08, 2012"
SABAL TRAIL TRANSMISSION LLC 144A,Energy,Fixed Income,"310,422.12",0.01,"310,422.12","254,000.00",78516FAC3,US78516FAC32,-,121.41,United States,-,USD,15.68,3.57,1.0,"May 01, 2048",4.83,15.86,-,3.56,15.69,3.56,USD,"Apr 30, 2018","Apr 30, 2018"
DISCOVERY COMMUNICATIONS LLC,Communications,Fixed Income,"309,549.39",0.01,"309,549.39","261,000.00",25470DAG4,US25470DAG43,B8BC5S3,117.97,United States,-,USD,13.35,3.69,1.0,"May 15, 2042",4.95,13.37,-,3.69,13.37,3.69,USD,"May 17, 2012","May 17, 2012"
AMERICAN WATER CAPITAL CORP,Utility Other,Fixed Income,"309,567.83",0.01,"309,567.83","256,000.00",03040WAM7,US03040WAM73,BYT33F3,119.49,United States,-,USD,15.25,3.13,1.0,"Sep 01, 2045",4.3,15.45,-,3.11,15.24,3.11,USD,"Aug 13, 2015","Aug 13, 2015"
EQUINIX INC,Technology,Fixed Income,"309,558.31",0.01,"309,558.31","325,000.00",29444UBM7,US29444UBM71,BMY4YG5,94.38,United States,-,USD,19.0,3.25,1.0,"Sep 15, 2051",2.95,19.18,-,3.25,19.18,3.25,USD,"Oct 07, 2020","Oct 07, 2020"
KANSAS CITY SOUTHERN,Transportation,Fixed Income,"309,241.61",0.01,"309,241.61","247,000.00",485170BB9,US485170BB94,-,124.42,United States,-,USD,15.99,3.3,1.0,"May 01, 2048",4.7,16.19,-,3.29,16.01,3.29,USD,"May 03, 2018","May 03, 2018"
CHENIERE CORPUS CHRISTI HOLDINGS L 144A,Energy,Fixed Income,"309,263.61",0.01,"309,263.61","317,000.00",16412XAK1,US16412XAK19,-,97.56,United States,-,USD,10.04,2.99,1.0,"Dec 31, 2039",2.74,10.06,-,2.99,10.06,2.99,USD,"Aug 24, 2021","Aug 24, 2021"
SOUTHERN CALIFORNIA EDISON CO,Electric,Fixed Income,"307,856.81",0.01,"307,856.81","261,000.00",842400FZ1,US842400FZ13,BF6DYS3,116.79,United States,-,USD,14.0,3.54,1.0,"Oct 01, 2043",4.65,14.16,-,3.52,13.95,3.52,USD,"Oct 02, 2013","Oct 02, 2013"
DUKE ENERGY PROGRESS LLC,Electric,Fixed Income,"307,777.09",0.01,"307,777.09","307,000.00",26442UAM6,US26442UAM62,-,99.13,United States,-,USD,19.31,2.94,1.0,"Aug 15, 2051",2.9,19.52,-,2.94,19.52,2.94,USD,"Aug 12, 2021","Aug 12, 2021"
PPL ELECTRIC UTILITIES CORP,Electric,Fixed Income,"307,686.34",0.01,"307,686.34","262,000.00",69351UAS2,US69351UAS24,BN7DSM0,117.25,United States,-,USD,15.05,3.06,1.0,"Jun 15, 2044",4.13,15.24,-,3.04,15.02,3.04,USD,"Jun 05, 2014","Jun 05, 2014"
ATMOS ENERGY CORPORATION,Natural Gas,Fixed Income,"307,486.49",0.01,"307,486.49","287,000.00",049560AS4,US049560AS49,BJN3QH7,106.14,United States,-,USD,17.87,3.04,1.0,"Sep 15, 2049",3.38,18.07,-,3.04,17.87,3.04,USD,"Oct 02, 2019","Oct 02, 2019"
Bon Secours Mercy Health,Consumer Non-Cyclical,Fixed Income,"307,341.06",0.01,"307,341.06","291,000.00",09778PAC9,US09778PAC95,-,105.35,United States,-,USD,18.6,2.93,1.0,"Jun 01, 2050",3.21,18.81,-,2.92,18.6,2.92,USD,"Oct 15, 2020","Oct 15, 2020"
WISCONSIN PUBLIC SERVICE CORPORATI,Electric,Fixed Income,"306,364.46",0.01,"306,364.46","285,000.00",976843BM3,US976843BM39,-,106.4,United States,-,USD,18.0,2.96,1.0,"Sep 01, 2049",3.3,18.21,-,2.96,18.0,2.96,USD,"Aug 14, 2019","Aug 14, 2019"
SOUTHERN CALIFORNIA EDISON COMPANY,Electric,Fixed Income,"305,758.47",0.01,"305,758.47","284,000.00",842400FW8,US842400FW81,B91R9M7,106.51,United States,-,USD,14.31,3.46,1.0,"Mar 15, 2043",3.9,14.44,-,3.46,14.21,3.46,USD,"Mar 07, 2013","Mar 07, 2013"
FIRSTENERGY TRANSMISSION LLC 144A,Electric,Fixed Income,"305,529.36",0.01,"305,529.36","265,000.00",33767BAC3,US33767BAC37,BH3W5T5,114.16,United States,-,USD,16.02,3.72,1.0,"Apr 01, 2049",4.55,16.18,-,3.71,16.02,3.71,USD,"Mar 28, 2019","Mar 28, 2019"
LLPL CAPITAL PTE. LTD. 144A,Electric,Fixed Income,"305,270.33",0.01,"305,270.33","261,836.00",50201PAA4,US50201PAA49,-,113.8,Indonesia,-,USD,6.06,4.7,1.0,"Feb 04, 2039",6.88,6.03,-,4.7,6.03,4.7,USD,"Feb 04, 2019","Feb 04, 2019"
NATIONAL RETAIL PROPERTIES INC,Reits,Fixed Income,"305,457.46",0.01,"305,457.46","314,000.00",637417AP1,US637417AP15,-,96.63,United States,-,USD,18.26,3.28,1.0,"Apr 15, 2050",3.1,18.43,-,3.28,18.43,3.28,USD,"Mar 03, 2020","Mar 03, 2020"
ARIZONA PUBLIC SERVICE COMPANY,Electric,Fixed Income,"304,704.54",0.01,"304,704.54","335,000.00",040555DC5,US040555DC57,-,90.18,United States,-,USD,19.12,3.17,1.0,"Sep 15, 2050",2.65,19.29,-,3.17,19.29,3.17,USD,"Sep 11, 2020","Sep 11, 2020"
VENTAS REALTY LP,Reits,Fixed Income,"304,506.05",0.01,"304,506.05","224,000.00",92277GAB3,US92277GAB32,BF325B3,134.52,United States,-,USD,13.46,3.43,1.0,"Sep 30, 2043",5.7,13.65,-,3.4,13.46,3.4,USD,"Sep 26, 2013","Sep 26, 2013"
TAMPA ELECTRIC COMPANY,Electric,Fixed Income,"304,370.03",0.01,"304,370.03","262,000.00",875127BD3,US875127BD31,BXVMRF9,115.64,United States,-,USD,15.24,3.24,1.0,"May 15, 2045",4.2,15.42,-,3.23,15.21,3.23,USD,"May 20, 2015","May 20, 2015"
IDAHO POWER COMPANY,Electric,Fixed Income,"303,840.67",0.01,"303,840.67","245,000.00",45138LBF9,US45138LBF94,BDVQB59,122.62,United States,-,USD,16.5,2.95,1.0,"Mar 01, 2048",4.2,16.73,-,2.94,16.53,2.94,USD,"Mar 16, 2018","Mar 16, 2018"
WESTAR ENERGY INC,Electric,Fixed Income,"303,840.64",0.01,"303,840.64","290,000.00",95709TAQ3,US95709TAQ31,BKFVB37,103.69,United States,-,USD,17.98,3.05,1.0,"Sep 01, 2049",3.25,18.17,-,3.05,17.96,3.05,USD,"Aug 19, 2019","Aug 19, 2019"
EASTERN GAS TRANSMISSION AND STORA 144A,Energy,Fixed Income,"303,579.09",0.01,"303,579.09","273,000.00",276480AA8,US276480AA86,BMXR8T6,110.7,United States,-,USD,17.24,3.31,1.0,"Nov 15, 2049",3.9,17.44,-,3.3,17.25,3.3,USD,"May 15, 2021","Jun 30, 2021"
SUNCOR ENERGY INC,Energy,Fixed Income,"303,382.96",0.01,"303,382.96","235,000.00",867229AD8,US867229AD85,B01YRG5,128.6,Canada,-,USD,9.52,3.22,1.0,"Dec 01, 2034",5.95,9.5,-,3.22,9.5,3.22,USD,"Dec 01, 2003","Dec 01, 2003"
PRESIDENT AND FELLOWS OF HARVARD C,Industrial Other,Fixed Income,"303,385.93",0.01,"303,385.93","301,000.00",740816AP8,US740816AP89,-,100.26,United States,-,USD,20.07,2.5,1.0,"Oct 15, 2050",2.52,20.3,-,2.5,20.06,2.5,USD,"Apr 21, 2020","Apr 21, 2020"
MONTEFIORE HEALTH SYSTEM INC,Consumer Non-Cyclical,Fixed Income,"303,080.94",0.01,"303,080.94","305,000.00",61237WAG1,US61237WAG15,-,97.94,United States,-,USD,16.0,4.41,1.0,"Sep 01, 2050",4.29,16.04,-,4.41,16.04,4.41,USD,"Feb 20, 2020","Feb 20, 2020"
ACE INA HOLDINGS INC,Insurance,Fixed Income,"302,573.25",0.01,"302,573.25","250,000.00",00440EAQ0,US00440EAQ08,B8PNBH3,119.78,United States,-,USD,14.54,2.89,1.0,"Mar 13, 2043",4.15,14.6,-,2.89,14.6,2.89,USD,"Mar 13, 2013","Mar 13, 2013"
WESTERN AND SOUTHERN LIFE INSURANC 144A,Insurance,Fixed Income,"302,619.91",0.01,"302,619.91","270,000.00",95765PAE9,US95765PAE97,-,111.43,United States,-,USD,21.11,3.23,1.0,"Apr 28, 2061",3.75,21.37,-,3.23,21.24,3.23,USD,"Apr 28, 2021","Apr 28, 2021"
WEA FINANCE LLC /WESTFIELD UK & EU 144A,Reits,Fixed Income,"302,093.49",0.01,"302,093.49","277,000.00",92890HAD4,US92890HAD44,BQSNVH6,107.69,United States,-,USD,13.9,4.22,1.0,"Sep 17, 2044",4.75,13.99,-,4.21,13.81,4.21,USD,"Sep 17, 2014","Sep 17, 2014"
BOEING CO,Capital Goods,Fixed Income,"302,057.91",0.01,"302,057.91","297,000.00",097023CF0,US097023CF00,BJHMV86,100.43,United States,-,USD,19.35,3.8,1.0,"Mar 01, 2059",3.83,19.54,-,3.8,19.42,3.8,USD,"Feb 15, 2019","Feb 15, 2019"
NUCOR CORP,Basic Industry,Fixed Income,"301,929.03",0.01,"301,929.03","222,000.00",670346AN5,US670346AN55,BCJ52H0,133.84,United States,-,USD,13.78,3.05,1.0,"Aug 01, 2043",5.2,13.99,-,3.02,13.78,3.02,USD,"Jul 29, 2013","Jul 29, 2013"
BURLINGTON NORTHERN SANTA FE LLC,Transportation,Fixed Income,"301,532.06",0.01,"301,532.06","233,000.00",12189LAG6,US12189LAG68,B61QXW1,127.96,United States,-,USD,13.13,3.05,1.0,"Sep 15, 2041",4.95,13.32,-,3.02,13.1,3.02,USD,"Aug 22, 2011","Aug 22, 2011"
DOLLAR GENERAL CORPORATION,Consumer Cyclical,Fixed Income,"301,557.67",0.01,"301,557.67","259,000.00",256677AH8,US256677AH84,-,115.42,United States,-,USD,17.13,3.28,1.0,"Apr 03, 2050",4.13,17.33,-,3.27,17.16,3.27,USD,"Apr 03, 2020","Apr 03, 2020"
KIMBERLY-CLARK CORP,Consumer Non-Cyclical,Fixed Income,"300,387.49",0.01,"300,387.49","220,000.00",494368BG7,US494368BG77,B63ZC30,134.77,United States,-,USD,12.89,2.92,1.0,"Mar 01, 2041",5.3,12.94,-,2.92,12.94,2.92,USD,"Feb 03, 2011","Feb 03, 2011"
ALABAMA POWER COMPANY,Electric,Fixed Income,"300,314.50",0.01,"300,314.50","300,000.00",010392FW3,US010392FW36,-,99.75,United States,-,USD,19.48,3.01,1.0,"Mar 15, 2052",3.0,19.69,-,3.01,19.69,3.01,USD,"Nov 18, 2021","Nov 18, 2021"
CHUBB INA HOLDINGS INC,Insurance,Fixed Income,"299,864.95",0.01,"299,864.95","210,000.00",171232AQ4,US171232AQ41,B1XD1V0,141.96,United States,-,USD,10.91,2.66,1.0,"May 11, 2037",6.0,10.94,-,2.66,10.94,2.66,USD,"May 11, 2007","May 11, 2007"
GENERAL MILLS INC,Consumer Non-Cyclical,Fixed Income,"299,889.32",0.01,"299,889.32","249,000.00",370334CH5,US370334CH52,BFY3D33,119.5,United States,-,USD,11.69,3.02,1.0,"Apr 17, 2038",4.55,11.86,-,2.99,11.59,2.99,USD,"Apr 17, 2018","Apr 17, 2018"
EMPRESA DE LOS FERROCARRILES DEL E 144A,Owned No Guarantee,Fixed Income,"299,790.97",0.01,"299,790.97","345,000.00",292487AA3,US292487AA37,-,85.77,Chile,-,USD,17.72,3.9,1.0,"Aug 18, 2050",3.07,17.83,-,3.9,17.83,3.9,USD,"Aug 18, 2020","Aug 18, 2020"
EXELON CORPORATION,Electric,Fixed Income,"299,731.74",0.01,"299,731.74","210,000.00",210371AF7,US210371AF74,2014656,140.83,United States,-,USD,7.63,2.95,1.0,"Apr 01, 2032",7.6,7.6,-,2.95,7.6,2.95,USD,"Mar 26, 2002","Mar 26, 2002"
ESTEE LAUDER CO INC,Consumer Non-Cyclical,Fixed Income,"299,717.59",0.01,"299,717.59","265,000.00",29736RAF7,US29736RAF73,B7M0PC3,111.7,United States,-,USD,14.53,2.94,1.0,"Aug 15, 2042",3.7,14.57,-,2.94,14.57,2.94,USD,"Aug 02, 2012","Aug 02, 2012"
ZIMMER BIOMET HOLDINGS INC,Consumer Non-Cyclical,Fixed Income,"299,581.32",0.01,"299,581.32","265,000.00",98956PAG7,US98956PAG72,BWC5244,111.44,United States,-,USD,10.24,3.21,1.0,"Aug 15, 2035",4.25,10.36,-,3.18,10.07,3.18,USD,"Mar 19, 2015","Mar 19, 2015"
CNOOC FINANCE (2012) LTD 144A,Owned No Guarantee,Fixed Income,"299,123.36",0.01,"299,123.36","250,000.00",12623UAB1,US12623UAB17,B8CY7R1,118.83,China,-,USD,13.29,3.68,1.0,"May 02, 2042",5.0,13.32,-,3.68,13.32,3.68,USD,"May 02, 2012","May 02, 2012"
DUKE ENERGY PROGRESS INC,Electric,Fixed Income,"299,238.25",0.01,"299,238.25","254,000.00",26442RAD3,US26442RAD35,BSPCBB4,117.46,United States,-,USD,15.2,3.08,1.0,"Dec 01, 2044",4.15,15.39,-,3.07,15.18,3.07,USD,"Nov 20, 2014","Nov 20, 2014"
JOHNSON CONTROLS INTERNATIONAL PLC,Capital Goods,Fixed Income,"298,799.76",0.01,"298,799.76","227,000.00",478375AN8,US478375AN81,BDG0907,129.17,United States,-,USD,19.77,3.6,1.0,"Jul 02, 2064",4.95,20.01,-,3.6,19.92,3.6,USD,"Jul 02, 2016","Dec 28, 2016"
Massachusetts Institute of Technol,Industrial Other,Fixed Income,"298,814.58",0.01,"298,814.58","310,000.00",575718AH4,US575718AH47,-,95.24,United States,-,USD,20.63,2.52,1.0,"Jul 01, 2051",2.29,20.85,-,2.52,20.85,2.52,USD,"May 07, 2020","May 07, 2020"
ONCOR ELECTRIC DELIVERY CO.,Electric,Fixed Income,"298,173.83",0.01,"298,173.83","214,000.00",68233DAT4,US68233DAT46,2452610,138.17,United States,-,USD,7.85,2.73,1.0,"May 01, 2032",7.0,7.82,-,2.73,7.82,2.73,USD,"Nov 01, 2002","Feb 25, 2003"
WESTAR ENERGY INC,Electric,Fixed Income,"298,058.03",0.01,"298,058.03","247,000.00",95709TAM2,US95709TAM27,BYP8YX7,120.32,United States,-,USD,15.59,3.05,1.0,"Dec 01, 2045",4.25,15.79,-,3.03,15.58,3.03,USD,"Nov 13, 2015","Nov 13, 2015"
ESTEE LAUDER CO INC,Consumer Non-Cyclical,Fixed Income,"297,992.45",0.01,"297,992.45","210,000.00",29736RAC4,US29736RAC43,B1WQW62,141.13,United States,-,USD,10.91,2.71,1.0,"May 15, 2037",6.0,10.93,-,2.71,10.93,2.71,USD,"May 01, 2007","May 01, 2007"
WISCONSIN ELECTRIC POWER CO,Electric,Fixed Income,"297,286.88",0.01,"297,286.88","220,000.00",976656BZ0,US976656BZ06,B1GKMM6,134.66,United States,-,USD,10.76,2.83,1.0,"Dec 01, 2036",5.7,10.77,-,2.83,10.77,2.83,USD,"Nov 07, 2006","Nov 07, 2006"
PUBLIC SERVICE ELECTRIC AND GAS CO MTN,Electric,Fixed Income,"297,314.94",0.01,"297,314.94","260,000.00",74456QBB1,US74456QBB14,B8FS4X5,112.45,United States,-,USD,14.42,3.0,1.0,"Jan 01, 2043",3.8,14.6,-,2.98,14.36,2.98,USD,"Jan 11, 2013","Jan 11, 2013"
HOLCIM CAPITAL CORP LTD 144A,Capital Goods,Fixed Income,"296,857.31",0.01,"296,857.31","200,000.00",43475DAA5,US43475DAA54,BDGTN13,146.46,Switzerland,-,USD,13.19,3.44,1.0,"Sep 12, 2043",6.5,13.25,-,3.44,13.25,3.44,USD,"Sep 12, 2013","Sep 12, 2013"
CONSOLIDATED EDISON COMPANY OF NEW,Electric,Fixed Income,"296,689.64",0.01,"296,689.64","258,000.00",209111FV0,US209111FV01,BJXM2W1,114.47,United States,-,USD,16.85,3.32,1.0,"May 15, 2049",4.13,17.04,-,3.31,16.86,3.31,USD,"May 09, 2019","May 09, 2019"
CHARTER COMMUNICATIONS OPERATING L,Communications,Fixed Income,"296,474.66",0.01,"296,474.66","305,000.00",161175CG7,US161175CG74,-,96.34,United States,-,USD,19.4,4.14,1.0,"Jun 30, 2062",3.95,19.58,-,4.14,19.58,4.14,USD,"Oct 12, 2021","Oct 12, 2021"
DELMARVA POWER & LIGHT CO,Electric,Fixed Income,"295,499.69",0.01,"295,499.69","250,000.00",247109BT7,US247109BT78,BWWC535,117.67,United States,-,USD,15.38,3.08,1.0,"May 15, 2045",4.15,15.57,-,3.07,15.36,3.07,USD,"May 11, 2015","May 11, 2015"
INTERSTATE POWER & LIGHT CO,Electric,Fixed Income,"295,444.92",0.01,"295,444.92","238,000.00",461070AK0,US461070AK05,BFGCN94,123.14,United States,-,USD,14.18,3.21,1.0,"Oct 15, 2043",4.7,14.37,-,3.19,14.16,3.19,USD,"Oct 08, 2013","Oct 08, 2013"
MIDAMERICAN ENERGY COMPANY MTN,Electric,Fixed Income,"295,160.60",0.01,"295,160.60","221,000.00",595620AE5,US595620AE52,B0NFKV2,132.6,United States,-,USD,10.11,2.88,1.0,"Nov 01, 2035",5.75,10.11,-,2.88,10.11,2.88,USD,"Nov 01, 2005","Nov 01, 2005"
NORTHWESTERN UNIVERSITY,Industrial Other,Fixed Income,"295,151.57",0.01,"295,151.57","260,000.00",668444AM4,US668444AM44,BWTYX96,113.21,United States,-,USD,11.68,2.62,1.0,"Dec 01, 2038",3.69,11.7,-,2.62,11.7,2.62,USD,"May 06, 2015","May 06, 2015"
COLUMBUS SOUTHERN POWER COMPANY,Electric,Fixed Income,"294,931.41",0.01,"294,931.41","215,000.00",199575AT8,US199575AT85,2010126,134.98,United States,-,USD,8.32,2.91,1.0,"Mar 01, 2033",6.6,8.3,-,2.91,8.3,2.91,USD,"Sep 01, 2003","Sep 18, 2003"
ONCOR ELECTRIC DELIVERY COMPANY LL,Electric,Fixed Income,"294,729.06",0.01,"294,729.06","280,000.00",68233JBR4,US68233JBR41,BK6FDG5,104.35,United States,-,USD,18.36,2.87,1.0,"Sep 15, 2049",3.1,18.57,-,2.87,18.35,2.87,USD,"Sep 12, 2019","Nov 15, 2019"
AON PLC,Insurance,Fixed Income,"294,415.90",0.01,"294,415.90","250,000.00",00185AAC8,US00185AAC80,B9ZT6F1,117.31,United States,-,USD,14.24,3.31,1.0,"May 24, 2043",4.45,14.34,-,3.31,14.24,3.31,USD,"May 24, 2013","May 24, 2013"
CONSOLIDATED EDISON CO OF NEW YORK,Electric,Fixed Income,"294,090.76",0.01,"294,090.76","258,000.00",209111FB4,US209111FB47,B7RDY08,112.75,United States,-,USD,13.82,3.33,1.0,"Mar 15, 2042",4.2,13.85,-,3.33,13.85,3.33,USD,"Mar 13, 2012","Mar 13, 2012"
PARKER HANNIFIN CORP MTN,Capital Goods,Fixed Income,"293,947.78",0.01,"293,947.78","257,000.00",70109HAM7,US70109HAM79,BSPPVL3,113.91,United States,-,USD,9.96,2.9,1.0,"Nov 21, 2034",4.2,10.1,-,2.86,9.8,2.86,USD,"Nov 21, 2014","Nov 21, 2014"
WISCONSIN POWER AND LIGHT COMPANY,Electric,Fixed Income,"293,741.76",0.01,"293,741.76","260,000.00",976826BN6,US976826BN62,-,112.07,United States,-,USD,17.85,3.01,1.0,"Apr 01, 2050",3.65,18.06,-,3.01,17.87,3.01,USD,"Apr 02, 2020","Apr 02, 2020"
XCEL ENERGY INC,Electric,Fixed Income,"293,329.32",0.01,"293,329.32","239,000.00",98389BAN0,US98389BAN01,B5ZZ7P8,121.32,United States,-,USD,13.1,3.32,1.0,"Sep 15, 2041",4.8,13.27,-,3.29,13.04,3.29,USD,"Sep 12, 2011","Sep 12, 2011"
PUBLIC SERVICE COMPANY OF COLORADO,Electric,Fixed Income,"293,359.82",0.01,"293,359.82","245,000.00",744448CR0,US744448CR00,BJM0G02,118.55,United States,-,USD,17.18,3.05,1.0,"Sep 15, 2049",4.05,17.4,-,3.04,17.21,3.04,USD,"Mar 13, 2019","Mar 13, 2019"
UNITYPOINT HEALTH (FKA IOWA HEALTH,Consumer Non-Cyclical,Fixed Income,"293,434.19",0.01,"293,434.19","249,000.00",91338CAA3,US91338CAA36,-,116.46,United States,-,USD,17.9,2.81,1.0,"Feb 15, 2050",3.67,18.13,-,2.8,17.93,2.8,USD,"May 13, 2020","May 13, 2020"
REGENCY CENTERS LP,Reits,Fixed Income,"293,093.81",0.01,"293,093.81","234,000.00",75884RAY9,US75884RAY99,-,123.88,United States,-,USD,16.26,3.31,1.0,"Mar 15, 2049",4.65,16.47,-,3.3,16.3,3.3,USD,"Mar 06, 2019","Mar 06, 2019"
KIMBERLY-CLARK CORP,Consumer Non-Cyclical,Fixed Income,"292,946.46",0.01,"292,946.46","265,000.00",494368BL6,US494368BL62,B9XZVF6,110.24,United States,-,USD,15.0,3.05,1.0,"Jun 01, 2043",3.7,15.05,-,3.05,15.05,3.05,USD,"May 23, 2013","May 23, 2013"
BLACK HILLS CORPORATION,Electric,Fixed Income,"292,944.13",0.01,"292,944.13","256,000.00",092113AQ2,US092113AQ27,-,113.71,United States,-,USD,8.99,2.92,1.0,"May 01, 2033",4.35,9.04,-,2.9,8.88,2.9,USD,"Aug 17, 2018","Aug 17, 2018"
DARDEN RESTAURANTS INC,Consumer Cyclical,Fixed Income,"292,169.85",0.01,"292,169.85","249,000.00",237194AM7,US237194AM73,BFWZ825,115.62,United States,-,USD,15.64,3.62,1.0,"Feb 15, 2048",4.55,15.8,-,3.61,15.62,3.61,USD,"Feb 22, 2018","Feb 22, 2018"
NORTHWELL HEALTHCARE INC,Consumer Non-Cyclical,Fixed Income,"292,180.39",0.01,"292,180.39","262,000.00",667274AD6,US667274AD67,-,110.88,United States,-,USD,17.28,3.21,1.0,"Nov 01, 2049",3.81,17.58,-,3.2,17.2,3.2,USD,"Sep 26, 2019","Sep 26, 2019"
PRINCIPAL FINANCIAL GROUP INC,Insurance,Fixed Income,"291,715.65",0.01,"291,715.65","232,000.00",74251VAF9,US74251VAF94,B8DRTZ1,124.38,United States,-,USD,13.93,3.03,1.0,"Sep 15, 2042",4.63,13.99,-,3.03,13.99,3.03,USD,"Sep 10, 2012","Sep 10, 2012"
JOHNSON CONTROLS INTERNATIONAL PLC,Capital Goods,Fixed Income,"291,007.15",0.01,"291,007.15","207,000.00",478375AH1,US478375AH14,BDG08S8,137.82,United States,-,USD,10.05,2.74,1.0,"Jan 15, 2036",6.0,10.06,-,2.74,10.06,2.74,USD,"Jul 15, 2016","Dec 28, 2016"
EMIRATES SEMB CORP WATER AND POWER 144A,Owned No Guarantee,Fixed Income,"290,729.51",0.01,"290,729.51","250,000.00",29135EAA4,US29135EAA47,BDT79T4,114.45,United Arab Emirates,-,USD,8.55,2.87,1.0,"Aug 01, 2035",4.45,8.54,-,2.87,8.54,2.87,USD,"Dec 07, 2017","Dec 07, 2017"
PIEDMONT HEALTHCARE IN,Consumer Non-Cyclical,Fixed Income,"290,377.04",0.01,"290,377.04","295,000.00",72014TAD1,US72014TAD19,-,97.63,United States,-,USD,15.01,2.87,1.0,"Jan 01, 2042",2.72,15.15,-,2.87,15.15,2.87,USD,"Sep 15, 2021","Sep 15, 2021"
WAL-MART STORES INC,Consumer Cyclical,Fixed Income,"290,189.81",0.01,"290,189.81","185,000.00",931142CK7,US931142CK74,B242VX5,154.4,United States,-,USD,10.87,2.33,1.0,"Aug 15, 2037",6.5,10.91,-,2.33,10.91,2.33,USD,"Aug 24, 2007","Aug 24, 2007"
THOMSON REUTERS CORP,Technology,Fixed Income,"290,013.34",0.01,"290,013.34","210,000.00",884903BP9,US884903BP96,BGLKKC2,137.51,Canada,-,USD,13.74,3.24,1.0,"Nov 23, 2043",5.65,13.94,-,3.21,13.75,3.21,USD,"Nov 21, 2013","Nov 21, 2013"
