,,,,,,,,,,,,,,,,,,,,,,,,,,iShares California Muni Bond ETF
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"641,401.20",0.03,"641,401.20","585,000.00",544495J54,US544495J540,-,107.14,United States,-,USD,1.43,0.23,1.0,"Jul 01, 2023",5.0,1.43,-,0.23,1.43,0.23,USD,"Jan 08, 2015","Jan 08, 2015"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"640,580.73",0.03,"640,580.73","585,000.00",544525SD1,US544525SD16,-,107.0,United States,-,USD,2.12,3.77,1.0,"Jul 01, 2028",5.0,5.43,-,0.32,1.43,0.32,USD,"Dec 05, 2013","Dec 05, 2013"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"640,125.49",0.03,"640,125.49","585,000.00",544495ZW7,US544495ZW77,-,106.92,United States,-,USD,2.34,3.92,1.0,"Jul 01, 2029",5.0,6.13,-,0.37,1.43,0.37,USD,"Jun 04, 2013","Jun 04, 2013"
CALIFORNIA ST PUB WKS BRD LEAS,State Tax-Backed,Fixed Income,"639,971.23",0.03,"639,971.23","625,000.00",1306854R8,US1306854R87,-,101.98,United States,-,USD,0.42,0.25,1.0,"Jun 01, 2026",5.0,0.42,-,0.25,0.42,0.25,USD,"Apr 26, 2012","Apr 26, 2012"
CALIFORNIA ST UNIV REV,Education,Fixed Income,"639,816.81",0.03,"639,816.81","520,000.00",13077DAP7,US13077DAP78,-,122.21,United States,-,USD,5.71,2.22,1.0,"Nov 01, 2030",5.0,7.3,-,0.74,4.76,0.74,USD,"Mar 09, 2017","Mar 09, 2017"
BAY AREA TOLL AUTH CALIF TOLL,Prerefund/Escrow,Fixed Income,"637,972.98",0.03,"637,972.98","595,000.00",072024TE2,US072024TE20,-,105.97,United States,-,USD,1.22,0.21,1.0,"Apr 01, 2023",5.0,1.21,-,0.21,1.21,0.21,USD,"Aug 06, 2013","Aug 06, 2013"
ORANGE CNTY CALIF LOC TRANSN A,Local Tax-Backed,Fixed Income,"637,206.39",0.03,"637,206.39","500,000.00",684273JB2,US684273JB25,-,125.55,United States,-,USD,8.58,3.2,1.0,"Feb 15, 2041",5.0,12.9,-,1.24,6.08,1.24,USD,"Feb 26, 2019","Feb 26, 2019"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"635,587.16",0.03,"635,587.16","510,000.00",13063C8T0,US13063C8T09,-,122.54,United States,-,USD,5.74,2.11,1.0,"Aug 01, 2030",5.0,7.06,-,0.86,4.91,0.86,USD,"Apr 19, 2017","Apr 19, 2017"
UNIVERSITY CALIF REVS,Education,Fixed Income,"634,874.19",0.03,"634,874.19","500,000.00",91412HDF7,US91412HDF73,-,126.27,United States,-,USD,8.5,4.1,1.0,"May 15, 2058",5.5,16.31,-,1.2,5.52,1.2,USD,"Jun 05, 2018","Jun 05, 2018"
SAN DIEGO CNTY CALIF WTR AUTH,Prerefund/Escrow,Fixed Income,"634,389.29",0.03,"634,389.29","605,000.00",797412BL6,US797412BL64,-,104.02,United States,-,USD,0.82,0.17,1.0,"Nov 01, 2022",5.0,0.82,-,0.17,0.82,0.17,USD,"Mar 13, 2013","Mar 13, 2013"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"631,678.45",0.03,"631,678.45","500,000.00",5446466M9,US5446466M90,-,123.84,United States,-,USD,5.9,1.94,1.0,"Jul 01, 2030",5.0,7.0,-,0.91,5.22,0.91,USD,"Mar 08, 2018","Mar 08, 2018"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"630,669.66",0.03,"630,669.66","600,000.00",13063BQD7,US13063BQD72,-,103.8,United States,-,USD,0.74,0.18,1.0,"Oct 01, 2022",5.25,0.74,-,0.18,0.74,0.18,USD,"Oct 27, 2011","Oct 27, 2011"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"630,451.85",0.03,"630,451.85","500,000.00",5446466N7,US5446466N73,-,123.59,United States,-,USD,6.15,2.23,1.0,"Jul 01, 2031",5.0,7.65,-,0.95,5.22,0.95,USD,"Mar 08, 2018","Mar 08, 2018"
CALIFORNIA INFRASTRUCTURE & EC,Utility,Fixed Income,"629,688.94",0.03,"629,688.94","575,000.00",13034ARW2,US13034ARW26,-,108.26,United States,-,USD,1.68,0.27,1.0,"Oct 01, 2023",5.0,1.68,-,0.27,1.68,0.27,USD,"Mar 23, 2017","Mar 23, 2017"
SAN DIEGO CALIF PUB FACS FING,Utility,Fixed Income,"629,728.77",0.03,"629,728.77","500,000.00",79730CJB1,US79730CJB19,-,123.86,United States,-,USD,8.27,3.43,1.0,"Aug 01, 2043",5.0,13.07,-,1.22,5.67,1.22,USD,"Jan 03, 2019","Jan 03, 2019"
CALIFORNIA INFRASTRUCTURE & EC,Utility,Fixed Income,"629,137.14",0.03,"629,137.14","600,000.00",13034AYJ3,US13034AYJ32,-,103.61,United States,-,USD,0.74,0.19,1.0,"Oct 01, 2022",5.0,0.74,-,0.19,0.74,0.19,USD,"Mar 08, 2018","Mar 08, 2018"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"627,048.90",0.03,"627,048.90","500,000.00",5444954R2,US5444954R24,-,122.91,United States,-,USD,7.22,3.12,1.0,"Jul 01, 2037",5.0,11.07,-,1.05,5.21,1.05,USD,"Apr 19, 2018","Apr 19, 2018"
UNIVERSITY CALIF REVS,Education,Fixed Income,"626,730.92",0.03,"626,730.92","500,000.00",91412HBE2,US91412HBE27,-,124.68,United States,-,USD,8.82,3.96,1.0,"May 15, 2058",5.25,17.09,-,1.21,5.54,1.21,USD,"Jun 05, 2018","Jun 05, 2018"
EAST BAY CALIF MUN UTIL DIST W,Utility,Fixed Income,"621,626.98",0.03,"621,626.98","540,000.00",271014ZC9,US271014ZC99,-,114.7,United States,-,USD,5.3,3.61,1.0,"Jun 01, 2035",5.0,9.98,-,0.64,3.18,0.64,USD,"Mar 03, 2015","Mar 03, 2015"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"621,307.85",0.03,"621,307.85","540,000.00",91412GYR0,US91412GYR00,-,114.42,United States,-,USD,4.56,3.34,1.0,"May 15, 2032",5.0,8.2,-,0.67,3.14,0.67,USD,"Mar 25, 2015","Mar 25, 2015"
COAST CMNTY COLLEGE DIST CALIF,School Districts,Fixed Income,"618,993.40",0.03,"618,993.40","565,000.00",190335GC7,US190335GC70,-,107.47,United States,-,USD,1.6,2.02,1.0,"Aug 01, 2024",5.0,2.39,-,0.27,1.51,0.27,USD,"May 29, 2013","May 29, 2013"
LOS ANGELES CNTY CALIF PUB WKS,Local Tax-Backed,Fixed Income,"616,675.28",0.03,"616,675.28","535,000.00",54473ESU9,US54473ESU90,-,114.85,United States,-,USD,6.77,4.03,1.0,"Dec 01, 2045",5.0,13.86,-,1.11,3.6,1.11,USD,"Mar 17, 2016","Mar 17, 2016"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"616,280.51",0.03,"616,280.51","525,000.00",13063CUU2,US13063CUU25,-,115.3,United States,-,USD,3.76,2.08,1.0,"Aug 01, 2027",5.0,4.85,-,0.67,3.28,0.67,USD,"Sep 09, 2015","Sep 09, 2015"
CALIFORNIA ST UNIV REV,Education,Fixed Income,"614,915.82",0.03,"614,915.82","500,000.00",13077DAQ5,US13077DAQ51,-,122.15,United States,-,USD,5.9,2.45,1.0,"Nov 01, 2031",5.0,7.95,-,0.75,4.76,0.75,USD,"Mar 09, 2017","Mar 09, 2017"
SAN DIEGO CALIF CMNTY COLLEGE,Prerefund/Escrow,Fixed Income,"611,555.82",0.03,"611,555.82","500,000.00",797272QD6,US797272QD66,-,120.23,United States,-,USD,4.12,0.53,1.0,"Aug 01, 2026",5.0,4.12,-,0.53,4.12,0.53,USD,"Nov 03, 2016","Nov 03, 2016"
SAN DIEGO CALIF CMNTY COLLEGE,School Districts,Fixed Income,"610,802.37",0.03,"610,802.37","500,000.00",797272PT2,US797272PT28,-,120.08,United States,-,USD,4.38,1.26,1.0,"Aug 01, 2027",5.0,4.89,-,0.56,4.12,0.56,USD,"Nov 03, 2016","Nov 03, 2016"
CALIFORNIA MUN FIN AUTH LEASE,Local Tax-Backed,Fixed Income,"610,089.38",0.03,"610,089.38","500,000.00",13049UCY3,US13049UCY38,-,121.6,United States,-,USD,7.54,3.51,1.0,"Jun 01, 2042",5.0,12.66,-,0.9,4.84,0.9,USD,"Jun 22, 2017","Jun 22, 2017"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"609,549.17",0.03,"609,549.17","500,000.00",13063C5Y2,US13063C5Y21,-,119.83,United States,-,USD,4.39,1.31,1.0,"Aug 01, 2027",5.0,4.89,-,0.61,4.11,0.61,USD,"Mar 14, 2017","Mar 14, 2017"
FOOTHILL / EASTERN TRANSN CORR,Transportation,Fixed Income,"608,750.10",0.03,"608,750.10","750,000.00",345105HY9,US345105HY97,-,81.17,United States,-,USD,10.98,1.9,1.0,"Jan 15, 2033",0.0,10.83,-,1.9,10.83,1.9,USD,"Feb 19, 2015","Feb 19, 2015"
SAN DIEGO CALIF UNI SCH DIST,School Districts,Fixed Income,"607,540.67",0.03,"607,540.67","1,100,000.00",797355P24,US797355P240,-,55.23,United States,-,USD,25.2,2.34,1.0,"Jul 01, 2047",0.0,24.92,-,2.34,24.92,2.34,USD,"Aug 18, 2010","Aug 18, 2010"
SAN DIEGO CALIF UNI SCH DIST,School Districts,Fixed Income,"604,164.05",0.03,"604,164.05","500,000.00",797356BY7,US797356BY75,-,118.83,United States,-,USD,11.13,3.01,1.0,"Jul 01, 2050",4.0,16.99,-,1.62,7.23,1.62,USD,"Aug 27, 2020","Aug 27, 2020"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"603,674.49",0.03,"603,674.49","530,000.00",13063CZR4,US13063CZR41,-,112.23,United States,-,USD,2.51,0.38,1.0,"Sep 01, 2024",5.0,2.5,-,0.38,2.5,0.38,USD,"Mar 17, 2016","Mar 17, 2016"
SAN BERNARDINO CALIF CMNTY COL,Prerefund/Escrow,Fixed Income,"603,481.03",0.03,"603,481.03","500,000.00",796720MA5,US796720MA55,-,119.03,United States,-,USD,5.04,0.56,1.0,"Aug 01, 2044",4.0,5.06,-,0.54,5.03,0.54,USD,"Dec 12, 2019","Dec 12, 2019"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"603,428.48",0.03,"603,428.48","500,000.00",13063CZ86,US13063CZ865,-,119.02,United States,-,USD,6.1,3.17,1.0,"Sep 01, 2034",5.0,9.55,-,0.84,4.19,0.84,USD,"Sep 13, 2016","Sep 13, 2016"
LOS ANGELES CALIF MUN IMPT COR,Local Tax-Backed,Fixed Income,"602,902.67",0.03,"602,902.67","500,000.00",544587G85,US544587G854,-,119.75,United States,-,USD,5.42,2.49,1.0,"Nov 01, 2030",5.0,7.27,-,0.82,4.36,0.82,USD,"Jun 01, 2016","Jun 01, 2016"
CALIFORNIA ST PUB WKS BRD LEAS,State Tax-Backed,Fixed Income,"602,781.16",0.03,"602,781.16","575,000.00",13068LMU6,US13068LMU60,-,103.16,United States,-,USD,0.66,0.25,1.0,"Sep 01, 2022",5.0,0.65,-,0.25,0.65,0.25,USD,"Apr 03, 2014","Apr 03, 2014"
SAN MARCOS CALIF UNI SCH DIST,School Districts,Fixed Income,"602,498.34",0.03,"602,498.34","655,000.00",798755BS2,US798755BS29,-,91.98,United States,-,USD,6.56,1.27,1.0,"Aug 01, 2028",0.0,6.5,-,1.27,6.5,1.27,USD,"Jul 07, 2011","Jul 07, 2011"
LOS ANGELES CALIF CMNTY COLLEG,Prerefund/Escrow,Fixed Income,"598,265.55",0.03,"598,265.55","525,000.00",54438CTF9,US54438CTF94,-,111.87,United States,-,USD,2.42,0.38,1.0,"Aug 01, 2024",5.0,2.41,-,0.38,2.41,0.38,USD,"Jan 08, 2015","Jan 08, 2015"
SAN DIEGO CALIF PUB FACS FING,Utility,Fixed Income,"597,407.49",0.03,"597,407.49","500,000.00",79730AJN9,US79730AJN90,-,118.84,United States,-,USD,4.75,2.22,1.0,"May 15, 2029",5.0,6.26,-,0.62,3.99,0.62,USD,"Mar 30, 2016","Mar 30, 2016"
UNIVERSITY CALIF REVS,Education,Fixed Income,"596,883.21",0.03,"596,883.21","500,000.00",91412HCK7,US91412HCK77,-,118.87,United States,-,USD,6.06,1.31,1.0,"May 15, 2029",4.0,6.48,-,0.94,5.71,0.94,USD,"Jun 05, 2018","Jun 05, 2018"
LONG BEACH CALIF UNI SCH DIST,School Districts,Fixed Income,"597,024.13",0.03,"597,024.13","500,000.00",542433WW3,US542433WW38,-,117.74,United States,-,USD,10.24,2.95,1.0,"Aug 01, 2045",4.0,15.32,-,1.51,6.56,1.51,USD,"Sep 05, 2019","Sep 05, 2019"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"595,035.39",0.03,"595,035.39","500,000.00",91412GQ73,US91412GQ737,-,118.37,United States,-,USD,6.05,3.29,1.0,"May 15, 2035",5.0,10.01,-,0.72,3.98,0.72,USD,"Jun 30, 2016","Jun 30, 2016"
CALIFORNIA ST UNIV REVENUE,Education,Fixed Income,"595,051.46",0.03,"595,051.46","485,000.00",13077DAV4,US13077DAV47,-,121.86,United States,-,USD,6.84,3.14,1.0,"Nov 01, 2036",5.0,10.85,-,0.8,4.76,0.8,USD,"Mar 09, 2017","Mar 09, 2017"
RIVERSIDE CNTY CALIF PUB FING,Prerefund/Escrow,Fixed Income,"594,490.40",0.03,"594,490.40","500,000.00",76912KCM2,US76912KCM27,-,118.02,United States,-,USD,3.52,0.5,1.0,"Nov 01, 2025",5.25,3.52,-,0.5,3.52,0.5,USD,"Jun 09, 2015","Jun 09, 2015"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"592,347.03",0.03,"592,347.03","500,000.00",13063DZV3,US13063DZV36,-,118.05,United States,-,USD,5.54,3.04,1.0,"Dec 01, 2032",5.0,8.6,-,0.83,4.03,0.83,USD,"Mar 23, 2021","Mar 23, 2021"
EL CAMINO CA CMNTY CLG DIST,School Districts,Fixed Income,"592,138.82",0.03,"592,138.82","700,000.00",282726DU9,US282726DU99,-,84.59,United States,-,USD,10.53,1.59,1.0,"Aug 01, 2032",0.0,10.42,-,1.59,10.42,1.59,USD,"Sep 11, 2012","Sep 11, 2012"
SOUTHWESTERN CMNTY COLLEGE DIS,Prerefund/Escrow,Fixed Income,"591,754.97",0.03,"591,754.97","500,000.00",845389FP5,US845389FP54,-,116.27,United States,-,USD,3.28,0.42,1.0,"Aug 01, 2025",5.0,3.28,-,0.42,3.28,0.42,USD,"Jul 07, 2015","Jul 07, 2015"
IMPERIAL CALIF IRR DIST ELEC R,Utility,Fixed Income,"591,495.82",0.03,"591,495.82","500,000.00",452650HH0,US452650HH00,-,117.47,United States,-,USD,7.49,3.9,1.0,"Nov 01, 2046",5.0,14.31,-,1.26,4.34,1.26,USD,"Jul 14, 2016","Jul 14, 2016"
SAN FRANCISCO CALIF CITY & CNT,Local Tax-Backed,Fixed Income,"588,541.43",0.03,"588,541.43","550,000.00",797646A71,US797646A715,-,106.79,United States,-,USD,1.77,3.35,1.0,"Jun 15, 2026",5.0,3.99,-,0.32,1.42,0.32,USD,"Feb 25, 2015","Feb 25, 2015"
METROPOLITAN WTR DIST SOUTHN C,Utility,Fixed Income,"587,610.25",0.03,"587,610.25","500,000.00",59266TLY5,US59266TLY54,-,115.02,United States,-,USD,3.83,2.48,1.0,"Jul 01, 2028",5.0,5.51,-,0.65,3.2,0.65,USD,"Dec 17, 2015","Dec 17, 2015"
BAY AREA TOLL AUTH CALIF TOLL,Transportation,Fixed Income,"587,659.60",0.03,"587,659.60","500,000.00",072024VC3,US072024VC36,-,116.53,United States,-,USD,5.45,1.58,1.0,"Apr 01, 2029",4.0,6.34,-,0.78,4.77,0.78,USD,"Aug 23, 2017","Aug 23, 2017"
CALIFORNIA INFRASTRUCTURE & EC,Prerefund/Escrow,Fixed Income,"586,942.15",0.03,"586,942.15","500,000.00",13034AMB3,US13034AMB34,-,116.39,United States,-,USD,4.36,0.5,1.0,"Oct 01, 2026",4.0,4.36,-,0.5,4.36,0.5,USD,"Jun 28, 2016","Jun 28, 2016"
SAN DIEGO CALIF CMNTY COLLEGE,Prerefund/Escrow,Fixed Income,"586,896.83",0.03,"586,896.83","500,000.00",797272PY1,US797272PY13,-,115.71,United States,-,USD,4.2,0.53,1.0,"Aug 01, 2026",4.0,4.19,-,0.53,4.19,0.53,USD,"Nov 03, 2016","Nov 03, 2016"
CALIFORNIA ST UNIV REV,Education,Fixed Income,"586,651.97",0.03,"586,651.97","500,000.00",13077CW67,US13077CW672,-,116.5,United States,-,USD,5.25,3.3,1.0,"Nov 01, 2033",5.0,9.09,-,0.64,3.53,0.64,USD,"Aug 05, 2015","Aug 05, 2015"
DESERT CALIF CMNTY COLLEGE DIS,School Districts,Fixed Income,"586,094.88",0.03,"586,094.88","500,000.00",250375HB1,US250375HB16,-,115.55,United States,-,USD,7.87,2.87,1.0,"Aug 01, 2039",4.0,12.55,-,1.12,5.0,1.12,USD,"May 04, 2017","May 04, 2017"
LOS ANGELES CNTY CALIF SANTN D,Utility,Fixed Income,"583,920.65",0.03,"583,920.65","500,000.00",545149JP2,US545149JP24,-,115.53,United States,-,USD,5.46,3.48,1.0,"Oct 01, 2034",5.0,9.56,-,0.79,3.44,0.79,USD,"Jul 08, 2015","Jul 08, 2015"
LOS ANGELES CALIF DEPT ARPTS R,Transportation,Fixed Income,"583,489.62",0.03,"583,489.62","450,000.00",544445TT6,US544445TT63,-,129.03,United States,-,USD,10.75,3.34,1.0,"May 15, 2048",5.0,15.63,-,1.65,7.74,1.65,USD,"Feb 17, 2021","Feb 17, 2021"
SAN DIEGO CA UNIF SCH DIST,School Districts,Fixed Income,"583,038.20",0.03,"583,038.20","500,000.00",7973554M3,US7973554M37,-,114.61,United States,-,USD,5.6,2.28,1.0,"Jul 01, 2031",4.0,7.89,-,0.7,4.11,0.7,USD,"May 04, 2016","May 04, 2016"
COAST CMNTY COLLEGE DIST CALIF,School Districts,Fixed Income,"582,183.98",0.03,"582,183.98","500,000.00",190335JB6,US190335JB60,-,114.77,United States,-,USD,8.54,3.03,1.0,"Aug 01, 2042",4.0,13.8,-,1.25,5.0,1.25,USD,"Mar 29, 2017","Mar 29, 2017"
SAN DIEGO CALIF UNI SCH DIST,School Districts,Fixed Income,"581,551.18",0.03,"581,551.18","690,000.00",797355Q64,US797355Q644,-,84.28,United States,-,USD,10.44,1.63,1.0,"Jul 01, 2032",0.0,10.33,-,1.63,10.33,1.63,USD,"May 24, 2012","May 24, 2012"
RIVERSIDE CALIF SWR REV,Utility,Fixed Income,"581,590.52",0.03,"581,590.52","500,000.00",769047HX2,US769047HX25,-,114.23,United States,-,USD,5.68,3.91,1.0,"Aug 01, 2040",5.0,11.65,-,0.95,3.27,0.95,USD,"Jun 10, 2015","Jun 10, 2015"
LOS ANGELES CNTY CALIF FACS IN,Local Tax-Backed,Fixed Income,"581,521.07",0.03,"581,521.07","500,000.00",54531FAT8,US54531FAT84,-,115.97,United States,-,USD,10.22,3.12,1.0,"Dec 01, 2048",4.0,16.42,-,1.56,6.12,1.56,USD,"Jul 26, 2018","Jul 26, 2018"
LOS ANGELES CALIF DEPT ARPTS R,Transportation,Fixed Income,"578,898.14",0.03,"578,898.14","500,000.00",544445KT5,US544445KT54,-,115.14,United States,-,USD,3.14,0.47,1.0,"May 15, 2025",5.0,3.14,-,0.47,3.14,0.47,USD,"Mar 12, 2019","Mar 12, 2019"
UNIVERSITY CALIF REVS,Education,Fixed Income,"576,746.21",0.03,"576,746.21","500,000.00",91412HBC6,US91412HBC60,-,114.84,United States,-,USD,9.74,3.17,1.0,"May 15, 2048",4.0,16.13,-,1.55,5.67,1.55,USD,"Jun 05, 2018","Jun 05, 2018"
EL CAMINO CALIF CMNTY COLLEGE,School Districts,Fixed Income,"573,267.43",0.03,"573,267.43","500,000.00",282726FF0,US282726FF05,-,112.99,United States,-,USD,8.02,3.21,1.0,"Aug 01, 2045",4.0,14.92,-,1.09,4.17,1.09,USD,"Jan 28, 2016","Jan 28, 2016"
LOS ANGELES CALIF WASTEWATER S,Utility,Fixed Income,"572,819.42",0.03,"572,819.42","500,000.00",53945CGS3,US53945CGS35,-,114.23,United States,-,USD,8.24,3.06,1.0,"Jun 01, 2042",4.0,13.39,-,1.27,4.92,1.27,USD,"May 24, 2017","May 24, 2017"
CALIFORNIA EDL FACS AUTH REV,Education,Fixed Income,"571,495.30",0.03,"571,495.30","500,000.00",130179BS2,US130179BS23,-,113.05,United States,-,USD,5.83,4.12,1.0,"Apr 01, 2045",5.0,13.3,-,0.92,3.01,0.92,USD,"Aug 28, 2015","Aug 28, 2015"
SAN JOAQUIN CNTY CALIF TRANSN,Local Tax-Backed,Fixed Income,"570,962.67",0.03,"570,962.67","500,000.00",798110CQ3,US798110CQ38,-,112.86,United States,-,USD,7.9,3.1,1.0,"Mar 01, 2041",4.0,12.83,-,1.41,4.66,1.41,USD,"Apr 28, 2017","Apr 28, 2017"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"570,535.26",0.03,"570,535.26","500,000.00",91412GX91,US91412GX915,-,113.6,United States,-,USD,8.81,3.17,1.0,"May 15, 2045",4.0,15.2,-,1.37,4.87,1.37,USD,"May 18, 2017","May 18, 2017"
SAN DIEGO CALIF CMNTY COLLEGE,School Districts,Fixed Income,"570,051.22",0.03,"570,051.22","500,000.00",797272PQ8,US797272PQ88,-,111.93,United States,-,USD,2.42,0.36,1.0,"Aug 01, 2024",5.0,2.42,-,0.36,2.42,0.36,USD,"Nov 03, 2016","Nov 03, 2016"
SACRAMENTO CALIF MUN UTIL DIST,Utility,Fixed Income,"569,927.49",0.03,"569,927.49","500,000.00",786005ZE1,US786005ZE12,-,112.1,United States,-,USD,2.46,0.36,1.0,"Aug 15, 2024",5.0,2.45,-,0.36,2.45,0.36,USD,"Dec 14, 2017","Dec 14, 2017"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"569,405.10",0.03,"569,405.10","520,000.00",544525SC3,US544525SC33,-,107.0,United States,-,USD,1.89,3.58,1.0,"Jul 01, 2027",5.0,4.71,-,0.32,1.43,0.32,USD,"Dec 05, 2013","Dec 05, 2013"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"569,504.23",0.03,"569,504.23","500,000.00",13063CZ29,US13063CZ295,-,112.23,United States,-,USD,2.51,0.38,1.0,"Sep 01, 2024",5.0,2.5,-,0.38,2.5,0.38,USD,"Sep 13, 2016","Sep 13, 2016"
CALIFORNIA EDL FACS AUTH REV,Education,Fixed Income,"567,957.80",0.03,"567,957.80","500,000.00",1301787X8,US1301787X82,-,112.34,United States,-,USD,6.0,4.17,1.0,"Apr 01, 2045",5.0,13.41,-,1.12,3.0,1.12,USD,"Jul 21, 2015","Jul 21, 2015"
CALIFORNIA ST UNIV REVENUE,Education,Fixed Income,"566,013.58",0.03,"566,013.58","500,000.00",13077C4H4,US13077C4H49,-,112.54,United States,-,USD,7.11,3.04,1.0,"Nov 01, 2038",4.0,12.44,-,1.03,4.0,1.03,USD,"Apr 20, 2016","Apr 20, 2016"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"565,297.30",0.03,"565,297.30","500,000.00",544495H64,US544495H643,-,110.56,United States,-,USD,4.85,4.26,1.0,"Jul 01, 2044",5.0,13.01,-,0.73,2.33,0.73,USD,"Oct 23, 2014","Oct 23, 2014"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"565,297.30",0.03,"565,297.30","500,000.00",544495L36,US544495L363,-,110.56,United States,-,USD,4.87,4.26,1.0,"Jul 01, 2044",5.0,13.21,-,0.73,2.33,0.73,USD,"Jan 08, 2015","Jan 08, 2015"
CALIFORNIA ST UNIV REV,Prerefund/Escrow,Fixed Income,"563,998.81",0.03,"563,998.81","495,000.00",13077DPV8,US13077DPV81,-,113.11,United States,-,USD,2.67,0.35,1.0,"Nov 01, 2024",5.0,2.66,-,0.35,2.66,0.35,USD,"Aug 20, 2014","Aug 20, 2014"
LOS ANGELES CNTY CALIF PUB WKS,Local Tax-Backed,Fixed Income,"563,842.18",0.03,"563,842.18","500,000.00",54473EQT4,US54473EQT46,-,112.35,United States,-,USD,5.04,4.03,1.0,"Dec 01, 2039",5.0,11.24,-,0.71,2.74,0.71,USD,"Feb 04, 2015","Feb 04, 2015"
SUNNYVALE CALIF SCH DIST,School Districts,Fixed Income,"562,148.87",0.03,"562,148.87","500,000.00",867578SV9,US867578SV98,-,111.1,United States,-,USD,6.67,3.26,1.0,"Sep 01, 2042",4.0,12.72,-,0.92,3.4,0.92,USD,"Jun 30, 2015","Jun 30, 2015"
CHAFFEY CALIF UN HIGH SCH DIST,School Districts,Fixed Income,"552,999.23",0.03,"552,999.23","500,000.00",157411QK8,US157411QK82,-,108.93,United States,-,USD,6.46,3.43,1.0,"Aug 01, 2044",4.0,14.23,-,1.05,2.88,1.05,USD,"May 06, 2015","May 06, 2015"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"552,321.47",0.03,"552,321.47","500,000.00",13063CRA0,US13063CRA08,-,109.13,United States,-,USD,6.71,3.43,1.0,"Mar 01, 2045",4.0,15.24,-,1.06,2.96,1.06,USD,"Mar 18, 2015","Mar 18, 2015"
CALIFORNIA ST UNIV REVENUE,Education,Fixed Income,"552,372.22",0.03,"552,372.22","450,000.00",13077DAU6,US13077DAU63,-,121.92,United States,-,USD,6.78,3.05,1.0,"Nov 01, 2035",5.0,10.32,-,0.79,4.76,0.79,USD,"Mar 09, 2017","Mar 09, 2017"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"551,302.29",0.03,"551,302.29","480,000.00",13063CSZ4,US13063CSZ40,-,112.77,United States,-,USD,4.6,3.64,1.0,"Aug 01, 2033",5.0,8.79,-,0.8,2.85,0.8,USD,"Apr 29, 2015","Apr 29, 2015"
COAST CMNTY COLLEGE DIST CALIF,School Districts,Fixed Income,"549,572.70",0.03,"549,572.70","1,000,000.00",190335KB4,US190335KB42,-,54.96,United States,-,USD,14.54,2.79,1.0,"Aug 01, 2043",0.0,21.0,-,2.08,7.43,2.08,USD,"Dec 17, 2019","Dec 17, 2019"
ESCONDIDO CALIF UN HIGH SCH DIST,School Districts,Fixed Income,"547,590.35",0.03,"547,590.35","1,155,000.00",296353MA0,US296353MA01,-,47.41,United States,-,USD,29.23,2.54,1.0,"Aug 01, 2051",0.0,28.85,-,2.54,28.85,2.54,USD,"Oct 06, 2011","Oct 06, 2011"
CHABOT-LAS POSITAS CALIF CMNTY,Prerefund/Escrow,Fixed Income,"547,534.47",0.03,"547,534.47","500,000.00",15722TFJ5,US15722TFJ51,-,107.42,United States,-,USD,1.51,0.3,1.0,"Aug 01, 2023",5.0,1.51,-,0.3,1.51,0.3,USD,"Mar 19, 2013","Mar 19, 2013"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"547,287.32",0.03,"547,287.32","500,000.00",13063C5R7,US13063C5R79,-,107.37,United States,-,USD,1.51,0.33,1.0,"Aug 01, 2023",5.0,1.51,-,0.33,1.51,0.33,USD,"Mar 14, 2017","Mar 14, 2017"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"547,038.05",0.03,"547,038.05","500,000.00",544495A46,US544495A465,-,106.91,United States,-,USD,2.44,4.03,1.0,"Jul 01, 2030",5.0,6.79,-,0.38,1.43,0.38,USD,"Jun 04, 2013","Jun 04, 2013"
