,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2022 Term Corporate ETF
CHEVRON CORP,Corporates,Fixed Income,"2,390,499.31",0.15,"2,390,499.31","2,367,000.00",166764BN9,US166764BN98,BF045B2,100.17,United States,-,USD,0.09,1.47,1.0,"Mar 03, 2022",2.5,0.17,-,0.52,0.09,0.52,USD,"Mar 03, 2017","Mar 03, 2017"
JOHN DEERE CAPITAL CORP MTN,Corporates,Fixed Income,"2,389,814.62",0.15,"2,389,814.62","2,348,000.00",24422ETV1,US24422ETV10,BD72PZ9,101.11,United States,-,USD,0.68,0.53,1.0,"Sep 08, 2022",2.15,0.68,-,0.53,0.68,0.53,USD,"Sep 08, 2017","Sep 08, 2017"
FOX CORP,Corporates,Fixed Income,"2,381,642.41",0.15,"2,381,642.41","2,340,000.00",35137LAF2,US35137LAF22,-,100.19,United States,-,USD,0.07,0.79,1.0,"Jan 25, 2022",3.67,0.07,-,0.79,0.07,0.79,USD,"Jan 25, 2020","Mar 30, 2020"
JOHN DEERE CAPITAL CORP MTN,Corporates,Fixed Income,"2,374,284.47",0.15,"2,374,284.47","2,342,000.00",24422EUT4,US24422EUT45,BJJTN23,100.64,United States,-,USD,0.25,0.38,1.0,"Apr 01, 2022",2.95,0.25,-,0.38,0.25,0.38,USD,"Mar 07, 2019","Mar 07, 2019"
ENTERPRISE PRODUCTS OPERATING LLC,Corporates,Fixed Income,"2,361,069.59",0.15,"2,361,069.59","2,316,000.00",29379VAU7,US29379VAU70,B56X074,100.42,United States,-,USD,0.13,0.63,1.0,"Feb 15, 2022",4.05,0.12,-,0.63,0.12,0.63,USD,"Aug 24, 2011","Aug 24, 2011"
CHUBB INA HOLDINGS INC,Corporates,Fixed Income,"2,360,701.02",0.15,"2,360,701.02","2,314,000.00",00440EAU1,US00440EAU10,BYSRN89,101.56,United States,-,USD,0.67,1.01,1.0,"Nov 03, 2022",2.88,0.83,-,0.55,0.67,0.55,USD,"Nov 03, 2015","Nov 03, 2015"
PNC FINANCIAL SERVICES GROUP INC,Corporates,Fixed Income,"2,358,409.78",0.15,"2,358,409.78","2,311,000.00",693475AL9,US693475AL94,B88W9S4,101.89,United States,-,USD,0.85,0.64,1.0,"Nov 09, 2022",2.85,0.85,-,0.64,0.85,0.64,USD,"Jun 10, 2012","Nov 09, 2012"
NORTHERN TRUST CORP,Corporates,Fixed Income,"2,336,885.56",0.15,"2,336,885.56","2,289,000.00",665859AN4,US665859AN47,B7T7776,101.11,United States,-,USD,0.58,0.48,1.0,"Aug 02, 2022",2.38,0.58,-,0.48,0.58,0.48,USD,"Aug 02, 2012","Aug 02, 2012"
PLAINS ALL AMERICAN PIPELINE LP,Corporates,Fixed Income,"2,320,783.00",0.15,"2,320,783.00","2,303,000.00",72650RAZ5,US72650RAZ55,B753KJ1,100.47,United States,-,USD,0.16,2.51,1.0,"Jun 01, 2022",3.65,0.41,-,0.82,0.17,0.82,USD,"Mar 22, 2012","Mar 22, 2012"
NATIONAL AUSTRALIA BANK LTD,Corporates,Fixed Income,"2,319,850.00",0.15,"2,319,850.00","2,289,000.00",63254ABC1,US63254ABC18,-,101.25,Australia,-,USD,0.94,0.55,1.0,"Dec 13, 2022",1.88,0.94,-,0.55,0.94,0.55,USD,"Jan 13, 2020","Jan 13, 2020"
EQUIFAX INC.,Corporates,Fixed Income,"2,284,042.14",0.15,"2,284,042.14","2,241,000.00",294429AJ4,US294429AJ43,B950FT1,101.77,United States,-,USD,0.7,1.42,1.0,"Dec 15, 2022",3.3,0.94,-,0.77,0.7,0.77,USD,"Dec 17, 2012","Dec 17, 2012"
BANK OF MONTREAL MTN,Corporates,Fixed Income,"2,283,118.89",0.15,"2,283,118.89","2,246,000.00",06367WRC9,US06367WRC90,-,101.31,Canada,-,USD,0.83,0.47,1.0,"Nov 01, 2022",2.05,0.83,-,0.47,0.83,0.47,USD,"Oct 21, 2019","Oct 21, 2019"
ENTERPRISE PRODUCTS OPERATING LLC,Corporates,Fixed Income,"2,263,471.00",0.14,"2,263,471.00","2,226,000.00",29379VBS1,US29379VBS16,BF39VP0,100.22,United States,-,USD,0.09,0.79,1.0,"Feb 01, 2022",3.5,0.08,-,0.79,0.08,0.79,USD,"Oct 11, 2018","Oct 11, 2018"
DTE ENERGY COMPANY,Corporates,Fixed Income,"2,263,255.56",0.14,"2,263,255.56","2,227,000.00",233331BE6,US233331BE67,-,101.25,United States,-,USD,0.83,0.74,1.0,"Nov 01, 2022",2.25,0.82,-,0.74,0.82,0.74,USD,"Nov 05, 2019","Nov 05, 2019"
HOME DEPOT INC,Corporates,Fixed Income,"2,254,505.98",0.14,"2,254,505.98","2,220,000.00",437076BV3,US437076BV39,BH0NC56,100.47,United States,-,USD,0.16,0.42,1.0,"Mar 01, 2022",3.25,0.17,-,0.42,0.17,0.42,USD,"Dec 06, 2018","Dec 06, 2018"
HUNTINGTON NATIONAL BANK (THE),Corporates,Fixed Income,"2,231,643.68",0.14,"2,231,643.68","2,186,000.00",44644AAB3,US44644AAB35,BD93QH9,101.09,United States,-,USD,0.51,0.68,1.0,"Aug 07, 2022",2.5,0.59,-,0.39,0.51,0.39,USD,"Aug 07, 2017","Aug 07, 2017"
EXELON GENERATION CO LLC,Corporates,Fixed Income,"2,230,064.34",0.14,"2,230,064.34","2,210,000.00",30161MAL7,US30161MAL72,B8N3G36,100.72,United States,-,USD,0.2,2.65,1.0,"Jun 15, 2022",4.25,0.45,-,0.74,0.21,0.74,USD,"Dec 15, 2012","Feb 12, 2013"
WELLS FARGO & COMPANY,Corporates,Fixed Income,"2,199,823.56",0.14,"2,199,823.56","2,150,000.00",95000U2B8,US95000U2B83,BF348C1,101.16,United States,-,USD,0.55,0.54,1.0,"Jul 22, 2022",2.63,0.55,-,0.54,0.55,0.54,USD,"Jul 24, 2017","Jul 24, 2017"
FIDELITY NATIONAL FINANCIAL INC,Corporates,Fixed Income,"2,198,351.00",0.14,"2,198,351.00","2,094,000.00",31620RAF2,US31620RAF29,B8G30S6,103.15,United States,-,USD,0.65,0.75,1.0,"Sep 01, 2022",5.5,0.65,-,0.75,0.65,0.75,USD,"Aug 28, 2012","Aug 28, 2012"
CITIZENS BANK NA/ PROVIDENCE RI,Corporates,Fixed Income,"2,198,073.08",0.14,"2,198,073.08","2,178,000.00",17401QAL5,US17401QAL59,BF2MY28,100.66,United States,-,USD,0.32,0.99,1.0,"May 26, 2022",2.65,0.4,-,0.56,0.32,0.56,USD,"May 26, 2017","May 26, 2017"
MPLX LP,Corporates,Fixed Income,"2,189,689.71",0.14,"2,189,689.71","2,138,000.00",55336VBK5,US55336VBK52,-,102.13,United States,-,USD,0.83,1.16,1.0,"Dec 01, 2022",3.5,0.9,-,0.93,0.82,0.93,USD,"Dec 01, 2019","May 20, 2020"
AMERICAN HONDA FINANCE CORPORATION MTN,Corporates,Fixed Income,"2,183,290.84",0.14,"2,183,290.84","2,185,000.00",02665WDR9,US02665WDR97,-,99.84,United States,-,USD,0.8,0.59,1.0,"Oct 21, 2022",0.4,0.8,-,0.59,0.8,0.59,USD,"Oct 21, 2020","Oct 21, 2020"
RYDER SYSTEM INC MTN,Corporates,Fixed Income,"2,164,463.93",0.14,"2,164,463.93","2,143,000.00",78355HKM0,US78355HKM06,BK9TL04,100.76,United States,-,USD,0.33,1.04,1.0,"Jun 01, 2022",2.88,0.41,-,0.58,0.34,0.58,USD,"May 22, 2019","May 22, 2019"
CAMPBELL SOUP CO,Corporates,Fixed Income,"2,138,182.06",0.14,"2,138,182.06","2,093,000.00",134429AY5,US134429AY59,B8GPWW0,101.12,United States,-,USD,0.58,0.58,1.0,"Aug 02, 2022",2.5,0.58,-,0.58,0.58,0.58,USD,"Aug 02, 2012","Aug 02, 2012"
PROGRESS ENERGY CAROLINAS INC,Corporates,Fixed Income,"2,123,288.31",0.13,"2,123,288.31","2,110,000.00",144141DC9,US144141DC90,B87NVK4,100.27,United States,-,USD,0.13,2.06,1.0,"May 15, 2022",2.8,0.37,-,0.56,0.12,0.56,USD,"May 18, 2012","May 18, 2012"
CELANESE US HOLDINGS LLC,Corporates,Fixed Income,"2,120,128.10",0.13,"2,120,128.10","2,028,000.00",15089QAD6,US15089QAD60,B7FBKP1,103.18,United States,-,USD,0.85,0.95,1.0,"Nov 15, 2022",4.63,0.85,-,0.95,0.85,0.95,USD,"Nov 13, 2012","Nov 13, 2012"
AERCAP IRELAND CAPITAL LTD / AERCA,Corporates,Fixed Income,"2,115,796.41",0.13,"2,115,796.41","2,090,000.00",00774MAA3,US00774MAA36,BZ072L0,100.89,Ireland,-,USD,0.32,1.26,1.0,"May 26, 2022",3.5,0.4,-,0.69,0.32,0.69,USD,"Jan 26, 2017","Jan 26, 2017"
WALT DISNEY CO MTN,Corporates,Fixed Income,"2,106,938.88",0.13,"2,106,938.88","2,083,000.00",25468PDQ6,US25468PDQ63,BF04KT5,100.35,United States,-,USD,0.17,0.43,1.0,"Mar 04, 2022",2.45,0.17,-,0.43,0.17,0.43,USD,"Mar 06, 2017","Mar 06, 2017"
STARBUCKS CORPORATION,Corporates,Fixed Income,"2,085,458.21",0.13,"2,085,458.21","2,075,000.00",855244AY5,US855244AY52,-,100.31,United States,-,USD,0.35,0.42,1.0,"May 07, 2022",1.3,0.35,-,0.42,0.35,0.42,USD,"May 07, 2020","May 07, 2020"
CVS HEALTH CORP,Corporates,Fixed Income,"2,083,182.35",0.13,"2,083,182.35","2,022,000.00",126650CQ1,US126650CQ12,BD3JDL6,102.63,United States,-,USD,0.66,1.84,1.0,"Dec 01, 2022",4.75,0.9,-,0.79,0.66,0.79,USD,"Jun 01, 2016","Jun 07, 2016"
CATERPILLAR FINANCIAL SERVICES COR MTN,Corporates,Fixed Income,"2,048,962.76",0.13,"2,048,962.76","2,028,000.00",14913QAA7,US14913QAA76,BZ4DLY0,100.87,United States,-,USD,0.43,0.38,1.0,"Jun 06, 2022",2.4,0.43,-,0.38,0.43,0.38,USD,"Jun 06, 2017","Jun 06, 2017"
JOHN DEERE CAPITAL CORP MTN,Corporates,Fixed Income,"2,046,284.33",0.13,"2,046,284.33","2,020,000.00",24422ETL3,US24422ETL38,BYYPS15,100.01,United States,-,USD,0.02,1.69,1.0,"Jan 06, 2022",2.65,0.01,-,1.69,0.01,1.69,USD,"Jan 06, 2017","Jan 06, 2017"
ALABAMA POWER COMPANY,Corporates,Fixed Income,"2,040,452.12",0.13,"2,040,452.12","2,021,000.00",010392FQ6,US010392FQ67,BF00KV5,100.35,United States,-,USD,0.24,1.04,1.0,"Mar 30, 2022",2.45,0.25,-,0.27,0.16,0.27,USD,"Mar 03, 2017","Mar 03, 2017"
CNH INDUSTRIAL CAPITAL LLC,Corporates,Fixed Income,"2,035,705.04",0.13,"2,035,705.04","1,998,000.00",12592BAH7,US12592BAH78,BDG28T5,100.84,United States,-,USD,0.26,1.13,1.0,"Apr 05, 2022",4.38,0.26,-,1.13,0.26,1.13,USD,"Apr 10, 2017","Apr 10, 2017"
BLOCK FINANCIAL LLC,Corporates,Fixed Income,"2,020,046.84",0.13,"2,020,046.84","1,974,000.00",093662AE4,US093662AE40,B8Q8RM4,101.42,United States,-,USD,0.33,3.75,1.0,"Nov 01, 2022",5.5,0.8,-,1.22,0.33,1.22,USD,"Oct 25, 2012","Oct 25, 2012"
AMERICAN HONDA FINANCE CORPORATION,Corporates,Fixed Income,"2,009,344.26",0.13,"2,009,344.26","1,993,000.00",02665WDF5,US02665WDF59,-,100.6,United States,-,USD,0.38,0.4,1.0,"May 20, 2022",1.95,0.39,-,0.4,0.39,0.4,USD,"Nov 21, 2019","Nov 21, 2019"
TOYOTA MOTOR CORPORATION,Corporates,Fixed Income,"2,007,769.37",0.13,"2,007,769.37","1,971,000.00",892331AE9,US892331AE95,BK60MS5,100.79,Japan,-,USD,0.5,0.58,1.0,"Jul 02, 2022",2.16,0.5,-,0.58,0.5,0.58,USD,"Jul 02, 2019","Jul 02, 2019"
ALLY FINANCIAL INC,Corporates,Fixed Income,"2,004,842.01",0.13,"2,004,842.01","1,965,000.00",02005NBC3,US02005NBC39,BY2ZGZ7,101.49,United States,-,USD,0.38,0.73,1.0,"May 19, 2022",4.63,0.38,-,0.73,0.38,0.73,USD,"May 19, 2015","May 19, 2015"
PARKER HANNIFIN CORP MTN,Corporates,Fixed Income,"2,003,787.55",0.13,"2,003,787.55","1,946,000.00",70109HAK1,US70109HAK14,B64PMD9,101.94,United States,-,USD,0.7,0.74,1.0,"Sep 15, 2022",3.5,0.69,-,0.74,0.69,0.74,USD,"Sep 10, 2010","Sep 10, 2010"
KEYBANK NATIONAL ASSOCIATION,Corporates,Fixed Income,"2,002,417.74",0.13,"2,002,417.74","1,971,000.00",49327M2X1,US49327M2X13,BJ555X0,100.22,United States,-,USD,0.09,0.66,1.0,"Feb 01, 2022",3.3,0.08,-,0.66,0.08,0.66,USD,"Feb 01, 2019","Feb 01, 2019"
STARBUCKS CORP,Corporates,Fixed Income,"2,001,902.50",0.13,"2,001,902.50","1,987,000.00",855244AG4,US855244AG47,BYYG2B6,100.63,United States,-,USD,0.29,1.31,1.0,"Jun 15, 2022",2.7,0.45,-,0.51,0.29,0.51,USD,"Jun 10, 2015","Jun 10, 2015"
DUKE ENERGY CORP,Corporates,Fixed Income,"1,994,960.51",0.13,"1,994,960.51","1,958,000.00",26441CAW5,US26441CAW55,BF46ZB4,100.98,United States,-,USD,0.53,0.82,1.0,"Aug 15, 2022",2.4,0.61,-,0.57,0.53,0.57,USD,"Aug 10, 2017","Aug 10, 2017"
AMERICAN ELECTRIC POWER COMPANY IN,Corporates,Fixed Income,"1,989,195.49",0.13,"1,989,195.49","1,956,000.00",025537AG6,US025537AG68,B8YQJP7,101.57,United States,-,USD,0.7,1.3,1.0,"Dec 15, 2022",2.95,0.94,-,0.72,0.7,0.72,USD,"Dec 03, 2012","Dec 03, 2012"
ROPER TECHNOLOGIES INC,Corporates,Fixed Income,"1,985,399.43",0.13,"1,985,399.43","1,983,000.00",776743AK2,US776743AK29,-,99.95,United States,-,USD,0.62,0.53,1.0,"Aug 15, 2022",0.45,0.62,-,0.53,0.62,0.53,USD,"Sep 01, 2020","Sep 01, 2020"
FS INVESTMENT CORP,Corporates,Fixed Income,"1,985,360.06",0.13,"1,985,360.06","1,955,000.00",302635AC1,US302635AC17,BX7RT85,100.95,United States,-,USD,0.29,2.17,1.0,"May 15, 2022",4.75,0.37,-,1.44,0.29,1.44,USD,"Apr 30, 2015","Apr 30, 2015"
UNILEVER CAPITAL CORP,Corporates,Fixed Income,"1,978,957.83",0.13,"1,978,957.83","1,951,000.00",904764BF3,US904764BF35,BDRHTD0,100.48,Netherlands,-,USD,0.18,0.36,1.0,"Mar 07, 2022",3.0,0.18,-,0.36,0.18,0.36,USD,"Sep 07, 2018","Sep 07, 2018"
MCKESSON CORP,Corporates,Fixed Income,"1,975,579.20",0.13,"1,975,579.20","1,946,000.00",581557AZ8,US581557AZ88,B92Q1Z0,101.4,United States,-,USD,0.7,1.22,1.0,"Dec 15, 2022",2.7,0.94,-,0.71,0.7,0.71,USD,"Dec 04, 2012","Dec 04, 2012"
GENERAL MILLS INC,Corporates,Fixed Income,"1,974,975.96",0.13,"1,974,975.96","1,937,000.00",370334CA0,US370334CA00,BF22YJ5,101.39,United States,-,USD,0.69,0.81,1.0,"Oct 12, 2022",2.6,0.77,-,0.6,0.69,0.6,USD,"Oct 12, 2017","Oct 12, 2017"
MICROSOFT CORP,Corporates,Fixed Income,"1,973,261.84",0.13,"1,973,261.84","1,940,000.00",594918AQ7,US594918AQ78,B7JJ5L2,101.44,United States,-,USD,0.87,0.47,1.0,"Nov 15, 2022",2.13,0.86,-,0.47,0.86,0.47,USD,"Nov 07, 2012","Nov 07, 2012"
ONCOR ELECTRIC DELIVERY CO.,Corporates,Fixed Income,"1,970,052.65",0.13,"1,970,052.65","1,852,000.00",68233DAR8,US68233DAR89,2364704,104.04,United States,-,USD,0.65,0.9,1.0,"Sep 01, 2022",7.0,0.65,-,0.9,0.65,0.9,USD,"Aug 30, 2002","Feb 25, 2003"
PACCAR FINANCIAL CORP MTN,Corporates,Fixed Income,"1,967,706.25",0.13,"1,967,706.25","1,945,000.00",69371RP83,US69371RP831,BHTGFB3,100.79,United States,-,USD,0.36,0.43,1.0,"May 10, 2022",2.65,0.36,-,0.43,0.36,0.43,USD,"May 10, 2019","May 10, 2019"
PROGRESS ENERGY INC,Corporates,Fixed Income,"1,965,022.34",0.12,"1,965,022.34","1,946,000.00",743263AS4,US743263AS47,B77NX90,100.19,United States,-,USD,0.08,2.37,1.0,"Apr 01, 2022",3.15,0.25,-,0.76,0.08,0.76,USD,"Mar 08, 2012","Mar 08, 2012"
DOMINION RESOURCES INC/VA,Corporates,Fixed Income,"1,946,338.47",0.12,"1,946,338.47","1,913,000.00",25746UBP3,US25746UBP30,B8N2M68,100.93,United States,-,USD,0.45,1.41,1.0,"Sep 15, 2022",2.75,0.69,-,0.7,0.45,0.7,USD,"Sep 13, 2012","Sep 13, 2012"
FIRST REPUBLIC BANK,Corporates,Fixed Income,"1,944,887.46",0.12,"1,944,887.46","1,929,000.00",336158AK6,US336158AK61,BYVRD53,100.65,United States,-,USD,0.35,0.98,1.0,"Jun 06, 2022",2.5,0.43,-,0.62,0.35,0.62,USD,"Jun 06, 2017","Jun 06, 2017"
CAPITAL ONE NA,Corporates,Fixed Income,"1,926,131.17",0.12,"1,926,131.17","1,895,000.00",14042RNW7,US14042RNW78,-,100.96,United States,-,USD,0.34,0.74,1.0,"Sep 06, 2022",2.15,0.67,-,-0.61,0.34,-0.61,USD,"Sep 06, 2019","Sep 06, 2019"
HSBC HOLDINGS PLC,Corporates,Fixed Income,"1,924,615.56",0.12,"1,924,615.56","1,900,000.00",404280BF5,US404280BF56,BDCVWX8,100.0,United Kingdom,-,USD,0.01,2.62,1.0,"Jan 05, 2022",2.65,0.01,-,2.62,0.01,2.62,USD,"Oct 05, 2016","Oct 05, 2016"
JOHN DEERE CAPITAL CORP MTN,Corporates,Fixed Income,"1,916,453.68",0.12,"1,916,453.68","1,910,000.00",24422EVG1,US24422EVG15,-,100.07,United States,-,USD,0.51,0.41,1.0,"Jul 05, 2022",0.55,0.51,-,0.41,0.51,0.41,USD,"Jun 04, 2020","Jun 04, 2020"
WALT DISNEY CO MTN,Corporates,Fixed Income,"1,889,746.28",0.12,"1,889,746.28","1,867,000.00",25468PCT1,US25468PCT12,B7M7FD5,100.26,United States,-,USD,0.13,0.46,1.0,"Feb 15, 2022",2.55,0.12,-,0.46,0.12,0.46,USD,"Feb 14, 2012","Feb 14, 2012"
INVESCO FINANCE PLC,Corporates,Fixed Income,"1,889,193.26",0.12,"1,889,193.26","1,843,000.00",46132FAA8,US46132FAA84,B80F787,102.25,United States,-,USD,0.91,0.66,1.0,"Nov 30, 2022",3.13,0.91,-,0.66,0.91,0.66,USD,"Nov 08, 2012","Nov 08, 2012"
PRAXAIR INC,Corporates,Fixed Income,"1,861,884.79",0.12,"1,861,884.79","1,835,000.00",74005PBB9,US74005PBB94,B89Y0K8,100.63,United States,-,USD,0.37,1.17,1.0,"Aug 15, 2022",2.2,0.61,-,0.49,0.37,0.49,USD,"Aug 02, 2012","Aug 02, 2012"
AUTOZONE INC,Corporates,Fixed Income,"1,851,076.64",0.12,"1,851,076.64","1,835,000.00",053332AM4,US053332AM44,B828NK8,100.1,United States,-,USD,0.08,3.34,1.0,"Apr 15, 2022",3.7,0.28,-,2.42,0.08,2.42,USD,"Apr 24, 2012","Apr 24, 2012"
HUNTINGTON NATIONAL BANK (THE),Corporates,Fixed Income,"1,848,362.20",0.12,"1,848,362.20","1,827,000.00",44644AAH0,US44644AAH05,BHLNQL9,100.39,United States,-,USD,0.16,1.55,1.0,"Apr 01, 2022",3.13,0.25,-,0.77,0.17,0.77,USD,"Feb 26, 2019","Feb 26, 2019"
NATIONAL RURAL UTILITIES COOPERATI MTN,Corporates,Fixed Income,"1,837,977.93",0.12,"1,837,977.93","1,822,000.00",63743HET5,US63743HET59,-,100.07,United States,-,USD,0.06,0.46,1.0,"Jan 21, 2022",1.75,0.06,-,0.46,0.06,0.46,USD,"Feb 05, 2020","Feb 05, 2020"
CIGNA CORP,Corporates,Fixed Income,"1,832,144.18",0.12,"1,832,144.18","1,793,000.00",125523BT6,US125523BT66,-,101.93,United States,-,USD,0.91,0.93,1.0,"Nov 30, 2022",3.05,0.91,-,0.72,0.82,0.72,USD,"May 30, 2020","Jul 13, 2020"
PFIZER INC,Corporates,Fixed Income,"1,821,887.43",0.12,"1,821,887.43","1,798,000.00",717081ER0,US717081ER06,BJBM0F2,100.47,United States,-,USD,0.19,0.36,1.0,"Mar 11, 2022",2.8,0.19,-,0.36,0.19,0.36,USD,"Mar 11, 2019","Mar 11, 2019"
VERISK ANALYTICS INC,Corporates,Fixed Income,"1,819,583.61",0.12,"1,819,583.61","1,757,000.00",92345YAC0,US92345YAC03,B7YHSR8,102.31,United States,-,USD,0.69,0.79,1.0,"Sep 12, 2022",4.13,0.68,-,0.79,0.68,0.79,USD,"Sep 12, 2012","Sep 12, 2012"
PUGET ENERGY INC,Corporates,Fixed Income,"1,804,222.16",0.11,"1,804,222.16","1,735,000.00",745310AF9,US745310AF99,B92MHP0,101.4,United States,-,USD,0.28,2.99,1.0,"Jul 15, 2022",5.63,0.52,-,0.72,0.27,0.72,USD,"Jun 15, 2012","Nov 30, 2012"
VF CORPORATION,Corporates,Fixed Income,"1,799,944.24",0.11,"1,799,944.24","1,785,000.00",918204AZ1,US918204AZ14,BMVM7T6,100.45,United States,-,USD,0.31,0.6,1.0,"Apr 23, 2022",2.05,0.31,-,0.6,0.31,0.6,USD,"Apr 23, 2020","Apr 23, 2020"
AERCAP IRELAND CAPITAL LTD / AERCA,Corporates,Fixed Income,"1,799,836.23",0.11,"1,799,836.23","1,727,000.00",00772BAP6,US00772BAP67,BYRY4T9,101.91,Ireland,-,USD,0.49,0.8,1.0,"Jul 01, 2022",4.63,0.49,-,0.8,0.49,0.8,USD,"Jun 25, 2015","Jun 25, 2015"
GILEAD SCIENCES INC,Corporates,Fixed Income,"1,798,780.20",0.11,"1,798,780.20","1,785,000.00",375558BH5,US375558BH51,BD87JT5,100.12,United States,-,USD,0.09,1.21,1.0,"Mar 01, 2022",1.95,0.17,-,0.47,0.09,0.47,USD,"Sep 20, 2016","Sep 20, 2016"
MARKEL CORPORATION,Corporates,Fixed Income,"1,784,879.60",0.11,"1,784,879.60","1,709,000.00",570535AK0,US570535AK02,B8BXFH5,101.99,United States,-,USD,0.49,0.9,1.0,"Jul 01, 2022",4.9,0.49,-,0.9,0.49,0.9,USD,"Jul 02, 2012","Jul 02, 2012"
ROPER INDUSTRIES INC,Corporates,Fixed Income,"1,774,032.09",0.11,"1,774,032.09","1,741,000.00",776696AE6,US776696AE65,B91P0Y0,101.5,United States,-,USD,0.62,1.39,1.0,"Nov 15, 2022",3.13,0.86,-,0.7,0.61,0.7,USD,"Nov 21, 2012","Nov 21, 2012"
COMMONSPIRIT HEALTH,Corporates,Fixed Income,"1,765,592.69",0.11,"1,765,592.69","1,727,000.00",14916RAC8,US14916RAC88,B815117,101.74,United States,-,USD,0.83,0.85,1.0,"Nov 01, 2022",2.95,0.82,-,0.85,0.82,0.85,USD,"Oct 31, 2012","Oct 31, 2012"
JOHN DEERE CAPITAL CORP MTN,Corporates,Fixed Income,"1,758,142.08",0.11,"1,758,142.08","1,731,000.00",24422EUQ0,US24422EUQ06,BJ85T80,100.05,United States,-,USD,0.03,1.26,1.0,"Jan 10, 2022",3.2,0.02,-,1.26,0.02,1.26,USD,"Jan 10, 2019","Jan 10, 2019"
UNION PACIFIC CORPORATION,Corporates,Fixed Income,"1,756,869.19",0.11,"1,756,869.19","1,733,000.00",907818EZ7,US907818EZ78,BGKD0P5,100.39,United States,-,USD,0.16,0.58,1.0,"Mar 01, 2022",2.95,0.17,-,0.58,0.17,0.58,USD,"Feb 19, 2019","Feb 19, 2019"
NATIONAL RURAL UTILITIES COOPERATI,Corporates,Fixed Income,"1,738,420.85",0.11,"1,738,420.85","1,723,000.00",637432NM3,US637432NM30,BDCWFW1,100.46,United States,-,USD,0.23,0.95,1.0,"Apr 25, 2022",2.4,0.32,-,0.44,0.24,0.44,USD,"Apr 25, 2017","Apr 25, 2017"
ALLY FINANCIAL INC,Corporates,Fixed Income,"1,728,294.21",0.11,"1,728,294.21","1,695,000.00",02005NAY6,US02005NAY67,BVGBM30,100.38,United States,-,USD,0.12,0.83,1.0,"Feb 13, 2022",4.13,0.12,-,0.83,0.12,0.83,USD,"Feb 13, 2015","Feb 13, 2015"
PHILIP MORRIS INTERNATIONAL INC,Corporates,Fixed Income,"1,727,146.02",0.11,"1,727,146.02","1,709,000.00",718172BZ1,US718172BZ15,BDZC8D0,100.09,United States,-,USD,0.13,1.9,1.0,"Feb 18, 2022",2.63,0.13,-,1.42,0.08,1.42,USD,"Feb 21, 2017","Feb 21, 2017"
WALT DISNEY CO,Corporates,Fixed Income,"1,722,338.00",0.11,"1,722,338.00","1,700,000.00",254687FJ0,US254687FJ07,BJJJT69,100.76,United States,-,USD,0.66,0.5,1.0,"Sep 01, 2022",1.65,0.66,-,0.5,0.66,0.5,USD,"Sep 06, 2019","Sep 06, 2019"
HUMANA INC,Corporates,Fixed Income,"1,713,938.12",0.11,"1,713,938.12","1,679,000.00",444859BJ0,US444859BJ00,BD491S8,101.95,United States,-,USD,0.87,0.84,1.0,"Dec 15, 2022",2.9,0.94,-,0.65,0.86,0.65,USD,"Dec 21, 2017","Dec 21, 2017"
SYSCO CORPORATION,Corporates,Fixed Income,"1,705,457.67",0.11,"1,705,457.67","1,688,000.00",871829AQ0,US871829AQ03,B8L2KS8,100.9,United States,-,USD,0.45,0.59,1.0,"Jun 12, 2022",2.6,0.45,-,0.59,0.45,0.59,USD,"Jun 12, 2012","Jun 12, 2012"
SYNOVUS FINANCIAL CORP.,Corporates,Fixed Income,"1,687,578.01",0.11,"1,687,578.01","1,653,000.00",87161CAL9,US87161CAL90,BD58827,101.57,United States,-,USD,0.74,1.22,1.0,"Nov 01, 2022",3.13,0.82,-,1.02,0.74,1.02,USD,"Nov 01, 2017","Nov 01, 2017"
FIFTH THIRD BANCORP,Corporates,Fixed Income,"1,684,845.11",0.11,"1,684,845.11","1,662,000.00",316773CL2,US316773CL24,B4MRJP4,100.34,United States,-,USD,0.13,1.8,1.0,"Mar 15, 2022",3.5,0.2,-,0.66,0.12,0.66,USD,"Mar 07, 2012","Mar 07, 2012"
EDISON INTERNATIONAL,Corporates,Fixed Income,"1,680,795.93",0.11,"1,680,795.93","1,655,000.00",281020AL1,US281020AL15,BYVWJH2,100.85,United States,-,USD,0.62,1.18,1.0,"Sep 15, 2022",2.4,0.7,-,1.02,0.61,1.02,USD,"Aug 22, 2017","Aug 22, 2017"
PHILIP MORRIS INTERNATIONAL INC,Corporates,Fixed Income,"1,674,245.03",0.11,"1,674,245.03","1,644,000.00",718172CD9,US718172CD93,BF8RVR1,101.43,United States,-,USD,0.75,0.78,1.0,"Nov 02, 2022",2.5,0.83,-,0.59,0.75,0.59,USD,"Nov 02, 2017","Nov 02, 2017"
KROGER CO,Corporates,Fixed Income,"1,661,670.83",0.11,"1,661,670.83","1,625,000.00",501044DH1,US501044DH11,BF347B3,101.09,United States,-,USD,0.49,0.92,1.0,"Aug 01, 2022",2.8,0.57,-,0.61,0.49,0.61,USD,"Jul 24, 2017","Jul 24, 2017"
