,,,,,,,,,,,,,,,,,,,,,,,,,,iShares U.S. Fixed Income Balanced Risk Factor ETF
GOLDMAN SACHS GROUP INC/THE,Financial Institutions,Fixed Income,"121,586.25",0.11,"121,586.25","115,000.00",38141GWQ3,US38141GWQ36,BF0KZ43,104.89,United States,-,USD,2.59,1.44,1.0,"Sep 29, 2025",3.27,2.61,-,1.44,2.61,1.44,USD,"Sep 29, 2017","Sep 29, 2017"
GENERAL MOTORS FINANCIAL CO INC,Industrial,Fixed Income,"121,287.90",0.11,"121,287.90","120,000.00",37045XAW6,US37045XAW65,BYVDTM0,100.3,United States,-,USD,0.11,2.34,1.0,"Apr 10, 2022",3.45,0.27,-,0.68,0.11,0.68,USD,"Apr 10, 2015","Apr 10, 2015"
QORVO INC 144A,Industrial,Fixed Income,"120,455.57",0.11,"120,455.57","120,000.00",74739DAA2,US74739DAA28,-,100.3,United States,-,USD,1.93,1.65,1.0,"Dec 15, 2024",1.75,2.87,-,1.44,0.94,1.44,USD,"Dec 14, 2021","Dec 14, 2021"
JPMORGAN CHASE & CO,Financial Institutions,Fixed Income,"120,402.07",0.11,"120,402.07","120,000.00",46647PCT1,US46647PCT12,-,100.24,United States,-,USD,2.87,1.28,1.0,"Dec 10, 2025",1.56,2.86,-,1.28,2.86,1.28,USD,"Dec 10, 2021","Dec 10, 2021"
CANADIAN IMPERIAL BANK OF COMMERCE,Financial Institutions,Fixed Income,"119,197.50",0.1,"119,197.50","120,000.00",13607HVC3,US13607HVC32,-,99.32,Canada,-,USD,1.47,0.92,1.0,"Jun 22, 2023",0.45,1.46,-,0.92,1.46,0.92,USD,"Jun 22, 2021","Jun 22, 2021"
GOEASY LTD 144A,Financial Institutions,Fixed Income,"118,714.40",0.1,"118,714.40","115,000.00",380355AD9,US380355AD93,BJLPZB2,102.78,Canada,-,USD,0.15,4.35,1.0,"Dec 01, 2024",5.38,2.67,-,2.67,0.04,2.67,USD,"Nov 27, 2019","Nov 27, 2019"
GENERAL DYNAMICS CORPORATION,Industrial,Fixed Income,"118,621.00",0.1,"118,621.00","120,000.00",369550BN7,US369550BN70,-,98.75,United States,-,USD,4.27,1.44,1.0,"Jun 01, 2026",1.15,4.28,-,1.44,4.28,1.44,USD,"May 10, 2021","May 10, 2021"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"118,434.36",0.1,"118,434.36","115,688.00",3133KJLB6,US3133KJLB60,-,102.17,United States,-,USD,5.41,2.07,1.0,"Jun 01, 2050",2.5,5.26,-,2.07,5.26,2.07,USD,"Jun 01, 2020","Jun 01, 2020"
FS KKR CAPITAL CORP,Financial Institutions,Fixed Income,"118,323.30",0.1,"118,323.30","110,000.00",302635AD9,US302635AD99,BK0P6Y0,105.43,United States,-,USD,2.31,2.41,1.0,"Jul 15, 2024",4.63,2.35,-,2.34,2.28,2.34,USD,"Jul 15, 2019","Jul 15, 2019"
BROADCOM INC,Industrial,Fixed Income,"118,330.83",0.1,"118,330.83","110,000.00",11135FAN1,US11135FAN15,-,106.56,United States,-,USD,4.23,1.99,1.0,"Sep 15, 2026",3.46,4.31,-,1.94,4.17,1.94,USD,"May 21, 2020","Aug 07, 2020"
SPRINT CORP,Industrial,Fixed Income,"118,074.56",0.1,"118,074.56","100,000.00",85207UAJ4,US85207UAJ43,BVZCLQ0,115.19,United States,-,USD,2.58,2.53,1.0,"Feb 15, 2025",7.63,2.76,-,2.14,2.56,2.14,USD,"Feb 24, 2015","Feb 24, 2015"
MERCK & CO INC,Industrial,Fixed Income,"117,885.10",0.1,"117,885.10","120,000.00",58933YAY1,US58933YAY14,-,97.97,United States,-,USD,4.04,1.25,1.0,"Feb 24, 2026",0.75,4.05,-,1.25,4.05,1.25,USD,"Jun 24, 2020","Jun 24, 2020"
HOWMET AEROSPACE INC,Industrial,Fixed Income,"116,749.33",0.1,"116,749.33","100,000.00",013817AJ0,US013817AJ05,BFLRBF6,114.29,United States,-,USD,4.39,2.86,1.0,"Feb 01, 2027",5.9,4.36,-,2.86,4.36,2.86,USD,"Jan 25, 2007","Jan 25, 2007"
JPMORGAN CHASE & CO,Financial Institutions,Fixed Income,"115,965.08",0.1,"115,965.08","117,000.00",46647PCB0,US46647PCB04,-,98.81,United States,-,USD,4.11,1.7,1.0,"Apr 22, 2027",1.78,4.13,-,1.7,4.13,1.7,USD,"Apr 22, 2021","Apr 22, 2021"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"115,290.91",0.1,"115,290.91","111,643.00",36179SSN8,US36179SSN89,-,103.06,United States,-,USD,4.51,1.83,1.0,"Dec 20, 2046",2.5,4.7,-,1.83,4.7,1.83,USD,"Dec 01, 2016","Dec 01, 2016"
DIRECTV FINANCING LLC 144A,Industrial,Fixed Income,"115,168.46",0.1,"115,168.46","110,000.00",25461LAA0,US25461LAA08,-,102.27,United States,-,USD,4.12,5.4,1.0,"Aug 15, 2027",5.88,4.64,-,5.31,3.92,5.31,USD,"Aug 02, 2021","Aug 02, 2021"
GNMA 30YR,MBS Pass-Through,Fixed Income,"114,519.86",0.1,"114,519.86","108,781.00",36179TEZ4,US36179TEZ49,-,104.98,United States,-,USD,3.39,2.2,1.0,"Aug 20, 2047",3.5,3.93,-,2.2,3.93,2.2,USD,"Aug 01, 2017","Aug 01, 2017"
FNMA 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"113,752.76",0.1,"113,752.76","110,796.00",3140X9FM2,US3140X9FM24,-,102.5,United States,-,USD,3.61,1.33,1.0,"Feb 01, 2036",2.0,3.88,-,1.33,3.88,1.33,USD,"Jan 01, 2021","Jan 01, 2021"
BANK OF NOVA SCOTIA,Financial Institutions,Fixed Income,"113,744.46",0.1,"113,744.46","115,000.00",0641596E1,US0641596E11,-,98.64,Canada,-,USD,2.55,1.19,1.0,"Jul 31, 2024",0.65,2.54,-,1.19,2.54,1.19,USD,"Aug 03, 2021","Aug 03, 2021"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"113,635.32",0.1,"113,635.32","109,929.00",3140QEY30,US3140QEY301,-,103.16,United States,-,USD,5.87,1.95,1.0,"Sep 01, 2050",2.5,5.96,-,1.95,5.96,1.95,USD,"Aug 01, 2020","Aug 01, 2020"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"113,595.25",0.1,"113,595.25","106,912.00",3140X6F63,US3140X6F631,-,105.96,United States,-,USD,3.04,2.11,1.0,"Jan 01, 2049",3.5,4.4,-,2.11,4.4,2.11,USD,"Apr 01, 2020","Apr 01, 2020"
MOTOROLA SOLUTIONS INC,Industrial,Fixed Income,"113,586.22",0.1,"113,586.22","99,000.00",620076BL2,US620076BL24,BF2J292,113.1,United States,-,USD,5.21,2.3,1.0,"Feb 23, 2028",4.6,5.34,-,2.22,5.15,2.22,USD,"Feb 23, 2018","Feb 23, 2018"
AFLAC INCORPORATED,Financial Institutions,Fixed Income,"113,481.12",0.1,"113,481.12","102,000.00",001055BJ0,US001055BJ00,BLTZKL3,110.36,United States,-,USD,7.02,2.22,1.0,"Apr 01, 2030",3.6,7.13,-,2.18,6.95,2.18,USD,"Apr 01, 2020","Apr 01, 2020"
MORGAN STANLEY MTN,Financial Institutions,Fixed Income,"112,589.29",0.1,"112,589.29","110,000.00",6174468Q5,US6174468Q59,-,101.97,United States,-,USD,3.15,1.69,1.0,"Apr 28, 2026",2.19,3.18,-,1.58,3.19,1.58,USD,"Apr 28, 2020","Apr 28, 2020"
S&P GLOBAL INC,Industrial,Fixed Income,"112,462.26",0.1,"112,462.26","105,000.00",78409VAM6,US78409VAM63,BF0LM78,105.8,United States,-,USD,4.53,1.75,1.0,"Jan 22, 2027",2.95,4.65,-,1.69,4.44,1.69,USD,"Jan 22, 2017","Apr 21, 2017"
CITIGROUP INC,Financial Institutions,Fixed Income,"111,857.11",0.1,"111,857.11","100,000.00",172967KJ9,US172967KJ96,BZ57VQ3,110.43,United States,-,USD,3.8,1.99,1.0,"Mar 09, 2026",4.6,3.79,-,1.99,3.79,1.99,USD,"Mar 09, 2016","Mar 09, 2016"
KFC HOLDING CO/PIZZA HUT HOLDINGS 144A,Industrial,Fixed Income,"111,773.09",0.1,"111,773.09","107,000.00",48250NAC9,US48250NAC92,BDFZC60,104.07,United States,-,USD,0.43,3.91,1.0,"Jun 01, 2027",4.75,4.74,-,0.66,0.42,0.66,USD,"Jun 15, 2017","Jun 15, 2017"
AIR LEASE CORPORATION MTN,Financial Institutions,Fixed Income,"111,626.03",0.1,"111,626.03","105,000.00",00914AAH5,US00914AAH59,-,104.62,United States,-,USD,3.21,2.0,1.0,"Jul 01, 2025",3.38,3.25,-,1.97,3.18,1.97,USD,"Jun 24, 2020","Jun 24, 2020"
BOEING CO,Industrial,Fixed Income,"110,968.77",0.1,"110,968.77","110,000.00",097023DG7,US097023DG73,-,99.98,United States,-,USD,2.61,2.2,1.0,"Feb 04, 2026",2.2,3.86,-,2.2,3.86,2.2,USD,"Feb 04, 2021","Feb 04, 2021"
REALOGY GROUP LLC 144A,Industrial,Fixed Income,"110,780.75",0.1,"110,780.75","100,000.00",75606DAG6,US75606DAG60,BJY5HL3,108.44,United States,-,USD,0.25,7.4,1.0,"Apr 01, 2027",9.38,4.07,-,3.39,0.25,3.39,USD,"Mar 29, 2019","Mar 29, 2019"
UMBS 15YR TBA(REG B),MBS Pass-Through,Fixed Income,"110,769.63",0.1,"110,769.63","105,000.00",01F040412,US01F0404123,-,105.31,United States,-,USD,1.07,-1.02,1.0,"Jan 18, 2022",4.0,1.1,-,-1.02,1.1,-1.02,USD,"Jan 01, 2022","Jan 01, 2022"
AECOM,Industrial,Fixed Income,"110,389.03",0.1,"110,389.03","100,000.00",00774CAB3,US00774CAB37,BZBYDG2,108.88,United States,-,USD,4.42,3.26,1.0,"Mar 15, 2027",5.13,4.53,-,3.17,4.34,3.17,USD,"Feb 21, 2017","Jun 26, 2017"
APACHE CORPORATION,Industrial,Fixed Income,"109,769.92",0.1,"109,769.92","100,000.00",037411BJ3,US037411BJ37,-,109.15,United States,-,USD,4.87,3.16,1.0,"Nov 15, 2027",4.88,5.1,-,3.02,4.72,3.02,USD,"Aug 17, 2020","Aug 17, 2020"
DISH DBS CORP,Industrial,Fixed Income,"109,418.00",0.1,"109,418.00","100,000.00",25470XAY1,US25470XAY13,BYVR0K7,105.54,United States,-,USD,3.74,6.31,1.0,"Jul 01, 2026",7.75,3.65,-,6.31,3.65,6.31,USD,"Jun 13, 2016","Oct 03, 2016"
HOWMET AEROSPACE INC,Industrial,Fixed Income,"109,304.25",0.1,"109,304.25","100,000.00",013817AW1,US013817AW16,BQWJT65,108.02,United States,-,USD,2.36,2.11,1.0,"Oct 01, 2024",5.13,2.55,-,1.83,2.33,1.83,USD,"Sep 22, 2014","Sep 22, 2014"
PRIME SECURITY SERVICES BORROWER L 144A,Industrial,Fixed Income,"109,044.06",0.1,"109,044.06","100,000.00",74166MAC0,US74166MAC01,BJTRRK3,107.35,United States,-,USD,3.8,3.87,1.0,"Apr 15, 2026",5.75,3.75,-,3.87,3.75,3.87,USD,"Apr 04, 2019","Apr 04, 2019"
BANK OF MONTREAL MTN,Financial Institutions,Fixed Income,"108,823.67",0.09,"108,823.67","110,000.00",06367TQW3,US06367TQW35,-,98.63,Canada,-,USD,2.49,1.18,1.0,"Jul 09, 2024",0.63,2.48,-,1.18,2.48,1.18,USD,"Jul 09, 2021","Jul 12, 2021"
FNMA 30YR,MBS Pass-Through,Fixed Income,"108,728.24",0.09,"108,728.24","101,768.00",3140EVJC2,US3140EVJC25,-,106.55,United States,-,USD,3.04,2.03,1.0,"Feb 01, 2046",3.5,4.55,-,2.03,4.55,2.03,USD,"Feb 01, 2016","Feb 01, 2016"
ZOETIS INC,Industrial,Fixed Income,"108,686.11",0.09,"108,686.11","110,000.00",98978VAS2,US98978VAS25,-,98.55,United States,-,USD,7.57,2.19,1.0,"May 15, 2030",2.0,7.64,-,2.19,7.64,2.19,USD,"May 12, 2020","May 12, 2020"
CNX RESOURCES CORP 144A,Industrial,Fixed Income,"108,151.86",0.09,"108,151.86","100,000.00",12653CAC2,US12653CAC29,BJQTWF2,106.0,United States,-,USD,0.81,5.89,1.0,"Mar 14, 2027",7.25,4.24,-,4.15,0.2,4.15,USD,"Mar 14, 2019","Mar 14, 2019"
TRI POINTE GROUP INC,Industrial,Fixed Income,"108,088.50",0.09,"108,088.50","100,000.00",87265HAF6,US87265HAF64,BF4SN83,107.65,United States,-,USD,4.49,3.68,1.0,"Jun 01, 2027",5.25,4.71,-,3.54,4.33,3.54,USD,"Jun 08, 2017","Jun 08, 2017"
USA COMPRESSION PARTNERS LP,Industrial,Fixed Income,"107,917.67",0.09,"107,917.67","100,000.00",91740PAF5,US91740PAF53,BKWC8B0,105.63,United States,-,USD,2.54,5.7,1.0,"Sep 01, 2027",6.88,4.59,-,5.17,3.16,5.17,USD,"Sep 01, 2019","Dec 17, 2019"
AMKOR TECHNOLOGY INC 144A,Industrial,Fixed Income,"107,752.69",0.09,"107,752.69","100,000.00",031652BK5,US031652BK50,BJHGB00,105.8,United States,-,USD,0.22,5.43,1.0,"Sep 15, 2027",6.63,4.66,-,2.39,0.2,2.39,USD,"Mar 15, 2019","Mar 15, 2019"
UNITED RENTALS (NORTH AMERICA) INC,Industrial,Fixed Income,"107,328.92",0.09,"107,328.92","100,000.00",911365BG8,US911365BG81,BDGSYG2,105.08,United States,-,USD,1.74,3.92,1.0,"Jan 15, 2028",4.88,5.11,-,2.23,0.99,2.23,USD,"Aug 11, 2017","Aug 11, 2017"
CENTURYLINK INC,Industrial,Fixed Income,"107,199.25",0.09,"107,199.25","100,000.00",156700AZ9,US156700AZ93,BYV8DY5,105.79,United States,-,USD,2.8,3.71,1.0,"Apr 01, 2025",5.63,2.93,-,3.57,2.72,3.57,USD,"Oct 01, 2015","Oct 15, 2015"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"107,099.25",0.09,"107,099.25","99,520.00",36179MQP8,US36179MQP85,-,107.32,United States,-,USD,3.39,1.98,1.0,"Oct 20, 2042",3.5,4.85,-,1.98,4.85,1.98,USD,"Oct 01, 2012","Oct 01, 2012"
PILGRIMS PRIDE CORP 144A,Industrial,Fixed Income,"107,062.75",0.09,"107,062.75","100,000.00",72147KAE8,US72147KAE82,BF0KZ32,105.59,United States,-,USD,0.96,4.75,1.0,"Sep 30, 2027",5.88,4.81,-,2.21,0.73,2.21,USD,"Sep 29, 2017","Sep 29, 2017"
INTL FCSTONE INC 144A,Financial Institutions,Fixed Income,"106,890.33",0.09,"106,890.33","100,000.00",46116VAE5,US46116VAE56,-,106.51,United States,-,USD,0.46,6.49,1.0,"Jun 15, 2025",8.63,2.97,-,3.56,0.45,3.56,USD,"Jun 11, 2020","Jun 11, 2020"
MURPHY OIL USA INC,Industrial,Fixed Income,"106,870.61",0.09,"106,870.61","100,000.00",626738AE8,US626738AE88,BKTC8R9,105.47,United States,-,USD,4.19,3.92,1.0,"Sep 15, 2029",4.75,6.37,-,3.46,2.5,3.46,USD,"Sep 13, 2019","Sep 13, 2019"
NASDAQ OMX GROUP INCORPORATED /THE,Financial Institutions,Fixed Income,"106,734.17",0.09,"106,734.17","100,000.00",631103AF5,US631103AF50,BMSKG07,106.38,United States,-,USD,2.09,1.55,1.0,"Jun 01, 2024",4.25,2.3,-,1.26,2.07,1.26,USD,"May 29, 2014","May 29, 2014"
RENT-A-CENTER INC/TX 144A,Industrial,Fixed Income,"106,739.33",0.09,"106,739.33","100,000.00",76009NAL4,US76009NAL47,BMFNQS7,104.33,United States,-,USD,3.96,5.63,1.0,"Feb 15, 2029",6.38,5.58,-,5.19,3.53,5.19,USD,"Feb 17, 2021","Feb 17, 2021"
BERRY PLASTICS ESCROW CORP 144A,Industrial,Fixed Income,"105,792.92",0.09,"105,792.92","100,000.00",085770AA3,US085770AA31,BJKFFH9,103.55,United States,-,USD,1.33,4.01,1.0,"Jul 15, 2026",4.88,3.97,-,2.72,0.52,2.72,USD,"Jun 05, 2019","Jun 05, 2019"
TRANSDIGM INC 144A,Industrial,Fixed Income,"105,759.28",0.09,"105,759.28","100,000.00",893647BE6,US893647BE67,BJJQH22,103.92,United States,-,USD,0.2,5.2,1.0,"Mar 15, 2026",6.25,3.62,-,2.26,0.2,2.26,USD,"Feb 13, 2019","Feb 13, 2019"
ENOVA INTERNATIONAL INC 144A,Financial Institutions,Fixed Income,"105,528.78",0.09,"105,528.78","100,000.00",29357KAF0,US29357KAF03,-,103.03,United States,-,USD,1.69,7.54,1.0,"Sep 15, 2025",8.5,3.07,-,6.58,1.54,6.58,USD,"Sep 19, 2018","Sep 19, 2018"
MSCI INC 144A,Industrial,Fixed Income,"105,053.11",0.09,"105,053.11","100,000.00",55354GAH3,US55354GAH39,BJVBH14,104.54,United States,-,USD,4.54,3.34,1.0,"Nov 15, 2029",4.0,6.71,-,3.01,2.69,3.01,USD,"Nov 07, 2019","Nov 07, 2019"
WILLIAMS SCOTSMAN INTERNATIONAL IN 144A,Industrial,Fixed Income,"104,869.22",0.09,"104,869.22","100,000.00",96950GAE2,US96950GAE26,-,103.12,United States,-,USD,3.63,4.08,1.0,"Aug 15, 2028",4.63,5.59,-,3.7,3.27,3.7,USD,"Aug 25, 2020","Aug 25, 2020"
SHERWIN-WILLIAMS COMPANY (THE),Industrial,Fixed Income,"104,749.42",0.09,"104,749.42","100,000.00",824348AV8,US824348AV80,BDGKSS8,104.49,United States,-,USD,2.21,1.23,1.0,"Jun 01, 2024",3.13,2.33,-,1.1,2.17,1.1,USD,"May 16, 2017","May 16, 2017"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"104,524.13",0.09,"104,524.13","99,287.00",36179SYS0,US36179SYS03,-,104.98,United States,-,USD,3.39,2.2,1.0,"Mar 20, 2047",3.5,3.93,-,2.2,3.93,2.2,USD,"Mar 01, 2017","Mar 01, 2017"
VIASAT INC 144A,Industrial,Fixed Income,"104,193.50",0.09,"104,193.50","100,000.00",92552VAL4,US92552VAL45,BJ2X3M2,103.01,United States,-,USD,1.74,4.97,1.0,"Apr 15, 2027",5.63,4.5,-,4.23,2.11,4.23,USD,"Mar 27, 2019","Mar 27, 2019"
FHLMC GOLD 30YR GIANT,MBS Pass-Through,Fixed Income,"104,097.25",0.09,"104,097.25","95,326.00",31335ATG3,US31335ATG30,-,108.87,United States,-,USD,2.87,2.03,1.0,"Apr 01, 2046",4.0,4.51,-,2.03,4.51,2.03,USD,"Apr 01, 2016","Apr 01, 2016"
SCIENTIFIC GAMES INTERNATIONAL INC 144A,Industrial,Fixed Income,"103,967.56",0.09,"103,967.56","100,000.00",80874YAW0,US80874YAW03,BF032H4,102.91,United States,-,USD,0.08,4.16,1.0,"Oct 15, 2025",5.0,3.4,-,-0.11,0.08,-0.11,USD,"Oct 17, 2017","Oct 17, 2017"
DISH DBS CORP,Industrial,Fixed Income,"103,905.69",0.09,"103,905.69","100,000.00",25470XAW5,US25470XAW56,BVRZ8M2,103.16,United States,-,USD,2.66,4.69,1.0,"Nov 15, 2024",5.88,2.61,-,4.69,2.61,4.69,USD,"Nov 20, 2014","Jan 29, 2015"
BANK OF NEW YORK MELLON/THE MTN,Financial Institutions,Fixed Income,"103,875.74",0.09,"103,875.74","105,000.00",06406RAS6,US06406RAS67,-,98.84,United States,-,USD,2.29,1.01,1.0,"Apr 26, 2024",0.5,2.3,-,1.01,2.3,1.01,USD,"Apr 26, 2021","Apr 26, 2021"
CRESTWOOD MIDSTREAM PARTNERS LP,Industrial,Fixed Income,"103,652.50",0.09,"103,652.50","100,000.00",226373AP3,US226373AP35,BDSHKJ2,102.22,United States,-,USD,0.26,5.0,1.0,"Apr 01, 2025",5.75,2.9,-,2.55,0.25,2.55,USD,"Mar 14, 2017","Jul 21, 2017"
CHARLES RIVER LABORATORIES INTERNA 144A,Industrial,Fixed Income,"103,610.78",0.09,"103,610.78","100,000.00",159864AJ6,US159864AJ65,-,102.43,United States,-,USD,5.99,3.69,1.0,"Mar 15, 2031",4.0,7.58,-,3.61,6.16,3.61,USD,"Mar 23, 2021","Mar 23, 2021"
TEREX CORPORATION 144A,Industrial,Fixed Income,"103,505.89",0.09,"103,505.89","100,000.00",880779BA0,US880779BA01,-,102.87,United States,-,USD,4.5,4.54,1.0,"May 15, 2029",5.0,6.1,-,4.27,3.88,4.27,USD,"Apr 01, 2021","Apr 01, 2021"
NUANCE COMMUNICATIONS INC,Industrial,Fixed Income,"103,321.00",0.09,"103,321.00","100,000.00",67020YAQ3,US67020YAQ35,BFNPKW8,103.07,United States,-,USD,0.09,4.92,1.0,"Dec 15, 2026",5.63,4.29,-,2.27,0.08,2.27,USD,"Dec 22, 2016","Dec 22, 2016"
GOLDMAN SACHS GROUP INC/THE,Financial Institutions,Fixed Income,"103,316.98",0.09,"103,316.98","105,000.00",38141GXS8,US38141GXS82,-,98.07,United States,-,USD,3.04,1.3,1.0,"Feb 12, 2026",0.85,3.04,-,1.3,3.05,1.3,USD,"Feb 12, 2021","Feb 12, 2021"
NAVIENT CORP,Financial Institutions,Fixed Income,"103,213.22",0.09,"103,213.22","100,000.00",63938CAK4,US63938CAK45,-,101.74,United States,-,USD,4.39,4.62,1.0,"Mar 15, 2027",5.0,4.48,-,4.58,4.1,4.58,USD,"Jan 27, 2020","Jan 27, 2020"
VALVOLINE INC 144A,Industrial,Fixed Income,"102,937.22",0.09,"102,937.22","100,000.00",92047WAD3,US92047WAD39,BLK7847,102.04,United States,-,USD,5.23,3.95,1.0,"Feb 15, 2030",4.25,6.77,-,3.87,5.31,3.87,USD,"Feb 25, 2020","Feb 25, 2020"
CRESTWOOD MIDSTREAM PARTNERS LP 144A,Industrial,Fixed Income,"102,877.50",0.09,"102,877.50","100,000.00",226373AQ1,US226373AQ18,BJV0CV6,101.94,United States,-,USD,2.92,5.2,1.0,"May 01, 2027",5.63,4.53,-,4.98,2.99,4.98,USD,"Apr 15, 2019","Apr 15, 2019"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"102,815.74",0.09,"102,815.74","98,645.00",36179VFP0,US36179VFP04,-,103.98,United States,-,USD,3.34,2.03,1.0,"Feb 20, 2050",3.0,4.19,-,2.03,4.19,2.03,USD,"Feb 01, 2020","Feb 01, 2020"
VISTA OUTDOOR INC 144A,Industrial,Fixed Income,"102,601.00",0.09,"102,601.00","100,000.00",928377AC4,US928377AC45,-,101.28,United States,-,USD,4.65,4.29,1.0,"Mar 15, 2029",4.5,6.03,-,4.16,3.75,4.16,USD,"Mar 03, 2021","Mar 03, 2021"
TELESAT CANADA 144A,Industrial,Fixed Income,"102,524.79",0.09,"102,524.79","130,000.00",87952VAM8,US87952VAM81,BKDN9P3,77.49,Canada,-,USD,4.65,12.0,1.0,"Oct 15, 2027",6.5,4.43,-,12.0,4.43,12.0,USD,"Oct 11, 2019","Oct 11, 2019"
BANK OF AMERICA CORP,Financial Institutions,Fixed Income,"102,199.03",0.09,"102,199.03","100,000.00",06051GJP5,US06051GJP54,-,101.39,United States,-,USD,7.87,2.38,1.0,"Mar 11, 2032",2.65,8.06,-,2.38,8.06,2.38,USD,"Mar 11, 2021","Mar 11, 2021"
VIASAT INC 144A,Industrial,Fixed Income,"102,171.25",0.09,"102,171.25","100,000.00",92552VAK6,US92552VAK61,BDG75N3,100.52,United States,-,USD,1.66,5.47,1.0,"Sep 15, 2025",5.63,3.26,-,4.86,0.68,4.86,USD,"Sep 21, 2017","Sep 21, 2017"
ICAHN ENTERPRISES LP,Financial Institutions,Fixed Income,"102,079.33",0.09,"102,079.33","100,000.00",451102BQ9,US451102BQ92,BF0VDZ3,101.8,United States,-,USD,0.24,5.86,1.0,"Dec 15, 2025",6.38,3.45,-,3.66,0.08,3.66,USD,"Dec 06, 2017","Feb 08, 2018"
CHEVRON USA INC,Industrial,Fixed Income,"101,685.85",0.09,"101,685.85","90,000.00",166756AR7,US166756AR79,-,111.21,United States,-,USD,5.22,1.88,1.0,"Jan 15, 2028",3.85,5.35,-,1.8,5.15,1.8,USD,"Jul 15, 2020","Jan 04, 2021"
AMAZON.COM INC,Industrial,Fixed Income,"101,523.83",0.09,"101,523.83","100,000.00",023135BZ8,US023135BZ81,-,101.24,United States,-,USD,8.39,1.95,1.0,"May 12, 2031",2.1,8.45,-,1.95,8.24,1.95,USD,"May 12, 2021","May 12, 2021"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"101,263.19",0.09,"101,263.19","96,189.00",36179TG41,US36179TG411,-,104.98,United States,-,USD,3.39,2.2,1.0,"Sep 20, 2047",3.5,3.93,-,2.2,3.93,2.2,USD,"Sep 01, 2017","Sep 01, 2017"
INTERPUBLIC GROUP OF COMPANIES INC,Industrial,Fixed Income,"100,926.99",0.09,"100,926.99","100,000.00",460690BT6,US460690BT64,-,100.13,United States,-,USD,8.08,2.38,1.0,"Mar 01, 2031",2.4,8.12,-,2.38,8.12,2.38,USD,"Feb 25, 2021","Feb 25, 2021"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"100,000.00",0.09,"100,000.00","100,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
SKYWORKS SOLUTIONS INC.,Industrial,Fixed Income,"99,669.00",0.09,"99,669.00","100,000.00",83088MAJ1,US83088MAJ18,-,99.59,United States,-,USD,1.24,1.19,1.0,"Jun 01, 2023",0.9,1.4,-,1.19,1.4,1.19,USD,"May 26, 2021","May 26, 2021"
ONEMAIN FINANCE CORP,Financial Institutions,Fixed Income,"99,497.78",0.09,"99,497.78","100,000.00",682691AA8,US682691AA80,-,98.32,United States,-,USD,6.19,4.23,1.0,"Sep 15, 2030",4.0,7.19,-,4.23,7.19,4.23,USD,"Dec 17, 2020","Dec 17, 2020"
FHLMC 30YR UMBS MIRROR,MBS Pass-Through,Fixed Income,"99,360.25",0.09,"99,360.25","95,039.00",3132A5HX6,US3132A5HX69,-,104.3,United States,-,USD,3.74,2.01,1.0,"Dec 01, 2047",3.0,4.47,-,2.01,4.47,2.01,USD,"Sep 01, 2018","Sep 01, 2018"
FNMA 30YR,MBS Pass-Through,Fixed Income,"99,331.01",0.09,"99,331.01","90,760.00",3140QA2X7,US3140QA2X77,-,109.11,United States,-,USD,2.87,2.04,1.0,"May 01, 2049",4.0,4.73,-,2.04,4.73,2.04,USD,"Apr 01, 2019","Apr 01, 2019"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"99,169.53",0.09,"99,169.53","95,512.00",3140QDDQ4,US3140QDDQ49,-,103.58,United States,-,USD,4.01,2.07,1.0,"Apr 01, 2050",3.0,4.02,-,2.07,4.02,2.07,USD,"Mar 01, 2020","Mar 01, 2020"
BANK OF AMERICA CORP MTN,Financial Institutions,Fixed Income,"99,059.97",0.09,"99,059.97","100,000.00",06051GJD2,US06051GJD25,-,99.02,United States,-,USD,3.35,1.53,1.0,"Jun 19, 2026",1.32,3.37,-,1.53,3.37,1.53,USD,"Jun 19, 2020","Jun 19, 2020"
OCCIDENTAL PETROLEUM CORPORATION,Industrial,Fixed Income,"97,723.75",0.09,"97,723.75","70,000.00",674599EA9,US674599EA94,-,135.51,United States,-,USD,6.02,3.94,1.0,"Jul 15, 2030",8.88,6.22,-,3.72,5.95,3.72,USD,"Jul 13, 2020","Jul 13, 2020"
GOLDMAN SACHS GROUP INC/THE,Financial Institutions,Fixed Income,"96,105.05",0.08,"96,105.05","95,000.00",38141GYB4,US38141GYB49,-,100.66,United States,-,USD,7.98,2.43,1.0,"Apr 22, 2032",2.62,8.18,-,2.43,8.18,2.43,USD,"Apr 22, 2021","Apr 22, 2021"
