,,,,,,,,,,,,,,,,,,,,,,,,,,iShares USD Bond Factor ETF
FHMS_K108 A2,Securitized,Fixed Income,"15,771.17",0.08,"15,771.17","16,000.00",3137FTBM8,US3137FTBM86,-,98.44,United States,-,USD,7.33,1.72,1.0,"Mar 25, 2030",1.52,7.32,-,1.72,7.32,1.72,USD,"May 01, 2020","May 01, 2020"
COMMONWEALTH EDISON COMPANY,Corporates,Fixed Income,"15,499.50",0.08,"15,499.50","15,000.00",202795JS0,US202795JS00,-,102.31,United States,-,USD,18.66,2.88,1.0,"Mar 01, 2050",3.0,18.87,-,2.88,18.65,2.88,USD,"Feb 25, 2020","Feb 25, 2020"
VF CORPORATION,Corporates,Fixed Income,"15,492.50",0.08,"15,492.50","15,000.00",918204BA5,US918204BA53,-,102.83,United States,-,USD,3.13,1.52,1.0,"Apr 23, 2025",2.4,3.17,-,1.5,3.09,1.5,USD,"Apr 23, 2020","Apr 23, 2020"
NATIONAL FUEL GAS COMPANY,Corporates,Fixed Income,"15,234.95",0.08,"15,234.95","15,000.00",636180BR1,US636180BR19,-,100.58,United States,-,USD,7.89,2.88,1.0,"Mar 01, 2031",2.95,7.91,-,2.88,7.72,2.88,USD,"Feb 24, 2021","Feb 24, 2021"
TELEDYNE TECHNOLOGIES INCORPORATED,Corporates,Fixed Income,"15,150.68",0.08,"15,150.68","15,000.00",879360AD7,US879360AD71,-,100.44,United States,-,USD,5.74,2.17,1.0,"Apr 01, 2028",2.25,5.77,-,2.17,5.63,2.17,USD,"Mar 22, 2021","Mar 22, 2021"
SOUTHWESTERN ELECTRIC POWER COMPAN,Corporates,Fixed Income,"14,980.93",0.08,"14,980.93","15,000.00",845437BS0,US845437BS08,-,99.39,United States,-,USD,4.01,1.8,1.0,"Mar 15, 2026",1.65,4.02,-,1.8,4.02,1.8,USD,"Mar 10, 2021","Mar 10, 2021"
ASTRAZENECA PLC,Corporates,Fixed Income,"14,952.19",0.07,"14,952.19","10,000.00",046353AD0,US046353AD01,B7FFL50,147.57,United Kingdom,-,USD,10.85,2.71,1.0,"Sep 15, 2037",6.45,10.88,-,2.71,10.88,2.71,USD,"Sep 12, 2007","Sep 12, 2007"
INVITATION HOMES OPERATING PARTNER,Corporates,Fixed Income,"14,909.52",0.07,"14,909.52","15,000.00",46188BAB8,US46188BAB80,-,99.04,United States,-,USD,6.27,2.45,1.0,"Nov 15, 2028",2.3,6.29,-,2.45,6.29,2.45,USD,"Nov 05, 2021","Nov 05, 2021"
DOMINION ENERGY INC,Corporates,Fixed Income,"14,898.47",0.07,"14,898.47","15,000.00",25746UDJ5,US25746UDJ51,-,99.02,United States,-,USD,4.11,1.69,1.0,"Apr 15, 2026",1.45,4.13,-,1.69,4.13,1.69,USD,"Apr 05, 2021","Apr 05, 2021"
FIRST AMERICAN FINANCIAL CORP,Corporates,Fixed Income,"14,850.25",0.07,"14,850.25","15,000.00",31847RAH5,US31847RAH57,-,98.02,United States,-,USD,8.43,2.63,1.0,"Aug 15, 2031",2.4,8.44,-,2.63,8.44,2.63,USD,"Aug 03, 2021","Aug 03, 2021"
EAGLE MATERIALS INC,Corporates,Fixed Income,"14,824.77",0.07,"14,824.77","15,000.00",26969PAB4,US26969PAB40,-,98.81,United States,-,USD,8.27,2.64,1.0,"Jul 01, 2031",2.5,8.29,-,2.64,8.29,2.64,USD,"Jul 01, 2021","Jul 01, 2021"
SYNNEX CORP 144A,Corporates,Fixed Income,"14,755.69",0.07,"14,755.69","15,000.00",87162WAE0,US87162WAE03,-,97.68,United States,-,USD,4.37,2.28,1.0,"Aug 09, 2026",1.75,4.36,-,2.28,4.36,2.28,USD,"Aug 09, 2021","Aug 09, 2021"
CGI INC 144A,Corporates,Fixed Income,"14,751.15",0.07,"14,751.15","15,000.00",12532HAA2,US12532HAA23,-,97.91,Canada,-,USD,4.5,1.92,1.0,"Sep 14, 2026",1.45,4.5,-,1.92,4.5,1.92,USD,"Sep 14, 2021","Sep 14, 2021"
EQUINIX INC,Corporates,Fixed Income,"14,748.64",0.07,"14,748.64","15,000.00",29444UBQ8,US29444UBQ85,-,98.14,United States,-,USD,4.2,1.9,1.0,"May 15, 2026",1.45,4.2,-,1.9,4.2,1.9,USD,"May 17, 2021","May 17, 2021"
UNITED PARCEL SERVICE INC,Corporates,Fixed Income,"14,743.96",0.07,"14,743.96","10,000.00",911312AJ5,US911312AJ59,B2NP6Q3,144.53,United States,-,USD,11.01,2.75,1.0,"Jan 15, 2038",6.2,11.04,-,2.75,11.04,2.75,USD,"Jan 15, 2008","Jan 15, 2008"
SYNNEX CORP 144A,Corporates,Fixed Income,"14,709.72",0.07,"14,709.72","15,000.00",87162WAG5,US87162WAG50,-,97.13,United States,-,USD,6.0,2.85,1.0,"Aug 09, 2028",2.38,6.0,-,2.85,6.0,2.85,USD,"Aug 09, 2021","Aug 09, 2021"
ROYALTY PHARMA PLC,Corporates,Fixed Income,"14,670.94",0.07,"14,670.94","15,000.00",78081BAP8,US78081BAP85,-,96.34,United States,-,USD,18.05,3.55,1.0,"Sep 02, 2051",3.35,18.21,-,3.55,18.21,3.55,USD,"Jul 26, 2021","Jul 26, 2021"
MASCO CORPORATION,Corporates,Fixed Income,"14,618.50",0.07,"14,618.50","15,000.00",574599BS4,US574599BS40,-,96.89,United States,-,USD,5.76,2.04,1.0,"Feb 15, 2028",1.5,5.77,-,2.04,5.77,2.04,USD,"Mar 04, 2021","Mar 04, 2021"
BRUNSWICK CORPORATION,Corporates,Fixed Income,"14,599.30",0.07,"14,599.30","15,000.00",117043AT6,US117043AT65,-,96.44,United States,-,USD,8.44,2.82,1.0,"Aug 18, 2031",2.4,8.44,-,2.82,8.44,2.82,USD,"Aug 18, 2021","Aug 18, 2021"
LEIDOS INC,Corporates,Fixed Income,"14,547.28",0.07,"14,547.28","15,000.00",52532XAH8,US52532XAH89,-,96.11,United States,-,USD,8.07,2.79,1.0,"Feb 15, 2031",2.3,8.07,-,2.79,8.07,2.79,USD,"Feb 15, 2021","Jun 18, 2021"
SOUTHERN COMPANY (THE),Corporates,Fixed Income,"14,454.72",0.07,"14,454.72","12,000.00",842587CX3,US842587CX39,BYT1540,118.26,United States,-,USD,15.3,3.31,1.0,"Jul 01, 2046",4.4,15.49,-,3.29,15.3,3.29,USD,"May 24, 2016","May 24, 2016"
COMCAST CORPORATION 144A,Corporates,Fixed Income,"14,381.21",0.07,"14,381.21","15,000.00",20030NDV0,US20030NDV01,BP6RH64,95.35,United States,-,USD,22.96,3.19,1.0,"Nov 01, 2063",2.99,23.21,-,3.19,23.21,3.19,USD,"Aug 19, 2021","Aug 19, 2021"
DUKE ENERGY INDIANA LLC,Corporates,Fixed Income,"14,300.48",0.07,"14,300.48","15,000.00",26443TAC0,US26443TAC09,-,94.65,United States,-,USD,18.94,3.03,1.0,"Apr 01, 2050",2.75,19.12,-,3.03,19.12,3.03,USD,"Mar 12, 2020","Mar 12, 2020"
REGENERON PHARMACEUTICALS INC.,Corporates,Fixed Income,"14,293.48",0.07,"14,293.48","15,000.00",75886FAE7,US75886FAE79,-,94.76,United States,-,USD,7.93,2.42,1.0,"Sep 15, 2030",1.75,7.95,-,2.42,7.95,2.42,USD,"Aug 12, 2020","Aug 12, 2020"
CORNING INC,Corporates,Fixed Income,"13,288.78",0.07,"13,288.78","10,000.00",219350BQ7,US219350BQ76,-,132.15,United States,-,USD,21.09,4.02,1.0,"Nov 15, 2079",5.45,21.37,-,4.01,21.32,4.01,USD,"Nov 19, 2019","Nov 19, 2019"
RAYMOND JAMES FINANCIAL INC.,Corporates,Fixed Income,"13,089.88",0.07,"13,089.88","10,000.00",754730AF6,US754730AF69,BYP6KY4,128.57,United States,-,USD,15.12,3.25,1.0,"Jul 15, 2046",4.95,15.2,-,3.25,15.2,3.25,USD,"Jul 12, 2016","Jul 12, 2016"
ZOETIS INC,Corporates,Fixed Income,"12,977.73",0.07,"12,977.73","10,000.00",98978VAH6,US98978VAH69,BG0R585,127.82,United States,-,USD,13.92,2.92,1.0,"Feb 01, 2043",4.7,14.12,-,2.9,13.9,2.9,USD,"Aug 01, 2013","Oct 30, 2013"
CIGNA CORP,Corporates,Fixed Income,"12,891.53",0.06,"12,891.53","10,000.00",125523CF5,US125523CF53,BMCDRL0,126.7,United States,-,USD,15.12,3.22,1.0,"Jul 15, 2046",4.8,15.32,-,3.2,15.13,3.2,USD,"Jan 15, 2020","Jul 13, 2020"
ABBVIE INC,Corporates,Fixed Income,"12,460.68",0.06,"12,460.68","10,000.00",00287YAS8,US00287YAS81,BXC32G7,123.95,United States,-,USD,14.89,3.23,1.0,"May 14, 2045",4.7,15.08,-,3.21,14.88,3.21,USD,"May 14, 2015","May 14, 2015"
HCA INC,Corporates,Fixed Income,"12,413.78",0.06,"12,413.78","10,000.00",404119BY4,US404119BY43,BKKDGS8,123.91,United States,-,USD,12.0,3.31,1.0,"Jun 15, 2039",5.13,12.16,-,3.28,11.92,3.28,USD,"Jun 12, 2019","Jun 12, 2019"
MCDONALDS CORPORATION MTN,Corporates,Fixed Income,"12,292.54",0.06,"12,292.54","10,000.00",58013MEZ3,US58013MEZ32,BYWKWC1,122.6,United States,-,USD,10.43,2.74,1.0,"Dec 09, 2035",4.7,10.61,-,2.69,10.32,2.69,USD,"Dec 09, 2015","Dec 09, 2015"
CHARTER COMMUNICATIONS OPERATING L,Corporates,Fixed Income,"12,074.38",0.06,"12,074.38","10,000.00",161175BM5,US161175BM51,BFY3CF8,119.4,United States,-,USD,11.07,3.77,1.0,"Apr 01, 2038",5.38,11.19,-,3.73,10.96,3.73,USD,"Apr 17, 2018","Apr 17, 2018"
NISOURCE INC,Corporates,Fixed Income,"11,987.30",0.06,"11,987.30","10,000.00",65473QBF9,US65473QBF90,BD20RG3,119.31,United States,-,USD,15.92,3.25,1.0,"May 15, 2047",4.38,16.12,-,3.24,15.93,3.24,USD,"May 22, 2017","May 22, 2017"
EMERA US FINANCE LP,Corporates,Fixed Income,"11,927.67",0.06,"11,927.67","10,000.00",29103DAM8,US29103DAM83,BYMVD32,119.03,Canada,-,USD,15.11,3.58,1.0,"Jun 15, 2046",4.75,15.28,-,3.56,15.09,3.56,USD,"Dec 15, 2016","Jan 17, 2017"
BOEING CO,Corporates,Fixed Income,"11,765.93",0.06,"11,765.93","10,000.00",097023CY9,US097023CY98,-,116.8,United States,-,USD,6.76,2.87,1.0,"May 01, 2030",5.15,6.86,-,2.81,6.69,2.81,USD,"May 04, 2020","May 04, 2020"
MPLX LP,Corporates,Fixed Income,"11,376.50",0.06,"11,376.50","10,000.00",55336VAM2,US55336VAM28,BF2PNH5,112.82,United States,-,USD,11.6,3.46,1.0,"Apr 15, 2038",4.5,11.72,-,3.44,11.46,3.44,USD,"Feb 08, 2018","Feb 08, 2018"
INTESA SANPAOLO SPA MTN 144A,Corporates,Fixed Income,"11,330.19",0.06,"11,330.19","10,000.00",46115HAW7,US46115HAW79,BDFYVB5,110.67,Italy,-,USD,3.58,2.89,1.0,"Jan 15, 2026",5.71,3.55,-,2.89,3.55,2.89,USD,"Jan 15, 2016","Jan 15, 2016"
WEYERHAEUSER COMPANY,Corporates,Fixed Income,"11,235.74",0.06,"11,235.74","10,000.00",962166BY9,US962166BY91,-,111.51,United States,-,USD,6.96,2.46,1.0,"Apr 15, 2030",4.0,7.07,-,2.42,6.89,2.42,USD,"Mar 30, 2020","Mar 30, 2020"
ORACLE CORPORATION,Corporates,Fixed Income,"11,058.70",0.06,"11,058.70","10,000.00",68389XBG9,US68389XBG97,BWTM356,110.03,United States,-,USD,17.96,3.84,1.0,"May 15, 2055",4.38,18.14,-,3.84,18.0,3.84,USD,"May 05, 2015","May 05, 2015"
BAUSCH HEALTH COMPANIES INC (DELAW 144A,Corporates,Fixed Income,"10,937.61",0.05,"10,937.61","10,000.00",91911XAW4,US91911XAW48,BFY2Z12,105.74,United States,-,USD,1.41,7.13,1.0,"Jan 31, 2027",8.5,3.98,-,5.61,0.55,5.61,USD,"Jun 01, 2018","Jun 01, 2018"
WFCM_16-C37 A5,Securitized,Fixed Income,"10,920.11",0.05,"10,920.11","10,000.00",95000PAE4,US95000PAE43,-,108.88,United States,-,USD,4.19,1.74,1.0,"Dec 15, 2049",3.79,4.18,-,1.74,4.18,1.74,USD,"Dec 01, 2016","Dec 01, 2016"
NXP BV 144A,Corporates,Fixed Income,"10,902.45",0.05,"10,902.45","10,000.00",62947QAZ1,US62947QAZ19,BHNK8G7,107.41,Netherlands,-,USD,1.98,1.39,1.0,"Mar 01, 2024",4.88,2.04,-,1.26,1.97,1.26,USD,"Dec 06, 2018","Dec 06, 2018"
COTERRA ENERGY INC 144A,Corporates,Fixed Income,"10,824.33",0.05,"10,824.33","10,000.00",127097AE3,US127097AE33,-,107.75,United States,-,USD,4.73,2.36,1.0,"May 15, 2027",3.9,4.84,-,2.29,4.63,2.29,USD,"May 15, 2021","Oct 07, 2021"
OLD REPUBLIC INTERNATIONAL CORPORA,Corporates,Fixed Income,"10,771.40",0.05,"10,771.40","10,000.00",680223AL8,US680223AL88,-,107.47,United States,-,USD,17.77,3.44,1.0,"Jun 11, 2051",3.85,17.95,-,3.44,17.78,3.44,USD,"Jun 11, 2021","Jun 11, 2021"
HUNTINGTON INGALLS INDUSTRIES INC,Corporates,Fixed Income,"10,672.77",0.05,"10,672.77","10,000.00",446413AS5,US446413AS53,-,106.09,United States,-,USD,3.07,1.95,1.0,"May 01, 2025",3.84,3.12,-,1.9,3.04,1.9,USD,"Nov 01, 2020","Dec 22, 2020"
LEIDOS INC,Corporates,Fixed Income,"10,664.92",0.05,"10,664.92","10,000.00",52532XAD7,US52532XAD75,-,106.19,United States,-,USD,3.12,1.73,1.0,"May 15, 2025",3.63,3.17,-,1.68,3.1,1.68,USD,"May 15, 2021","Jun 21, 2021"
EVEREST REINSURANCE HOLDINGS INC,Corporates,Fixed Income,"10,615.31",0.05,"10,615.31","10,000.00",299808AH8,US299808AH86,-,105.39,United States,-,USD,18.05,3.21,1.0,"Oct 15, 2050",3.5,18.24,-,3.21,18.05,3.21,USD,"Oct 07, 2020","Oct 07, 2020"
BOARDWALK PIPELINES LP,Corporates,Fixed Income,"10,472.28",0.05,"10,472.28","10,000.00",096630AH1,US096630AH15,-,103.41,United States,-,USD,7.7,2.97,1.0,"Feb 15, 2031",3.4,7.73,-,2.96,7.55,2.96,USD,"Aug 11, 2020","Aug 11, 2020"
ASSURED GUARANTY US HOLDINGS INC,Corporates,Fixed Income,"10,472.40",0.05,"10,472.40","10,000.00",04621WAD2,US04621WAD20,-,104.58,United States,-,USD,8.12,2.6,1.0,"Jun 15, 2031",3.15,8.17,-,2.59,7.98,2.59,USD,"May 26, 2021","May 26, 2021"
MARKEL CORPORATION,Corporates,Fixed Income,"10,440.62",0.05,"10,440.62","10,000.00",570535AX2,US570535AX23,-,103.86,United States,-,USD,18.68,3.25,1.0,"May 07, 2052",3.45,18.87,-,3.25,18.69,3.25,USD,"May 07, 2021","May 07, 2021"
CDW LLC,Corporates,Fixed Income,"10,433.92",0.05,"10,433.92","10,000.00",12513GBJ7,US12513GBJ76,-,104.01,United States,-,USD,8.31,3.1,1.0,"Dec 01, 2031",3.57,8.32,-,3.09,8.14,3.09,USD,"Dec 01, 2021","Dec 01, 2021"
PAR PHARMACEUTICAL INC 144A,Corporates,Fixed Income,"10,403.30",0.05,"10,403.30","10,000.00",69888XAA7,US69888XAA72,BJQ1Y85,102.16,United States,-,USD,3.48,7.0,1.0,"Apr 01, 2027",7.5,4.22,-,6.74,2.8,6.74,USD,"Mar 28, 2019","Mar 28, 2019"
JACKSON FINANCIAL INC 144A,Corporates,Fixed Income,"10,175.22",0.05,"10,175.22","10,000.00",46817MAM9,US46817MAM91,-,101.33,United States,-,USD,17.22,3.92,1.0,"Nov 23, 2051",4.0,17.37,-,3.92,17.21,3.92,USD,"Nov 23, 2021","Nov 23, 2021"
BLOCK FINANCIAL LLC,Corporates,Fixed Income,"10,154.57",0.05,"10,154.57","10,000.00",093662AJ3,US093662AJ37,-,100.25,United States,-,USD,5.9,2.46,1.0,"Jul 15, 2028",2.5,5.92,-,2.46,5.92,2.46,USD,"Jun 25, 2021","Jun 25, 2021"
AMCOR FLEXIBLES NORTH AMERICA INC,Corporates,Fixed Income,"10,148.84",0.05,"10,148.84","10,000.00",02344AAA6,US02344AAA60,-,101.2,United States,-,USD,8.22,2.55,1.0,"May 25, 2031",2.69,8.25,-,2.54,8.05,2.54,USD,"May 25, 2021","May 25, 2021"
REALTY INCOME CORPORATION,Corporates,Fixed Income,"10,114.88",0.05,"10,114.88","10,000.00",756109BJ2,US756109BJ21,-,101.05,United States,-,USD,5.95,2.03,1.0,"Jun 15, 2028",2.2,5.99,-,2.02,5.84,2.02,USD,"Jun 15, 2021","Jun 15, 2021"
SKYWORKS SOLUTIONS INC.,Corporates,Fixed Income,"10,094.50",0.05,"10,094.50","10,000.00",83088MAL6,US83088MAL63,-,100.69,United States,-,USD,8.12,2.91,1.0,"Jun 01, 2031",3.0,8.14,-,2.91,7.95,2.91,USD,"May 26, 2021","May 26, 2021"
TAPESTRY INC,Corporates,Fixed Income,"10,088.86",0.05,"10,088.86","10,000.00",876030AA5,US876030AA54,-,100.61,United States,-,USD,8.69,2.98,1.0,"Mar 15, 2032",3.05,8.7,-,2.98,8.52,2.98,USD,"Dec 01, 2021","Dec 01, 2021"
SVB FINANCIAL GROUP,Corporates,Fixed Income,"10,040.23",0.05,"10,040.23","10,000.00",78486QAH4,US78486QAH48,-,100.13,United States,-,USD,5.88,2.08,1.0,"May 15, 2028",2.1,5.92,-,2.08,5.78,2.08,USD,"May 13, 2021","May 13, 2021"
VENTAS REALTY LP,Corporates,Fixed Income,"10,003.67",0.05,"10,003.67","10,000.00",92277GAW7,US92277GAW78,BLDBLQ9,99.13,United States,-,USD,8.44,2.6,1.0,"Sep 01, 2031",2.5,8.45,-,2.6,8.45,2.6,USD,"Aug 20, 2021","Aug 20, 2021"
MARVELL TECHNOLOGY INC,Corporates,Fixed Income,"9,927.13",0.05,"9,927.13","10,000.00",573874AC8,US573874AC88,-,98.92,United States,-,USD,4.1,1.91,1.0,"Apr 15, 2026",1.65,4.1,-,1.91,4.1,1.91,USD,"Apr 12, 2021","Oct 07, 2021"
SKYWORKS SOLUTIONS INC.,Corporates,Fixed Income,"9,925.30",0.05,"9,925.30","10,000.00",83088MAK8,US83088MAK80,-,99.1,United States,-,USD,4.21,2.01,1.0,"Jun 01, 2026",1.8,4.22,-,2.01,4.22,2.01,USD,"May 26, 2021","May 26, 2021"
LEAR CORPORATION,Corporates,Fixed Income,"9,914.57",0.05,"9,914.57","9,000.00",521865AY1,US521865AY17,BF6Q3F2,109.04,United States,-,USD,4.98,2.11,1.0,"Sep 15, 2027",3.8,5.1,-,2.04,4.9,2.04,USD,"Aug 17, 2017","Aug 17, 2017"
HP INC 144A,Corporates,Fixed Income,"9,889.81",0.05,"9,889.81","10,000.00",40434LAG0,US40434LAG05,-,98.8,United States,-,USD,8.28,2.8,1.0,"Jun 17, 2031",2.65,8.3,-,2.8,8.3,2.8,USD,"Jun 16, 2021","Jun 16, 2021"
LYB INTERNATIONAL FINANCE III LLC,Corporates,Fixed Income,"9,884.35",0.05,"9,884.35","10,000.00",50249AAF0,US50249AAF03,-,98.53,United States,-,USD,3.63,1.66,1.0,"Oct 01, 2025",1.25,3.63,-,1.66,3.63,1.66,USD,"Oct 08, 2020","Oct 08, 2020"
JAGUAR LAND ROVER AUTOMOTIVE PLC 144A,Corporates,Fixed Income,"9,751.25",0.05,"9,751.25","10,000.00",47010BAF1,US47010BAF13,BF22YG2,96.4,United Kingdom,-,USD,4.99,5.23,1.0,"Oct 01, 2027",4.5,4.93,-,5.23,4.93,5.23,USD,"Oct 10, 2017","Oct 10, 2017"
SYNNEX CORP 144A,Corporates,Fixed Income,"9,740.73",0.05,"9,740.73","10,000.00",87162WAJ9,US87162WAJ99,-,96.36,United States,-,USD,8.32,3.09,1.0,"Aug 09, 2031",2.65,8.3,-,3.09,8.3,3.09,USD,"Aug 09, 2021","Aug 09, 2021"
D R HORTON INC,Corporates,Fixed Income,"9,710.86",0.05,"9,710.86","10,000.00",23331ABP3,US23331ABP30,-,96.81,United States,-,USD,5.49,1.99,1.0,"Oct 15, 2027",1.4,5.51,-,1.99,5.51,1.99,USD,"Oct 02, 2020","Oct 02, 2020"
HEALTHCARE TRUST OF AMERICA HOLDIN,Corporates,Fixed Income,"9,563.79",0.05,"9,563.79","10,000.00",42225UAH7,US42225UAH77,-,95.05,United States,-,USD,8.26,2.61,1.0,"Mar 15, 2031",2.0,8.27,-,2.61,8.27,2.61,USD,"Sep 28, 2020","Sep 28, 2020"
MOODYS CORPORATION,Corporates,Fixed Income,"8,936.43",0.04,"8,936.43","10,000.00",615369AU9,US615369AU95,-,88.4,United States,-,USD,22.99,3.06,1.0,"Aug 18, 2060",2.55,23.22,-,3.06,23.22,3.06,USD,"Aug 18, 2020","Aug 18, 2020"
CITIGROUP INC,Corporates,Fixed Income,"8,692.53",0.04,"8,692.53","5,000.00",172967EW7,US172967EW71,B3Q88R1,170.1,United States,-,USD,11.06,2.97,1.0,"Jul 15, 2039",8.13,11.11,-,2.97,11.11,2.97,USD,"Jul 23, 2009","Jul 23, 2009"
SYSCO CORPORATION,Corporates,Fixed Income,"7,897.80",0.04,"7,897.80","5,000.00",871829BN6,US871829BN62,-,156.31,United States,-,USD,15.38,3.46,1.0,"Apr 01, 2050",6.6,15.61,-,3.44,15.46,3.44,USD,"Apr 02, 2020","Apr 02, 2020"
DISH DBS CORP,Corporates,Fixed Income,"7,659.26",0.04,"7,659.26","7,000.00",25470XAY1,US25470XAY13,BYVR0K7,105.54,United States,-,USD,3.74,6.31,1.0,"Jul 01, 2026",7.75,3.65,-,6.31,3.65,6.31,USD,"Jun 13, 2016","Oct 03, 2016"
SPRINT CAPITAL CORPORATION,Corporates,Fixed Income,"7,648.52",0.04,"7,648.52","5,000.00",852060AT9,US852060AT99,2964029,150.39,United States,-,USD,7.4,2.98,1.0,"Mar 15, 2032",8.75,7.37,-,2.98,7.37,2.98,USD,"Mar 14, 2002","Jun 21, 2002"
CANADIAN PACIFIC RAILWAY COMPANY,Corporates,Fixed Income,"7,548.17",0.04,"7,548.17","5,000.00",13645RAX2,US13645RAX26,BYMK191,149.16,Canada,-,USD,19.85,3.88,1.0,"Sep 15, 2115",6.13,20.07,-,3.88,20.07,3.88,USD,"Sep 11, 2015","Sep 11, 2015"
DOW CHEMICAL COMPANY (THE),Corporates,Fixed Income,"7,092.51",0.04,"7,092.51","5,000.00",260543CR2,US260543CR27,-,141.33,United States,-,USD,15.78,3.24,1.0,"Nov 30, 2048",5.55,15.99,-,3.22,15.82,3.22,USD,"May 30, 2019","Nov 18, 2019"
SPRINGLEAF FINANCE CORP,Corporates,Fixed Income,"6,989.76",0.04,"6,989.76","6,000.00",85172FAN9,US85172FAN96,BDTMS47,114.4,United States,-,USD,3.66,3.42,1.0,"Mar 15, 2026",7.13,3.62,-,3.42,3.62,3.42,USD,"May 11, 2018","May 11, 2018"
WILLIAMS COMPANIES INC,Corporates,Fixed Income,"6,852.35",0.03,"6,852.35","5,000.00",96950FAF1,US96950FAF18,B3RZKK8,135.72,United States,-,USD,11.84,3.61,1.0,"Apr 15, 2040",6.3,11.86,-,3.61,11.86,3.61,USD,"Feb 09, 2010","Jul 02, 2010"
AT&T INC,Corporates,Fixed Income,"6,835.67",0.03,"6,835.67","5,000.00",00206RCU4,US00206RCU41,BYMLXL0,134.58,United States,-,USD,14.63,3.56,1.0,"Feb 15, 2047",5.65,14.81,-,3.53,14.65,3.53,USD,"Feb 09, 2016","Feb 09, 2016"
OCCIDENTAL PETROLEUM CORPORATION,Corporates,Fixed Income,"6,809.24",0.03,"6,809.24","5,000.00",674599DE2,US674599DE26,-,133.87,United States,-,USD,7.18,3.69,1.0,"Sep 15, 2031",7.88,7.12,-,3.69,7.12,3.69,USD,"Sep 15, 2019","Sep 18, 2019"
HP INC,Corporates,Fixed Income,"6,762.83",0.03,"6,762.83","5,000.00",428236BR3,US428236BR31,B5V6LS6,133.49,United States,-,USD,12.52,3.61,1.0,"Sep 15, 2041",6.0,12.54,-,3.61,12.54,3.61,USD,"Sep 19, 2011","Sep 19, 2011"
ANHEUSER-BUSCH INBEV WORLDWIDE INC,Corporates,Fixed Income,"6,688.85",0.03,"6,688.85","5,000.00",03523TBU1,US03523TBU16,BJ52177,131.38,Belgium,-,USD,11.55,3.07,1.0,"Jan 23, 2039",5.45,11.73,-,3.03,11.49,3.03,USD,"Jan 23, 2019","Jan 23, 2019"
FOX CORP,Corporates,Fixed Income,"6,567.20",0.03,"6,567.20","5,000.00",35137LAJ4,US35137LAJ44,BMPRYX0,128.97,United States,-,USD,11.48,3.25,1.0,"Jan 25, 2039",5.48,11.65,-,3.21,11.42,3.21,USD,"Jan 25, 2020","Apr 03, 2020"
HUMANA INC,Corporates,Fixed Income,"6,531.53",0.03,"6,531.53","5,000.00",444859BE1,US444859BE13,BQZJCM9,129.39,United States,-,USD,14.47,3.13,1.0,"Oct 01, 2044",4.95,14.67,-,3.11,14.47,3.11,USD,"Sep 19, 2014","Sep 19, 2014"
CAESARS ENTERTAINMENT INC 144A,Corporates,Fixed Income,"6,489.66",0.03,"6,489.66","6,000.00",28470RAH5,US28470RAH57,BLFBXP0,105.04,United States,-,USD,0.53,4.67,1.0,"Jul 01, 2025",6.25,3.05,-,2.3,0.48,2.3,USD,"Jul 06, 2020","Jul 06, 2020"
GILEAD SCIENCES INC,Corporates,Fixed Income,"6,399.50",0.03,"6,399.50","5,000.00",375558AX1,US375558AX11,BKHDRD3,126.79,United States,-,USD,14.35,3.12,1.0,"Apr 01, 2044",4.8,14.55,-,3.1,14.34,3.1,USD,"Mar 07, 2014","Mar 07, 2014"
RAYTHEON TECHNOLOGIES CORPORATION,Corporates,Fixed Income,"6,380.06",0.03,"6,380.06","5,000.00",75513ECA7,US75513ECA73,-,126.57,United States,-,USD,12.94,3.01,1.0,"Oct 15, 2040",4.88,12.98,-,3.01,12.98,3.01,USD,"Oct 15, 2020","Dec 08, 2020"
KINDER MORGAN INC,Corporates,Fixed Income,"6,374.93",0.03,"6,374.93","5,000.00",49456BAH4,US49456BAH42,BST78D6,127.04,United States,-,USD,14.07,3.8,1.0,"Jun 01, 2045",5.55,14.23,-,3.78,14.06,3.78,USD,"Nov 26, 2014","Nov 26, 2014"
NEWMONT MINING CORP,Corporates,Fixed Income,"6,370.47",0.03,"6,370.47","5,000.00",651639AP1,US651639AP18,B7J8X60,125.97,United States,-,USD,13.37,3.13,1.0,"Mar 15, 2042",4.88,13.56,-,3.1,13.34,3.1,USD,"Mar 08, 2012","Mar 08, 2012"
CHARTER COMMUNICATIONS OPERATING L,Corporates,Fixed Income,"6,328.32",0.03,"6,328.32","5,000.00",161175BN3,US161175BN35,BFY3BX9,125.13,United States,-,USD,14.55,4.17,1.0,"Apr 01, 2048",5.75,14.69,-,4.15,14.55,4.15,USD,"Apr 17, 2018","Apr 17, 2018"
WYNN LAS VEGAS LLC / WYNN LAS VEGA 144A,Corporates,Fixed Income,"6,313.34",0.03,"6,313.34","6,000.00",983130AV7,US983130AV78,BVXGVS6,103.39,United States,-,USD,2.77,4.34,1.0,"Mar 01, 2025",5.5,2.84,-,4.25,2.63,4.25,USD,"Feb 18, 2015","Feb 18, 2015"
LYB INTERNATIONAL FINANCE BV,Corporates,Fixed Income,"6,305.74",0.03,"6,305.74","5,000.00",50247VAC3,US50247VAC37,BK3NZG6,124.69,United States,-,USD,14.16,3.3,1.0,"Mar 15, 2044",4.88,14.35,-,3.28,14.15,3.28,USD,"Feb 28, 2014","Feb 28, 2014"
