,,,,,,,,,,,,,,,,,,,,,,,,,,iShares ESG Advanced High Yield Corporate Bond ETF
BALL CORPORATION,Capital Goods,Fixed Income,"204,673.68",0.14,"204,673.68","205,000.00",058498AX4,US058498AX40,-,98.91,United States,-,USD,8.24,3.26,1.0,"Sep 15, 2031",3.13,8.23,-,3.26,8.23,3.26,USD,"Sep 14, 2021","Sep 14, 2021"
XEROX HOLDINGS CORP 144A,Technology,Fixed Income,"204,120.38",0.14,"204,120.38","190,000.00",98421MAB2,US98421MAB28,-,105.35,United States,-,USD,5.52,4.55,1.0,"Aug 15, 2028",5.5,5.44,-,4.54,5.38,4.54,USD,"Aug 06, 2020","Aug 06, 2020"
INDIGO MERGER SUB INC 144A,Consumer Non-Cyclical,Fixed Income,"203,931.00",0.14,"203,931.00","200,000.00",45569KAA1,US45569KAA16,-,100.53,Ireland,-,USD,3.48,2.75,1.0,"Jul 15, 2026",2.88,4.17,-,2.72,3.3,2.72,USD,"Jul 01, 2021","Jul 01, 2021"
VERTIV GROUP CORP 144A,Capital Goods,Fixed Income,"203,887.25",0.14,"203,887.25","200,000.00",92535UAB0,US92535UAB08,-,101.15,United States,-,USD,4.92,3.93,1.0,"Nov 15, 2028",4.13,5.9,-,3.86,4.35,3.86,USD,"Oct 22, 2021","Oct 22, 2021"
SENSATA TECHNOLOGIES BV 144A,Technology,Fixed Income,"203,146.65",0.14,"203,146.65","185,000.00",81725WAJ2,US81725WAJ27,BWFV670,108.56,Netherlands,-,USD,3.42,2.59,1.0,"Oct 01, 2025",5.0,3.4,-,2.59,3.4,2.59,USD,"Mar 26, 2015","Mar 26, 2015"
PERRIGO FINANCE UNLIMITED CO,Consumer Non-Cyclical,Fixed Income,"202,742.67",0.14,"202,742.67","200,000.00",71429MAC9,US71429MAC91,-,101.2,United States,-,USD,7.13,3.73,1.0,"Jun 15, 2030",3.9,7.15,-,3.73,6.96,3.73,USD,"Jun 19, 2020","Jun 19, 2020"
CIT GROUP INC,Banking,Fixed Income,"202,359.24",0.14,"202,359.24","195,000.00",125581HA9,US125581HA94,-,103.64,United States,-,USD,1.42,2.39,1.0,"Jun 19, 2024",3.93,1.41,-,1.41,1.43,1.41,USD,"Jun 19, 2020","Jun 19, 2020"
SEAWORLD PARKS & ENTERTAINMENT 144A,Consumer Cyclical,Fixed Income,"202,171.12",0.14,"202,171.12","195,000.00",81282UAG7,US81282UAG76,-,101.84,United States,-,USD,4.83,4.96,1.0,"Aug 15, 2029",5.25,6.13,-,4.8,4.0,4.8,USD,"Aug 25, 2021","Aug 25, 2021"
TELECOM ITALIA CAPITAL SA,Communications,Fixed Income,"202,037.73",0.14,"202,037.73","185,000.00",87927VAF5,US87927VAF58,B06Y4X6,108.4,Italy,-,USD,8.48,5.41,1.0,"Nov 15, 2033",6.38,8.36,-,5.41,8.36,5.41,USD,"May 15, 2004","Sep 30, 2004"
MINERAL RESOURCES LTD 144A,Basic Industry,Fixed Income,"201,210.80",0.14,"201,210.80","185,000.00",603051AA1,US603051AA15,BJXP2N1,107.43,Australia,-,USD,0.51,6.45,1.0,"May 01, 2027",8.13,4.28,-,3.81,0.33,3.81,USD,"Apr 23, 2019","Apr 23, 2019"
PARK INTERMEDIATE HOLDINGS LLC 144A,Reits,Fixed Income,"201,050.69",0.14,"201,050.69","195,000.00",70052LAC7,US70052LAC72,-,102.48,United States,-,USD,4.57,4.48,1.0,"May 15, 2029",4.88,6.12,-,4.25,3.89,4.25,USD,"May 14, 2021","May 14, 2021"
CINEMARK USA INC 144A,Consumer Cyclical,Fixed Income,"200,744.67",0.14,"200,744.67","200,000.00",172441BF3,US172441BF30,-,97.51,United States,-,USD,4.97,5.71,1.0,"Jul 15, 2028",5.25,5.29,-,5.71,5.29,5.71,USD,"Jun 15, 2021","Jun 15, 2021"
1011778 BC UNLIMITED LIABILITY CO 144A,Consumer Cyclical,Fixed Income,"200,268.95",0.14,"200,268.95","195,000.00",68245XAJ8,US68245XAJ81,-,102.14,Canada,-,USD,3.11,3.97,1.0,"Jan 15, 2028",4.38,5.25,-,3.58,2.67,3.58,USD,"Nov 19, 2019","Nov 19, 2019"
TEMPUR SEALY INTERNATIONAL INC 144A,Consumer Non-Cyclical,Fixed Income,"200,219.07",0.14,"200,219.07","195,000.00",88023UAH4,US88023UAH41,-,101.83,United States,-,USD,4.6,3.71,1.0,"Apr 15, 2029",4.0,6.24,-,3.53,3.89,3.53,USD,"Mar 25, 2021","Mar 25, 2021"
SERVICE CORPORATION INTERNATIONAL,Consumer Cyclical,Fixed Income,"200,103.55",0.14,"200,103.55","185,000.00",817565CE2,US817565CE22,BK62T02,107.74,United States,-,USD,3.4,3.91,1.0,"Jun 01, 2029",5.13,6.17,-,2.82,2.27,2.82,USD,"May 21, 2019","May 21, 2019"
SERVICE CORPORATION INTERNATIONAL,Consumer Cyclical,Fixed Income,"199,994.17",0.14,"199,994.17","195,000.00",817565CG7,US817565CG79,-,102.05,United States,-,USD,6.21,3.74,1.0,"May 15, 2031",4.0,7.74,-,3.68,6.32,3.68,USD,"May 24, 2021","May 24, 2021"
GO DADDY OPERATING COMPANY LLC 144A,Consumer Cyclical,Fixed Income,"199,777.33",0.14,"199,777.33","200,000.00",38016LAC9,US38016LAC90,-,98.72,United States,-,USD,5.13,3.7,1.0,"Mar 01, 2029",3.5,6.21,-,3.7,6.21,3.7,USD,"Feb 25, 2021","Feb 25, 2021"
TENNECO INC 144A,Consumer Cyclical,Fixed Income,"199,303.89",0.14,"199,303.89","200,000.00",880349AT2,US880349AT28,-,98.57,United States,-,USD,5.17,5.36,1.0,"Apr 15, 2029",5.13,5.94,-,5.36,5.94,5.36,USD,"Mar 17, 2021","Mar 17, 2021"
ENCOMPASS HEALTH CORP,Consumer Non-Cyclical,Fixed Income,"199,230.20",0.14,"199,230.20","190,000.00",29261AAA8,US29261AAA88,BK73CG1,102.98,United States,-,USD,2.95,3.94,1.0,"Feb 01, 2028",4.5,5.2,-,3.47,2.82,3.47,USD,"Sep 18, 2019","Sep 18, 2019"
WEIR GROUP PLC 144A,Capital Goods,Fixed Income,"199,176.44",0.14,"199,176.44","200,000.00",94876QAA4,US94876QAA40,-,99.3,United Kingdom,-,USD,4.13,2.37,1.0,"May 13, 2026",2.2,4.13,-,2.37,4.13,2.37,USD,"May 13, 2021","May 13, 2021"
TRAVEL + LEISURE CO 144A,Consumer Cyclical,Fixed Income,"198,686.98",0.14,"198,686.98","175,000.00",98310WAS7,US98310WAS70,BMWZQD1,110.78,United States,-,USD,3.78,4.03,1.0,"Jul 31, 2026",6.63,3.88,-,3.9,3.7,3.9,USD,"Jul 24, 2020","Jul 24, 2020"
ADT CORP 144A,Consumer Cyclical,Fixed Income,"198,376.94",0.14,"198,376.94","190,000.00",74166NAA2,US74166NAA28,BDR0DC6,102.16,United States,-,USD,8.13,4.61,1.0,"Jul 15, 2032",4.88,8.03,-,4.61,8.03,4.61,USD,"May 02, 2016","May 02, 2016"
AVANTOR FUNDING INC 144A,Consumer Non-Cyclical,Fixed Income,"198,380.62",0.14,"198,380.62","195,000.00",05352TAB5,US05352TAB52,-,101.03,United States,-,USD,5.19,3.72,1.0,"Nov 01, 2029",3.88,6.67,-,3.64,4.35,3.64,USD,"Oct 26, 2021","Oct 26, 2021"
SUMMIT MATERIALS LLC 144A,Capital Goods,Fixed Income,"198,338.19",0.14,"198,338.19","185,000.00",86614RAN7,US86614RAN70,BN2Y9Q9,104.79,United States,-,USD,3.09,4.45,1.0,"Jan 15, 2029",5.25,5.74,-,3.69,1.44,3.69,USD,"Aug 11, 2020","Aug 11, 2020"
EDGEWELL PERSONAL CARE CO 144A,Consumer Non-Cyclical,Fixed Income,"197,160.67",0.14,"197,160.67","185,000.00",28035QAA0,US28035QAA04,-,106.11,United States,-,USD,2.36,4.4,1.0,"Jun 01, 2028",5.5,5.38,-,2.97,1.36,2.97,USD,"May 22, 2020","May 22, 2020"
PARTY CITY HOLDINGS INC 144A,Consumer Cyclical,Fixed Income,"197,105.58",0.14,"197,105.58","185,000.00",702150AG8,US702150AG84,BM8C3F7,103.24,United States,-,USD,3.19,7.81,1.0,"Feb 15, 2026",8.75,3.32,-,7.7,2.98,7.7,USD,"Feb 19, 2021","Feb 19, 2021"
SABRE GLBL INC 144A,Technology,Fixed Income,"196,949.77",0.14,"196,949.77","185,000.00",78573NAF9,US78573NAF96,-,104.0,United States,-,USD,2.23,6.14,1.0,"Sep 01, 2025",7.38,3.12,-,6.14,3.12,6.14,USD,"Aug 27, 2020","Aug 27, 2020"
AXALTA COATING SYSTEMS LLC 144A,Basic Industry,Fixed Income,"196,252.00",0.14,"196,252.00","200,000.00",05453GAC9,US05453GAC96,BMWS414,96.85,United States,-,USD,5.42,3.88,1.0,"Feb 15, 2029",3.38,6.17,-,3.88,6.17,3.88,USD,"Nov 24, 2020","Nov 24, 2020"
CSC HOLDINGS LLC 144A,Communications,Fixed Income,"196,139.50",0.14,"196,139.50","200,000.00",126307BB2,US126307BB25,BM9LYP0,97.73,United States,-,USD,6.47,4.44,1.0,"Dec 01, 2030",4.13,7.34,-,4.44,7.34,4.44,USD,"Jun 16, 2020","Jun 16, 2020"
GAP INC 144A,Consumer Cyclical,Fixed Income,"194,672.02",0.13,"194,672.02","195,000.00",364760AQ1,US364760AQ18,-,98.82,United States,-,USD,6.87,4.02,1.0,"Oct 01, 2031",3.88,7.96,-,4.02,7.96,4.02,USD,"Sep 27, 2021","Sep 27, 2021"
ENCOMPASS HEALTH CORP,Consumer Non-Cyclical,Fixed Income,"194,479.71",0.13,"194,479.71","185,000.00",29261AAB6,US29261AAB61,-,103.15,United States,-,USD,4.95,4.29,1.0,"Feb 01, 2030",4.75,6.56,-,4.16,5.16,4.16,USD,"Sep 18, 2019","Sep 18, 2019"
GRIFOLS ESCROW ISSUER SAU 144A,Consumer Non-Cyclical,Fixed Income,"193,996.68",0.13,"193,996.68","190,000.00",39843UAA0,US39843UAA07,-,100.98,Spain,-,USD,4.86,4.58,1.0,"Oct 15, 2028",4.75,5.7,-,4.52,4.2,4.52,USD,"Oct 05, 2021","Oct 05, 2021"
MGIC INVESTMENT CORPORATION,Insurance,Fixed Income,"193,461.00",0.13,"193,461.00","180,000.00",552848AG8,US552848AG81,-,105.5,United States,-,USD,2.89,4.29,1.0,"Aug 15, 2028",5.25,5.49,-,3.33,1.52,3.33,USD,"Aug 12, 2020","Aug 12, 2020"
IHS MARKIT LTD 144A,Technology,Fixed Income,"193,324.69",0.13,"193,324.69","175,000.00",44962LAB3,US44962LAB36,BYNHPT9,108.69,United States,-,USD,2.69,1.87,1.0,"Feb 15, 2025",4.75,2.88,-,1.64,2.66,1.64,USD,"Feb 09, 2017","Feb 09, 2017"
ON SEMICONDUCTOR CORPORATION 144A,Technology,Fixed Income,"192,144.08",0.13,"192,144.08","185,000.00",682189AQ8,US682189AQ81,BL54B77,102.57,United States,-,USD,3.77,3.44,1.0,"Sep 01, 2028",3.88,5.78,-,3.13,3.36,3.13,USD,"Aug 21, 2020","Aug 21, 2020"
LAMB WESTON HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"192,087.53",0.13,"192,087.53","185,000.00",513272AE4,US513272AE49,-,103.19,United States,-,USD,6.61,3.99,1.0,"Jan 31, 2032",4.38,8.09,-,3.91,6.75,3.91,USD,"Nov 08, 2021","Nov 08, 2021"
IHEARTCOMMUNICATIONS INC 144A,Communications,Fixed Income,"190,671.00",0.13,"190,671.00","180,000.00",45174HBE6,US45174HBE62,BJQ1ZZ9,103.94,United States,-,USD,1.55,4.45,1.0,"Aug 15, 2027",5.25,4.76,-,3.01,0.6,3.01,USD,"Aug 07, 2019","Aug 07, 2019"
CSC HOLDINGS LLC 144A,Communications,Fixed Income,"189,812.00",0.13,"189,812.00","200,000.00",126307BF3,US126307BF39,-,93.63,United States,-,USD,7.04,4.22,1.0,"Feb 15, 2031",3.38,7.61,-,4.22,7.61,4.22,USD,"Aug 17, 2020","Aug 17, 2020"
CUSHMAN & WAKEFIELD US BORROWER LL 144A,Consumer Cyclical,Fixed Income,"189,751.62",0.13,"189,751.62","175,000.00",23166MAA1,US23166MAA18,-,107.57,United States,-,USD,1.91,5.33,1.0,"May 15, 2028",6.75,5.15,-,3.49,1.31,3.49,USD,"May 22, 2020","May 22, 2020"
GAP INC 144A,Consumer Cyclical,Fixed Income,"189,716.00",0.13,"189,716.00","190,000.00",364760AP3,US364760AP35,-,98.9,United States,-,USD,5.5,3.79,1.0,"Oct 01, 2029",3.63,6.63,-,3.79,6.63,3.79,USD,"Sep 27, 2021","Sep 27, 2021"
UNITED RENTALS (NORTH AMERICA) INC,Capital Goods,Fixed Income,"189,130.12",0.13,"189,130.12","185,000.00",911365BP8,US911365BP80,-,100.8,United States,-,USD,6.65,3.65,1.0,"Jan 15, 2032",3.75,8.2,-,3.63,6.43,3.63,USD,"Aug 13, 2021","Aug 13, 2021"
GRAY ESCROW INC 144A,Communications,Fixed Income,"188,666.53",0.13,"188,666.53","175,000.00",389284AA8,US389284AA85,BGS1HG1,106.92,United States,-,USD,0.39,5.49,1.0,"May 15, 2027",7.0,4.44,-,2.34,0.37,2.34,USD,"Nov 16, 2018","Nov 16, 2018"
KFC HOLDING CO/PIZZA HUT HOLDINGS 144A,Consumer Cyclical,Fixed Income,"188,029.50",0.13,"188,029.50","180,000.00",48250NAC9,US48250NAC92,BDFZC60,104.07,United States,-,USD,0.43,3.91,1.0,"Jun 01, 2027",4.75,4.74,-,0.66,0.42,0.66,USD,"Jun 15, 2017","Jun 15, 2017"
MOLINA HEALTHCARE INC 144A,Insurance,Fixed Income,"187,992.25",0.13,"187,992.25","180,000.00",60855RAK6,US60855RAK68,BMYKTN5,103.94,United States,-,USD,7.43,3.36,1.0,"Nov 15, 2030",3.88,7.46,-,3.34,7.29,3.34,USD,"Nov 17, 2020","Nov 17, 2020"
SOTHEBYS 144A,Consumer Cyclical,Fixed Income,"187,405.02",0.13,"187,405.02","175,000.00",835898AH0,US835898AH05,-,106.47,United States,-,USD,1.14,6.03,1.0,"Oct 15, 2027",7.38,4.68,-,3.63,0.76,3.63,USD,"Oct 02, 2019","Feb 19, 2020"
COMMSCOPE TECHNOLOGIES LLC 144A,Technology,Fixed Income,"186,632.98",0.13,"186,632.98","195,000.00",20338HAB9,US20338HAB96,BF08257,94.24,United States,-,USD,4.39,6.31,1.0,"Mar 15, 2027",5.0,4.42,-,6.31,4.42,6.31,USD,"Mar 13, 2017","Mar 13, 2017"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"186,342.59",0.13,"186,342.59","125,000.00",50076QAR7,US50076QAR74,B97MM05,146.11,United States,-,USD,11.11,3.32,1.0,"Jan 26, 2039",6.88,11.12,-,3.32,11.12,3.32,USD,"Jul 26, 2012","Jan 14, 2013"
OWENS-BROCKWAY GLASS CONTAINER INC 144A,Capital Goods,Fixed Income,"186,001.42",0.13,"186,001.42","175,000.00",69073TAT0,US69073TAT07,-,105.44,United States,-,USD,2.69,5.44,1.0,"May 13, 2027",6.63,4.47,-,4.83,2.17,4.83,USD,"May 13, 2020","May 13, 2020"
RADIAN GROUP INC,Insurance,Fixed Income,"185,898.40",0.13,"185,898.40","165,000.00",750236AX9,US750236AX98,-,110.72,United States,-,USD,2.49,3.09,1.0,"Mar 15, 2025",6.63,2.86,-,2.5,2.46,2.5,USD,"May 15, 2020","May 15, 2020"
SPIRIT AEROSYSTEMS INC,Capital Goods,Fixed Income,"185,792.60",0.13,"185,792.60","185,000.00",85205TAK6,US85205TAK60,BDR7P87,100.22,United States,-,USD,5.54,4.56,1.0,"Jun 15, 2028",4.6,5.52,-,4.56,5.34,4.56,USD,"May 30, 2018","May 30, 2018"
METHANEX CORPORATION,Basic Industry,Fixed Income,"185,337.83",0.13,"185,337.83","175,000.00",59151KAL2,US59151KAL26,-,105.67,Canada,-,USD,6.48,4.4,1.0,"Dec 15, 2029",5.25,6.49,-,4.38,6.32,4.38,USD,"Sep 12, 2019","Sep 12, 2019"
HOWARD HUGHES CORP 144A,Financial Other,Fixed Income,"185,314.95",0.13,"185,314.95","180,000.00",44267DAE7,US44267DAE76,BMDJ427,101.23,United States,-,USD,4.54,3.92,1.0,"Feb 01, 2029",4.13,6.0,-,3.8,3.67,3.8,USD,"Feb 02, 2021","Feb 02, 2021"
HERBALIFE NUTRITION LTD 144A,Consumer Non-Cyclical,Fixed Income,"185,208.41",0.13,"185,208.41","170,000.00",42704MAA0,US42704MAA09,-,106.34,United States,-,USD,0.76,5.92,1.0,"Sep 01, 2025",7.88,3.1,-,4.03,0.64,4.03,USD,"May 29, 2020","May 29, 2020"
KRAFT HEINZ FOODS CO 144A,Consumer Non-Cyclical,Fixed Income,"185,111.70",0.13,"185,111.70","120,000.00",42307TAH1,US42307TAH14,B3VJFD4,151.29,United States,-,USD,11.28,3.27,1.0,"Aug 01, 2039",7.13,11.31,-,3.27,11.31,3.27,USD,"Jul 29, 2009","Jul 29, 2009"
NETFLIX INC 144A,Communications,Fixed Income,"185,085.44",0.13,"185,085.44","175,000.00",64110LAY2,US64110LAY20,-,105.6,United States,-,USD,3.1,1.94,1.0,"Jun 15, 2025",3.63,3.25,-,1.82,3.02,1.82,USD,"Apr 28, 2020","Apr 28, 2020"
PRIME SECURITY SERVICES BORROWER L 144A,Consumer Cyclical,Fixed Income,"184,282.27",0.13,"184,282.27","170,000.00",74166MAB2,US74166MAB28,BJTRRJ2,106.42,United States,-,USD,2.15,2.35,1.0,"Apr 15, 2024",5.25,2.13,-,2.35,2.13,2.35,USD,"Apr 04, 2019","Apr 04, 2019"
BROOKFIELD PROPERTY REIT INC 144A,Reits,Fixed Income,"183,647.65",0.13,"183,647.65","185,000.00",11284DAC9,US11284DAC92,-,98.12,United States,-,USD,4.27,4.91,1.0,"Apr 01, 2027",4.5,4.56,-,4.91,4.56,4.91,USD,"Sep 29, 2021","Sep 29, 2021"
TWITTER INC 144A,Communications,Fixed Income,"183,213.14",0.13,"183,213.14","175,000.00",90184LAG7,US90184LAG77,-,104.52,United States,-,USD,5.24,3.04,1.0,"Dec 15, 2027",3.88,5.3,-,3.01,5.1,3.01,USD,"Dec 09, 2019","Dec 09, 2019"
WELBILT INC,Capital Goods,Fixed Income,"183,081.31",0.13,"183,081.31","175,000.00",563568AB0,US563568AB08,BD5CW05,101.03,United States,-,USD,0.13,8.95,1.0,"Feb 15, 2024",9.5,1.83,-,1.03,0.12,1.03,USD,"Aug 15, 2016","Sep 26, 2016"
MOLINA HEALTHCARE INC 144A,Insurance,Fixed Income,"182,808.68",0.13,"182,808.68","180,000.00",60855RAL4,US60855RAL42,-,101.08,United States,-,USD,8.48,3.75,1.0,"May 15, 2032",3.88,8.45,-,3.75,8.28,3.75,USD,"Nov 16, 2021","Nov 16, 2021"
HOWMET AEROSPACE INC,Capital Goods,Fixed Income,"182,710.75",0.13,"182,710.75","150,000.00",013817AK7,US013817AK77,B1P7358,119.33,United States,-,USD,10.24,4.21,1.0,"Feb 01, 2037",5.95,10.19,-,4.21,10.19,4.21,USD,"Jan 25, 2007","Jan 25, 2007"
US CELLULAR CORP,Communications,Fixed Income,"182,278.17",0.13,"182,278.17","150,000.00",911684AD0,US911684AD06,2209593,121.22,United States,-,USD,8.64,4.4,1.0,"Dec 15, 2033",6.7,8.56,-,4.4,8.56,4.4,USD,"Dec 08, 2003","Dec 08, 2003"
RITCHIE BROS AUCTIONEERS INC 144A,Capital Goods,Fixed Income,"181,621.08",0.13,"181,621.08","175,000.00",767744AA3,US767744AA37,BDGMHW1,101.31,Canada,-,USD,1.04,4.91,1.0,"Jan 15, 2025",5.38,2.71,-,4.08,0.98,4.08,USD,"Dec 21, 2016","Dec 21, 2016"
MOLINA HEALTHCARE INC 144A,Insurance,Fixed Income,"181,507.28",0.13,"181,507.28","175,000.00",60855RAJ9,US60855RAJ95,-,103.52,United States,-,USD,1.99,3.75,1.0,"Jun 15, 2028",4.38,5.59,-,1.91,1.41,1.91,USD,"Jun 02, 2020","Jun 02, 2020"
FMG RESOURCES (AUGUST 2006) PTY LT 144A,Basic Industry,Fixed Income,"181,436.96",0.13,"181,436.96","170,000.00",30251GAW7,US30251GAW78,BDFVF70,106.09,Australia,-,USD,2.03,2.47,1.0,"May 15, 2024",5.13,2.23,-,2.18,2.01,2.18,USD,"May 12, 2017","May 12, 2017"
KENNEDY-WILSON INC,Financial Other,Fixed Income,"181,081.06",0.13,"181,081.06","175,000.00",489399AN5,US489399AN56,-,101.79,United States,-,USD,4.97,4.48,1.0,"Feb 01, 2030",4.75,6.56,-,4.32,4.09,4.32,USD,"Aug 23, 2021","Aug 23, 2021"
PENNYMAC FINANCIAL SERVICES INC 144A,Finance Companies,Fixed Income,"180,629.48",0.13,"180,629.48","185,000.00",70932MAB3,US70932MAB37,-,96.03,United States,-,USD,5.44,4.92,1.0,"Feb 15, 2029",4.25,5.95,-,4.92,5.95,4.92,USD,"Feb 11, 2021","Feb 11, 2021"
UNITI GROUP LP 144A,Communications,Fixed Income,"180,473.05",0.13,"180,473.05","185,000.00",91327AAB8,US91327AAB89,-,96.25,United States,-,USD,5.73,6.6,1.0,"Jan 15, 2030",6.0,6.18,-,6.6,6.18,6.6,USD,"Oct 13, 2021","Oct 13, 2021"
SINCLAIR TELEVISION GROUP INC 144A,Communications,Fixed Income,"180,421.62",0.13,"180,421.62","190,000.00",829259BA7,US829259BA72,-,94.61,United States,-,USD,6.76,4.88,1.0,"Dec 01, 2030",4.13,7.3,-,4.88,7.3,4.88,USD,"Dec 04, 2020","Dec 04, 2020"
CATALENT PHARMA SOLUTIONS INC 144A,Consumer Non-Cyclical,Fixed Income,"180,236.60",0.12,"180,236.60","180,000.00",14879EAK4,US14879EAK47,-,99.24,United States,-,USD,5.78,3.61,1.0,"Apr 01, 2030",3.5,7.04,-,3.61,7.04,3.61,USD,"Sep 29, 2021","Sep 29, 2021"
BOOZ ALLEN HAMILTON INC 144A,Industrial Other,Fixed Income,"180,111.17",0.12,"180,111.17","175,000.00",09951LAA1,US09951LAA17,-,101.63,United States,-,USD,4.06,3.6,1.0,"Sep 01, 2028",3.88,5.77,-,3.4,3.36,3.4,USD,"Aug 24, 2020","Aug 24, 2020"
COMMSCOPE INC 144A,Technology,Fixed Income,"179,169.38",0.12,"179,169.38","175,000.00",203372AV9,US203372AV94,BM8MKY5,98.82,United States,-,USD,4.39,7.35,1.0,"Jul 01, 2028",7.13,4.94,-,7.35,4.94,7.35,USD,"Jul 01, 2020","Jul 01, 2020"
SONIC AUTOMOTIVE INC 144A,Consumer Cyclical,Fixed Income,"177,784.64",0.12,"177,784.64","175,000.00",83545GBD3,US83545GBD34,-,100.77,United States,-,USD,5.24,4.51,1.0,"Nov 15, 2029",4.63,6.49,-,4.45,4.29,4.45,USD,"Oct 27, 2021","Oct 27, 2021"
GROUP 1 AUTOMOTIVE INC 144A,Consumer Cyclical,Fixed Income,"177,411.69",0.12,"177,411.69","175,000.00",398905AN9,US398905AN98,-,99.87,United States,-,USD,4.56,4.02,1.0,"Aug 15, 2028",4.0,5.68,-,4.02,5.68,4.02,USD,"Aug 17, 2020","Aug 17, 2020"
RAKUTEN GROUP INC 144A,Consumer Cyclical,Fixed Income,"177,290.85",0.12,"177,290.85","175,000.00",75102WAA6,US75102WAA62,BKVKPF8,100.34,Japan,-,USD,8.52,5.11,1.0,"Dec 31, 2049",5.13,19.58,-,5.03,3.79,5.03,USD,"Apr 22, 2021","Apr 22, 2021"
OUTFRONT MEDIA CAPITAL LLC 144A,Communications,Fixed Income,"177,160.21",0.12,"177,160.21","170,000.00",69007TAB0,US69007TAB08,BK6WVJ5,102.32,United States,-,USD,2.74,4.53,1.0,"Aug 15, 2027",5.0,4.78,-,4.06,2.4,4.06,USD,"Jun 14, 2019","Jun 14, 2019"
KENNEDY-WILSON INC,Financial Other,Fixed Income,"176,052.57",0.12,"176,052.57","170,000.00",489399AL9,US489399AL90,-,101.98,United States,-,USD,4.46,4.42,1.0,"Mar 01, 2029",4.75,5.95,-,4.23,3.7,4.23,USD,"Feb 11, 2021","Feb 11, 2021"
TEREX CORPORATION 144A,Capital Goods,Fixed Income,"175,960.01",0.12,"175,960.01","170,000.00",880779BA0,US880779BA01,-,102.87,United States,-,USD,4.5,4.54,1.0,"May 15, 2029",5.0,6.1,-,4.27,3.88,4.27,USD,"Apr 01, 2021","Apr 01, 2021"
METHANEX CORPORATION,Basic Industry,Fixed Income,"175,533.51",0.12,"175,533.51","165,000.00",59151KAM0,US59151KAM09,BN13TV2,105.3,Canada,-,USD,4.8,4.09,1.0,"Oct 15, 2027",5.13,4.95,-,4.0,4.58,4.0,USD,"Sep 22, 2020","Sep 22, 2020"
SYNEOS HEALTH INC 144A,Consumer Non-Cyclical,Fixed Income,"175,384.17",0.12,"175,384.17","175,000.00",87166BAA0,US87166BAA08,-,98.55,United States,-,USD,5.06,3.86,1.0,"Jan 15, 2029",3.63,6.05,-,3.86,6.05,3.86,USD,"Nov 24, 2020","Nov 24, 2020"
CROWDSTRIKE HOLDINGS INC,Technology,Fixed Income,"174,808.08",0.12,"174,808.08","175,000.00",22788CAA3,US22788CAA36,-,98.76,United States,-,USD,5.11,3.2,1.0,"Feb 15, 2029",3.0,6.29,-,3.2,6.29,3.2,USD,"Jan 20, 2021","Jan 20, 2021"
ONEMAIN FINANCE CORP,Finance Companies,Fixed Income,"174,471.40",0.12,"174,471.40","175,000.00",682691AC4,US682691AC47,-,98.19,United States,-,USD,5.17,4.19,1.0,"Sep 15, 2028",3.88,5.75,-,4.19,5.75,4.19,USD,"Aug 11, 2021","Aug 11, 2021"
RHP HOTEL PROPERTIES LP 144A,Reits,Fixed Income,"174,185.40",0.12,"174,185.40","170,000.00",749571AG0,US749571AG03,-,100.76,United States,-,USD,4.72,4.37,1.0,"Feb 15, 2029",4.5,5.95,-,4.33,4.46,4.33,USD,"Feb 17, 2021","Feb 17, 2021"
CABLE ONE INC 144A,Communications,Fixed Income,"173,407.69",0.12,"173,407.69","175,000.00",12685JAC9,US12685JAC99,-,98.58,United States,-,USD,6.3,4.19,1.0,"Nov 15, 2030",4.0,7.35,-,4.19,7.35,4.19,USD,"Nov 09, 2020","Nov 09, 2020"
AVIENT CORP 144A,Basic Industry,Fixed Income,"173,363.39",0.12,"173,363.39","165,000.00",73179PAM8,US73179PAM86,-,104.33,United States,-,USD,0.38,4.35,1.0,"May 15, 2025",5.75,3.03,-,1.74,0.37,1.74,USD,"May 13, 2020","May 13, 2020"
BRINKS CO 144A,Consumer Cyclical,Fixed Income,"172,529.59",0.12,"172,529.59","165,000.00",109696AA2,US109696AA22,BF2F3Z3,103.59,United States,-,USD,2.03,3.93,1.0,"Oct 15, 2027",4.63,5.01,-,2.91,0.77,2.91,USD,"Oct 20, 2017","Oct 20, 2017"
SENSATA TECHNOLOGIES INC 144A,Technology,Fixed Income,"171,633.13",0.12,"171,633.13","170,000.00",81728UAB0,US81728UAB08,-,99.54,United States,-,USD,6.3,3.81,1.0,"Feb 15, 2031",3.75,7.55,-,3.81,7.55,3.81,USD,"Aug 17, 2020","Aug 17, 2020"
MGM GROWTH PROPERTIES OPERATING PA 144A,Consumer Cyclical,Fixed Income,"171,240.89",0.12,"171,240.89","160,000.00",55303XAK1,US55303XAK19,BMB1WS7,106.82,United States,-,USD,3.04,2.55,1.0,"Jun 15, 2025",4.63,3.2,-,2.4,2.98,2.4,USD,"Jun 05, 2020","Jun 05, 2020"
