,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2029 Term Corporate ETF
PUBLIC SERVICE ELECTRIC AND GAS CO MTN,Corporates,Fixed Income,"200,358.49",0.13,"200,358.49","185,000.00",74456QBY1,US74456QBY17,BJXS092,107.89,United States,-,USD,6.45,2.04,1.0,"May 15, 2029",3.2,6.57,-,2.01,6.37,2.01,USD,"May 08, 2019","May 08, 2019"
HERSHEY COMPANY THE,Corporates,Fixed Income,"199,215.02",0.13,"199,215.02","191,000.00",427866BD9,US427866BD93,-,103.99,United States,-,USD,7.03,1.9,1.0,"Nov 15, 2029",2.45,7.13,-,1.89,6.93,1.89,USD,"Oct 31, 2019","Oct 31, 2019"
ALEXANDRIA REAL ESTATE EQUITIES IN,Corporates,Fixed Income,"198,978.20",0.13,"198,978.20","170,000.00",015271AG4,US015271AG44,BP4GRL8,115.17,United States,-,USD,6.28,2.31,1.0,"Jul 30, 2029",4.5,6.42,-,2.24,6.24,2.24,USD,"Jul 18, 2014","Jul 18, 2014"
TOYOTA MOTOR CORPORATION,Corporates,Fixed Income,"198,637.63",0.13,"198,637.63","187,000.00",892331AG4,US892331AG44,BJ4T6C9,104.85,Japan,-,USD,6.7,2.06,1.0,"Jul 02, 2029",2.76,6.69,-,2.06,6.69,2.06,USD,"Jul 02, 2019","Jul 02, 2019"
ADVENTIST HEALTH SYSTEM WEST,Corporates,Fixed Income,"195,519.10",0.13,"195,519.10","185,000.00",007944AF8,US007944AF80,-,104.7,United States,-,USD,6.3,2.24,1.0,"Mar 01, 2029",2.95,6.4,-,2.22,6.2,2.22,USD,"Oct 31, 2019","Oct 31, 2019"
RUSH OBLIGATED GROUP,Corporates,Fixed Income,"189,995.11",0.13,"189,995.11","169,000.00",78200JAA0,US78200JAA07,-,111.92,United States,-,USD,6.69,2.26,1.0,"Nov 15, 2029",3.92,6.81,-,2.21,6.62,2.21,USD,"Apr 09, 2020","Apr 09, 2020"
LOWES COMPANIES INC,Corporates,Fixed Income,"187,979.29",0.13,"187,979.29","145,000.00",548661AK3,US548661AK38,2977298,127.73,United States,-,USD,5.9,2.3,1.0,"Mar 15, 2029",6.5,5.89,-,2.3,5.89,2.3,USD,"Feb 23, 1999","Aug 23, 1999"
HIGHWOODS REALTY LP,Corporates,Fixed Income,"184,344.05",0.12,"184,344.05","165,000.00",431282AR3,US431282AR39,BJLV5N2,110.84,United States,-,USD,6.17,2.56,1.0,"Apr 15, 2029",4.2,6.28,-,2.51,6.09,2.51,USD,"Mar 07, 2019","Mar 07, 2019"
BROWN & BROWN INC,Corporates,Fixed Income,"183,395.20",0.12,"183,395.20","160,000.00",115236AB7,US115236AB74,BHWV311,113.3,United States,-,USD,6.03,2.47,1.0,"Mar 15, 2029",4.5,6.16,-,2.41,5.97,2.41,USD,"Mar 11, 2019","Mar 11, 2019"
CDW LLC,Corporates,Fixed Income,"175,446.50",0.12,"175,446.50","172,000.00",12513GBF5,US12513GBF54,-,100.78,United States,-,USD,4.36,3.13,1.0,"Feb 15, 2029",3.25,6.24,-,3.02,3.36,3.02,USD,"Aug 13, 2020","Aug 13, 2020"
CUBESMART LP,Corporates,Fixed Income,"171,509.10",0.12,"171,509.10","149,000.00",22966RAE6,US22966RAE62,BJ5HB05,113.45,United States,-,USD,5.98,2.31,1.0,"Feb 15, 2029",4.38,6.1,-,2.25,5.92,2.25,USD,"Jan 30, 2019","Jan 30, 2019"
PEPSICO INC,Corporates,Fixed Income,"165,078.39",0.11,"165,078.39","119,000.00",713448EG9,US713448EG97,BGMH282,136.39,United States,-,USD,5.84,1.6,1.0,"Mar 01, 2029",7.0,5.84,-,1.6,5.84,1.6,USD,"Sep 01, 2018","Jan 02, 2019"
AMERICAN AIRLINES PASS THROUGH TRU,Corporates,Fixed Income,"161,600.92",0.11,"161,600.92","158,062.00",02376AAA7,US02376AAA79,BF7PK57,101.53,United States,-,USD,5.15,3.05,1.0,"Apr 15, 2031",3.35,5.12,-,3.05,5.12,3.05,USD,"Aug 14, 2017","Aug 14, 2017"
WELLTOWER INC,Corporates,Fixed Income,"159,539.33",0.11,"159,539.33","160,000.00",95040QAN4,US95040QAN43,-,98.67,United States,-,USD,6.42,2.26,1.0,"Jan 15, 2029",2.05,6.45,-,2.26,6.45,2.26,USD,"Jun 28, 2021","Jun 28, 2021"
BRANDYWINE OPERATING PARTNERSHIP L,Corporates,Fixed Income,"157,770.90",0.11,"157,770.90","140,000.00",105340AP8,US105340AP80,-,111.56,United States,-,USD,6.43,2.88,1.0,"Oct 01, 2029",4.55,6.53,-,2.83,6.35,2.83,USD,"Sep 16, 2014","Sep 16, 2014"
UNION PACIFIC CORPORATION,Corporates,Fixed Income,"146,010.06",0.1,"146,010.06","110,000.00",907818CF3,US907818CF33,2381781,129.98,United States,-,USD,5.78,2.06,1.0,"Feb 01, 2029",6.63,5.77,-,2.06,5.77,2.06,USD,"Feb 01, 1999","Feb 01, 1999"
WALMART INC,Corporates,Fixed Income,"145,480.15",0.1,"145,480.15","130,000.00",931142EN9,US931142EN95,BJ9MV28,110.35,United States,-,USD,6.49,1.77,1.0,"Jul 08, 2029",3.25,6.62,-,1.73,6.43,1.73,USD,"Apr 23, 2019","Apr 23, 2019"
AXIS SPECIALTY FINANCE LLC,Corporates,Fixed Income,"130,957.97",0.09,"130,957.97","118,000.00",05463HAB7,US05463HAB78,BKDSDJ0,109.18,United States,-,USD,6.36,2.55,1.0,"Jul 15, 2029",3.9,6.46,-,2.51,6.27,2.51,USD,"Jun 19, 2019","Jun 19, 2019"
CORPORATE OFFICE PROPERTIES LP,Corporates,Fixed Income,"106,931.86",0.07,"106,931.86","110,000.00",22003BAN6,US22003BAN64,-,96.43,United States,-,USD,6.45,2.56,1.0,"Jan 15, 2029",2.0,6.46,-,2.56,6.46,2.56,USD,"Aug 11, 2021","Aug 11, 2021"
ONCOR ELECTRIC DELIVERY COMPANY LL,Corporates,Fixed Income,"105,730.70",0.07,"105,730.70","85,000.00",68233JBK9,US68233JBK97,BJHZTX6,122.7,United States,-,USD,5.84,2.31,1.0,"Mar 15, 2029",5.75,5.99,-,2.21,5.81,2.21,USD,"Nov 30, 2018","Jan 24, 2019"
UNUM GROUP,Corporates,Fixed Income,"105,305.39",0.07,"105,305.39","95,000.00",91529YAN6,US91529YAN67,BKDY1V6,110.67,United States,-,USD,6.37,2.43,1.0,"Jun 15, 2029",4.0,6.49,-,2.38,6.3,2.38,USD,"Jun 13, 2019","Jun 13, 2019"
ATMOS ENERGY CORPORATION,Corporates,Fixed Income,"104,184.92",0.07,"104,184.92","100,000.00",049560AR6,US049560AR65,-,103.41,United States,-,USD,6.83,2.14,1.0,"Sep 15, 2029",2.63,6.91,-,2.13,6.71,2.13,USD,"Oct 02, 2019","Oct 02, 2019"
DOVER CORP,Corporates,Fixed Income,"100,860.63",0.07,"100,860.63","95,000.00",260003AP3,US260003AP32,-,105.7,United States,-,USD,6.88,2.16,1.0,"Nov 04, 2029",2.95,6.98,-,2.13,6.78,2.13,USD,"Nov 04, 2019","Nov 04, 2019"
WINTRUST FINANCIAL CORPORATION,Corporates,Fixed Income,"97,786.62",0.07,"97,786.62","90,000.00",97650WAG3,US97650WAG33,-,108.32,United States,-,USD,6.31,3.57,1.0,"Jun 06, 2029",4.85,6.25,-,3.57,6.25,3.57,USD,"Jun 06, 2019","Jun 06, 2019"
JOHNSON & JOHNSON,Corporates,Fixed Income,"97,538.47",0.07,"97,538.47","70,000.00",478160AJ3,US478160AJ37,2529611,137.02,United States,-,USD,6.19,1.76,1.0,"Sep 01, 2029",6.95,6.18,-,1.76,6.18,1.76,USD,"Sep 02, 1999","Sep 02, 1999"
AMERICAN AIRLINES 2017-1 CLASS AA,Corporates,Fixed Income,"82,156.94",0.06,"82,156.94","78,125.00",023761AA7,US023761AA74,BDDXT10,103.78,United States,-,USD,4.91,2.89,1.0,"Feb 15, 2029",3.65,4.88,-,2.89,4.88,2.89,USD,"Jan 13, 2017","Jan 13, 2017"
INTERSTATE POWER AND LIGHT CO,Corporates,Fixed Income,"64,785.54",0.04,"64,785.54","59,000.00",461070AQ7,US461070AQ74,BJLWN31,108.91,United States,-,USD,6.25,2.26,1.0,"Apr 01, 2029",3.6,6.36,-,2.22,6.17,2.22,USD,"Apr 01, 2019","Apr 01, 2019"
PROGRESSIVE CORPORATION,Corporates,Fixed Income,"58,029.99",0.04,"58,029.99","44,000.00",743315AJ2,US743315AJ20,2409490,129.68,United States,-,USD,5.86,2.14,1.0,"Mar 01, 2029",6.63,5.85,-,2.14,5.85,2.14,USD,"Mar 01, 1999","Mar 01, 1999"
VERIZON COMMUNICATIONS INC 144A,Corporates,Fixed Income,"56,256.74",0.04,"56,256.74","50,000.00",92343VET7,US92343VET70,BJLZYC6,112.2,United States,-,USD,6.72,2.32,1.0,"Dec 03, 2029",4.02,6.84,-,2.27,6.65,2.27,USD,"Feb 28, 2019","Feb 28, 2019"
WALMART INC,Corporates,Fixed Income,"41,929.17",0.03,"41,929.17","40,000.00",931142EQ2,US931142EQ27,-,104.18,United States,-,USD,6.91,1.79,1.0,"Sep 24, 2029",2.38,7.02,-,1.78,6.81,1.78,USD,"Sep 24, 2019","Sep 24, 2019"
QORVO INC,Corporates,Fixed Income,"32,321.58",0.02,"32,321.58","30,000.00",74736KAH4,US74736KAH41,-,106.82,United States,-,USD,3.98,3.37,1.0,"Oct 15, 2029",4.38,6.56,-,2.59,2.61,2.59,USD,"Apr 15, 2020","Aug 21, 2020"
BANK OF NEW YORK MELLON CORP/THE MTN,Corporates,Fixed Income,"24,969.08",0.02,"24,969.08","25,000.00",06406RAZ0,US06406RAZ01,-,99.53,United States,-,USD,6.51,1.97,1.0,"Jan 25, 2029",1.9,6.56,-,1.97,6.56,1.97,USD,"Oct 25, 2021","Oct 25, 2021"
T-MOBILE USA INC 144A,Corporates,Fixed Income,"15,186.10",0.01,"15,186.10","15,000.00",87264ACR4,US87264ACR41,-,101.07,United States,-,USD,6.54,2.24,1.0,"Mar 15, 2029",2.4,6.58,-,2.23,6.44,2.23,USD,"Dec 06, 2021","Dec 06, 2021"
USD CASH,Cash and/or Derivatives,Cash,"1,564.14",0.0,"1,564.14","1,564.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
