,,,,,,,,,,,,,,,,,,,,,,,,,,iShares International High Yield Bond ETF
FAURECIA RegS,Consumer Cyclical,Fixed Income,"116,536.81",0.17,"116,536.81","100,000.00",-,XS1963830002,BJDRF83,116.39,France,-,USD,0.5,2.58,0.88,"Jun 15, 2026",3.13,4.14,-,1.39,0.46,1.39,EUR,"Mar 27, 2019","Mar 27, 2019"
PAPREC HOLDING SA RegS,Capital Goods,Fixed Income,"116,476.74",0.17,"116,476.74","100,000.00",-,XS2349786835,-,115.16,France,-,USD,4.88,3.35,0.88,"Jul 01, 2028",3.5,5.71,-,3.28,4.09,3.28,EUR,"Jul 02, 2021","Jul 02, 2021"
FORD MOTOR CREDIT COMPANY LLC,Consumer Cyclical,Fixed Income,"116,390.88",0.17,"116,390.88","100,000.00",-,XS2013574202,BKC9M42,114.9,United States,-,USD,1.12,0.59,0.88,"Feb 17, 2023",1.51,1.11,-,0.59,1.11,0.59,EUR,"Jun 17, 2019","Jun 17, 2019"
FORD MOTOR CREDIT COMPANY LLC MTN,Consumer Cyclical,Fixed Income,"116,305.03",0.17,"116,305.03","100,000.00",-,XS2116728895,BKLBFW8,115.41,United States,-,USD,2.51,1.15,0.88,"Jul 19, 2024",1.74,2.47,-,1.15,2.47,1.15,EUR,"Feb 20, 2020","Feb 20, 2020"
MYTILINEOS FINANCIAL PARTNERS SA RegS,Electric,Fixed Income,"116,223.42",0.17,"116,223.42","100,000.00",-,XS2010038144,-,115.99,Luxembourg,-,USD,2.48,1.79,0.88,"Dec 01, 2024",2.5,2.8,-,1.65,2.34,1.65,EUR,"Nov 29, 2019","Nov 29, 2019"
VIDEOTRON LTD 144A,Communications,Fixed Income,"116,187.73",0.17,"116,187.73","150,000.00",92660FAP9,CA92660FAP95,-,77.33,Canada,-,USD,5.74,4.04,1.26,"Jun 15, 2028",3.63,5.68,-,4.04,5.68,4.04,CAD,"Jun 17, 2021","Jun 17, 2021"
AXALTA COATING SYSTEMS DUTCH HOLDI RegS,Basic Industry,Fixed Income,"116,141.46",0.17,"116,141.46","100,000.00",-,XS1492656787,BD8GF61,114.19,United States,-,USD,1.6,3.69,0.88,"Jan 15, 2025",3.75,2.8,-,3.52,1.0,3.52,EUR,"Sep 27, 2016","Sep 27, 2016"
GOODYEAR EUROPE BV RegS,Consumer Cyclical,Fixed Income,"116,072.28",0.17,"116,072.28","100,000.00",-,XS2390510142,BP6QDH4,115.27,United States,-,USD,4.83,2.54,0.88,"Aug 15, 2028",2.75,5.99,-,2.45,4.29,2.45,EUR,"Sep 28, 2021","Sep 28, 2021"
BANCA IFIS SPA MTN RegS,Finance Companies,Fixed Income,"116,024.86",0.17,"116,024.86","100,000.00",-,XS1810960390,BZ57FQ1,114.46,Italy,-,USD,1.3,1.49,0.88,"Apr 24, 2023",2.0,1.27,-,1.49,1.27,1.49,EUR,"Apr 24, 2018","Apr 24, 2018"
AIB GROUP PLC MTN RegS,Banking,Fixed Income,"115,931.30",0.17,"115,931.30","100,000.00",-,XS2080767010,BKRRMG3,115.69,Ireland,-,USD,2.84,1.82,0.88,"Nov 19, 2029",1.88,2.76,-,1.26,2.81,1.26,EUR,"Nov 19, 2019","Nov 19, 2019"
PUBLIC POWER CORPORATION SA RegS,Owned No Guarantee,Fixed Income,"115,879.21",0.17,"115,879.21","100,000.00",-,XS2359929812,-,114.18,Greece,-,USD,5.04,3.30,0.88,"Jul 31, 2028",3.38,5.78,-,3.27,4.16,3.27,EUR,"Jul 21, 2021","Jul 21, 2021"
BAYER AG NC8 RegS,Consumer Non-Cyclical,Fixed Income,"115,859.04",0.17,"115,859.04","100,000.00",-,XS2077670342,BK8J9T0,115.38,Germany,-,USD,5.23,3.46,0.88,"Nov 12, 2079",3.13,5.04,-,2.84,5.15,2.84,EUR,"Nov 12, 2019","Nov 12, 2019"
DARLING GLOBAL FINANCE BV RegS,Consumer Non-Cyclical,Fixed Income,"115,842.53",0.17,"115,842.53","100,000.00",-,XS1813579593,BD9C1R1,115.33,United States,-,USD,0.5,3.30,0.88,"May 15, 2026",3.63,4.0,-,2.25,0.37,2.25,EUR,"May 02, 2018","May 02, 2018"
UNITED GROUP BV RegS,Communications,Fixed Income,"115,800.52",0.17,"115,800.52","100,000.00",-,XS2010027881,-,113.51,Netherlands,-,USD,5.15,4.71,0.88,"Aug 15, 2028",4.63,5.54,-,4.71,5.54,4.71,EUR,"Jul 23, 2021","Jul 23, 2021"
BALL CORPORATION,Capital Goods,Fixed Income,"115,799.50",0.17,"115,799.50","100,000.00",-,XS2080318053,-,114.95,United States,-,USD,4.91,1.28,0.88,"Mar 15, 2027",1.5,4.96,-,1.27,4.74,1.27,EUR,"Nov 18, 2019","Nov 18, 2019"
CHEMOURS COMPANY,Basic Industry,Fixed Income,"115,736.82",0.17,"115,736.82","100,000.00",-,XS1827600724,BDGH0J4,115.17,United States,-,USD,2.78,3.68,0.88,"May 15, 2026",4.0,3.97,-,3.44,2.24,3.44,EUR,"Jun 06, 2018","Jun 06, 2018"
ZF EUROPE FINANCE BV RegS,Consumer Cyclical,Fixed Income,"115,712.96",0.17,"115,712.96","100,000.00",-,XS2010039977,-,115.18,Germany,-,USD,5.39,2.26,0.88,"Oct 23, 2027",2.5,5.34,-,2.25,5.13,2.25,EUR,"Oct 23, 2019","Oct 23, 2019"
EIRCOM FINANCE DAC RegS,Communications,Fixed Income,"115,665.43",0.17,"115,665.43","100,000.00",-,XS1991034825,BJRFC82,115.17,Ireland,-,USD,2.79,3.21,0.88,"May 15, 2026",3.5,4.02,-,3.21,4.02,3.21,EUR,"May 13, 2019","May 13, 2019"
NEXI SPA RegS,Technology,Fixed Income,"115,661.14",0.17,"115,661.14","100,000.00",-,XS2066703989,-,115.33,Italy,-,USD,2.63,1.24,0.88,"Oct 31, 2024",1.75,2.75,-,1.20,2.52,1.20,EUR,"Oct 21, 2019","Oct 21, 2019"
NGG FINANCE PLC RegS,Electric,Fixed Income,"115,618.17",0.17,"115,618.17","100,000.00",-,XS2010045511,BKT6RH4,114.84,United Kingdom,-,USD,5.16,2.88,0.88,"Sep 05, 2082",2.13,4.97,-,1.93,5.11,1.93,EUR,"Sep 05, 2019","Sep 05, 2019"
BANCA MONTE DEI PASCHI DI SIENA SP MTN RegS,Banking,Fixed Income,"115,617.50",0.17,"115,617.50","100,000.00",-,XS2110110686,BKLWB89,113.6,Italy,-,USD,3.18,2.63,0.88,"Apr 28, 2025",2.63,3.09,-,2.63,3.09,2.63,EUR,"Jan 28, 2020","Jan 28, 2020"
FORD MOTOR CREDIT COMPANY LLC MTN,Consumer Cyclical,Fixed Income,"115,614.95",0.17,"115,614.95","100,000.00",-,XS1767930586,BYWB1B6,114.23,United States,-,USD,3.03,1.21,0.88,"Feb 07, 2025",1.36,2.99,-,1.21,2.99,1.21,EUR,"Feb 07, 2018","Feb 07, 2018"
ALBION FINANCING 1 SARL RegS,Industrial Other,Fixed Income,"115,587.53",0.17,"115,587.53","100,000.00",-,XS2399700959,-,114.46,Luxembourg,-,USD,3.92,5.09,0.88,"Oct 15, 2026",5.25,4.15,-,5.06,3.37,5.06,EUR,"Oct 22, 2021","Oct 22, 2021"
KAIXO BONDCO TELECOM SAU RegS,Communications,Fixed Income,"115,503.11",0.17,"115,503.11","100,000.00",-,XS2397198487,BNVT3N0,114.23,Spain,-,USD,5.58,5.13,0.88,"Sep 30, 2029",5.13,6.26,-,5.10,4.12,5.10,EUR,"Oct 13, 2021","Oct 13, 2021"
INFRASTRUTTURE WIRELESS ITALIANE S MTN RegS,Communications,Fixed Income,"115,433.66",0.17,"115,433.66","100,000.00",-,XS2244936659,-,115.07,Italy,-,USD,6.42,1.44,0.88,"Oct 21, 2028",1.63,6.39,-,1.43,6.18,1.43,EUR,"Oct 21, 2020","Oct 21, 2020"
INTRUM JUSTITIA AB RegS,Financial Other,Fixed Income,"115,409.72",0.17,"115,409.72","100,000.00",-,XS1634532748,BF3NNW3,113.78,Sweden,-,USD,1.14,3.13,0.88,"Jul 15, 2024",3.13,2.39,-,3.05,0.53,3.05,EUR,"Jun 26, 2017","Jun 26, 2017"
BANCO COMERCIAL PORTUGUES SA MTN RegS,Banking,Fixed Income,"115,409.56",0.17,"115,409.56","100,000.00",-,PTBCPWOM0034,BD3JBS9,115.07,Portugal,-,USD,0.94,4.08,0.88,"Dec 07, 2027",4.5,0.82,-,3.13,0.92,3.13,EUR,"Dec 07, 2017","Dec 07, 2017"
UNICAJA BANCO SA RegS,Banking,Fixed Income,"115,375.98",0.17,"115,375.98","100,000.00",-,ES0280907017,-,114.95,Spain,-,USD,2.79,2.88,0.88,"Nov 13, 2029",2.88,2.68,-,2.49,2.75,2.49,EUR,"Nov 13, 2019","Nov 13, 2019"
COTY INC RegS,Consumer Non-Cyclical,Fixed Income,"115,366.57",0.17,"115,366.57","100,000.00",-,XS1801788305,BFYMYK4,114.24,United States,-,USD,3.0,4.59,0.88,"Apr 15, 2026",4.75,3.81,-,4.47,2.13,4.47,EUR,"Apr 05, 2018","Apr 05, 2018"
BANCO DE SABADELL SA MTN RegS,Banking,Fixed Income,"115,352.19",0.17,"115,352.19","100,000.00",-,XS2055190172,-,114.37,Spain,-,USD,3.18,0.94,0.88,"Mar 27, 2025",1.13,3.14,-,0.94,3.14,0.94,EUR,"Sep 27, 2019","Sep 27, 2019"
VIRGIN MEDIA FINANCE PLC RegS,Communications,Fixed Income,"115,355.44",0.17,"115,355.44","100,000.00",-,XS2189766970,-,113.4,United Kingdom,-,USD,6.42,3.79,0.88,"Jul 15, 2030",3.75,7.13,-,3.79,7.13,3.79,EUR,"Jun 22, 2020","Jun 22, 2020"
RENAULT SA MTN RegS,Consumer Cyclical,Fixed Income,"115,327.54",0.17,"115,327.54","100,000.00",-,FR0013240835,BDZTV76,114.4,France,-,USD,0.94,0.49,0.88,"Mar 08, 2023",1.0,1.17,-,0.36,0.94,0.36,EUR,"Mar 08, 2017","Mar 08, 2017"
DKT FINANCE APS RegS,Communications,Fixed Income,"115,213.32",0.17,"115,213.32","100,000.00",-,XS1841967356,BDFWXB3,114.93,Denmark,-,USD,0.46,6.33,0.88,"Jun 17, 2023",7.0,1.37,-,4.71,0.45,4.71,EUR,"Jul 02, 2018","Jul 02, 2018"
SILGAN HOLDINGS INC,Capital Goods,Fixed Income,"115,178.93",0.17,"115,178.93","100,000.00",-,XS1725581190,BDDX3R4,114.1,United States,-,USD,0.2,3.14,0.88,"Mar 15, 2025",3.25,3.0,-,1.62,0.21,1.62,EUR,"Sep 15, 2017","Jan 11, 2018"
PICARD GROUPE SAS RegS,Consumer Non-Cyclical,Fixed Income,"115,135.82",0.17,"115,135.82","100,000.00",-,XS2361342889,-,114.95,France,-,USD,3.64,3.64,0.88,"Jul 01, 2026",3.88,4.1,-,3.57,3.25,3.57,EUR,"Jul 07, 2021","Jul 07, 2021"
IQVIA INC RegS,Consumer Non-Cyclical,Fixed Income,"115,130.27",0.17,"115,130.27","100,000.00",-,XS1684387456,BF2PPF7,114.18,United States,-,USD,1.16,2.76,0.88,"Sep 15, 2025",2.88,3.47,-,2.30,0.69,2.30,EUR,"Sep 14, 2017","Sep 14, 2017"
RENAULT SA MTN RegS,Consumer Cyclical,Fixed Income,"115,119.00",0.17,"115,119.00","100,000.00",-,FR0014002OL8,-,112.99,France,-,USD,5.72,2.61,0.88,"Apr 01, 2028",2.5,5.61,-,2.61,5.61,2.61,EUR,"Apr 01, 2021","Apr 01, 2021"
IQVIA INC RegS,Consumer Non-Cyclical,Fixed Income,"115,101.06",0.17,"115,101.06","100,000.00",-,XS2305742434,-,114.52,United States,-,USD,2.95,1.58,0.88,"Mar 15, 2026",1.75,4.02,-,1.52,3.1,1.52,EUR,"Mar 03, 2021","Mar 03, 2021"
ZF FINANCE GMBH MTN RegS,Consumer Cyclical,Fixed Income,"115,094.12",0.17,"115,094.12","100,000.00",-,XS2338564870,BL6KF49,113.61,Germany,-,USD,5.0,2.02,0.88,"May 06, 2027",2.0,4.96,-,2.02,4.75,2.02,EUR,"May 06, 2021","May 06, 2021"
AVIS BUDGET FINANCE PLC RegS,Transportation,Fixed Income,"115,073.98",0.17,"115,073.98","100,000.00",-,XS1496337236,BDF5914,114.49,United States,-,USD,1.12,3.93,0.88,"Nov 15, 2024",4.13,2.68,-,3.52,0.85,3.52,EUR,"Sep 26, 2016","Sep 26, 2016"
OLYMPUS WATER US HOLDINGS CORP RegS,Basic Industry,Fixed Income,"115,073.55",0.17,"115,073.55","100,000.00",-,XS2391351454,-,113.97,United States,-,USD,5.35,3.89,0.88,"Oct 01, 2028",3.88,5.83,-,3.89,5.83,3.89,EUR,"Oct 01, 2021","Oct 01, 2021"
CONSTELLIUM SE (FRANCE) RegS,Basic Industry,Fixed Income,"115,031.25",0.17,"115,031.25","100,000.00",-,XS2335148024,-,112.98,United States,-,USD,5.84,3.30,0.88,"Jul 15, 2029",3.13,6.54,-,3.30,6.54,3.30,EUR,"Jun 02, 2021","Jun 02, 2021"
ESSELUNGA SPA RegS,Consumer Non-Cyclical,Fixed Income,"115,028.30",0.17,"115,028.30","100,000.00",-,XS1706921951,BF2K5K7,114.85,Italy,-,USD,1.59,0.33,0.88,"Oct 25, 2023",0.88,1.8,-,0.24,1.56,0.24,EUR,"Oct 25, 2017","Oct 25, 2017"
WP/AP TELECOM HOLDINGS IV BV RegS,Communications,Fixed Income,"115,028.98",0.17,"115,028.98","100,000.00",-,XS2417090789,-,114.94,Netherlands,-,USD,5.28,3.51,0.88,"Jan 15, 2029",3.75,6.15,-,3.42,4.56,3.42,EUR,"Dec 23, 2021","Dec 23, 2021"
VALEO SA MTN RegS,Consumer Cyclical,Fixed Income,"114,993.38",0.17,"114,993.38","100,000.00",-,FR0013230943,BD76487,114.3,France,-,USD,0.78,0.13,0.88,"Jan 11, 2023",0.63,1.02,-,-0.03,0.78,-0.03,EUR,"Jan 11, 2017","Jan 11, 2017"
EL CORTE INGLES SA RegS,Consumer Cyclical,Fixed Income,"114,970.92",0.17,"114,970.92","100,000.00",-,XS1886543476,BD2PF31,114.26,Spain,-,USD,0.89,2.80,0.88,"Mar 15, 2024",3.0,2.11,-,2.40,0.78,2.40,EUR,"Oct 08, 2018","Oct 08, 2018"
ICCREA BANCA ISTITUTO CENTRALE DEL MTN RegS,Banking,Fixed Income,"114,935.84",0.17,"114,935.84","100,000.00",-,XS2239094936,-,114.43,Italy,-,USD,2.69,2.06,0.88,"Oct 20, 2025",2.25,2.7,-,2.01,2.71,2.01,EUR,"Oct 20, 2020","Oct 20, 2020"
CHROME BIDCO SAS RegS,Consumer Non-Cyclical,Fixed Income,"114,866.63",0.17,"114,866.63","100,000.00",-,XS2343000241,-,114.54,France,-,USD,4.96,3.42,0.88,"May 31, 2028",3.5,5.69,-,3.38,4.05,3.38,EUR,"May 24, 2021","May 24, 2021"
SPCM SA RegS,Basic Industry,Fixed Income,"114,842.69",0.17,"114,842.69","100,000.00",-,XS2234516164,BMG6YL4,114.71,France,-,USD,4.53,2.51,0.88,"Feb 01, 2029",2.63,6.43,-,2.39,3.51,2.39,EUR,"Sep 24, 2020","Sep 24, 2020"
LOXAM SAS RegS,Capital Goods,Fixed Income,"114,747.37",0.17,"114,747.37","100,000.00",-,XS2031870921,BKDK0Z1,113.67,France,-,USD,2.13,3.19,0.88,"Jan 14, 2025",3.25,2.85,-,3.11,1.48,3.11,EUR,"Jul 22, 2019","Jul 22, 2019"
VERALLIA SAS RegS,Capital Goods,Fixed Income,"114,692.63",0.17,"114,692.63","100,000.00",-,FR0014006EG0,-,114.4,France,-,USD,9.01,1.81,0.88,"Nov 10, 2031",1.88,8.91,-,1.81,8.71,1.81,EUR,"Nov 10, 2021","Nov 10, 2021"
BANCO DE SABADELL SA MTN RegS,Banking,Fixed Income,"114,677.57",0.17,"114,677.57","100,000.00",-,XS2286011528,-,112.65,Spain,-,USD,3.84,2.85,0.88,"Apr 15, 2031",2.5,3.93,-,2.89,3.78,2.89,EUR,"Jan 15, 2021","Jan 15, 2021"
SOFIMA HOLDING SPA RegS,Capital Goods,Fixed Income,"114,663.59",0.17,"114,663.59","100,000.00",-,XS2275090749,BN4GB45,112.71,Italy,-,USD,4.21,3.96,0.88,"Jan 15, 2028",3.75,5.26,-,3.96,5.26,3.96,EUR,"Dec 29, 2020","Dec 29, 2020"
REXEL SA RegS,Capital Goods,Fixed Income,"114,664.70",0.17,"114,664.70","100,000.00",-,XS2403428472,BMF0K64,114.33,France,-,USD,5.35,2.05,0.88,"Dec 15, 2028",2.13,6.42,-,2.02,4.67,2.02,EUR,"Nov 10, 2021","Nov 10, 2021"
PICARD BONDCO SA RegS,Consumer Non-Cyclical,Fixed Income,"114,628.68",0.17,"114,628.68","100,000.00",-,XS2361344315,-,114.37,France,-,USD,4.33,5.26,0.88,"Jul 01, 2027",5.38,4.7,-,5.22,3.55,5.22,EUR,"Jul 07, 2021","Jul 07, 2021"
BWAY HOLDING CO RegS,Capital Goods,Fixed Income,"114,612.92",0.17,"114,612.92","100,000.00",-,XS1851302312,BD6JMF0,113.49,United States,-,USD,0.08,22.32,0.88,"Apr 15, 2024",4.75,0.08,-,22.32,0.08,22.32,EUR,"Jul 12, 2018","Jul 12, 2018"
NGG FINANCE PLC RegS,Electric,Fixed Income,"114,580.20",0.17,"114,580.20","100,000.00",-,XS2010044977,-,114.45,United Kingdom,-,USD,2.89,2.60,0.88,"Dec 05, 2079",1.63,2.46,-,1.40,2.86,1.40,EUR,"Sep 05, 2019","Sep 05, 2019"
IBERCAJA BANCO SA RegS,Banking,Fixed Income,"114,578.09",0.17,"114,578.09","100,000.00",-,ES0244251015,-,113.2,Spain,-,USD,3.41,2.89,0.88,"Jul 23, 2030",2.75,3.29,-,2.89,3.35,2.89,EUR,"Jan 23, 2020","Jan 23, 2020"
CGG SA RegS,Energy,Fixed Income,"114,570.53",0.17,"114,570.53","100,000.00",-,XS2324372270,-,112.73,France,-,USD,4.17,8.10,0.88,"Apr 01, 2027",7.75,4.18,-,8.10,4.18,8.10,EUR,"Apr 01, 2021","Apr 01, 2021"
BALL CORPORATION,Capital Goods,Fixed Income,"114,563.80",0.17,"114,563.80","100,000.00",-,XS2080317832,-,114.07,United States,-,USD,2.06,0.73,0.88,"Mar 15, 2024",0.88,2.17,-,0.71,1.93,0.71,EUR,"Nov 18, 2019","Nov 18, 2019"
REXEL SA RegS,Capital Goods,Fixed Income,"114,548.01",0.17,"114,548.01","100,000.00",-,XS2332306344,-,114.45,France,-,USD,4.83,2.03,0.88,"Jun 15, 2028",2.13,6.0,-,1.98,4.23,1.98,EUR,"May 05, 2021","May 05, 2021"
ICCREA BANCA ISTITUTO CENTRALE DEL MTN RegS,Banking,Fixed Income,"114,471.63",0.17,"114,471.63","100,000.00",-,XS2084827935,BL0L6M3,114.05,Italy,-,USD,2.8,4.17,0.88,"Nov 28, 2029",4.13,2.65,-,3.89,2.74,3.89,EUR,"Nov 28, 2019","Nov 28, 2019"
INEOS QUATTRO FINANCE 2 PLC RegS,Basic Industry,Fixed Income,"114,331.52",0.17,"114,331.52","100,000.00",-,XS2291929573,-,113.03,United Kingdom,-,USD,3.55,2.66,0.88,"Jan 15, 2026",2.5,3.77,-,2.66,3.77,2.66,EUR,"Jan 29, 2021","Jan 29, 2021"
NIDDA BONDCO GMBH RegS,Consumer Non-Cyclical,Fixed Income,"114,308.84",0.17,"114,308.84","100,000.00",-,XS1690645129,BD814D6,112.89,Germany,-,USD,2.9,5.39,0.88,"Sep 30, 2025",5.0,3.33,-,5.39,3.33,5.39,EUR,"Sep 29, 2017","Sep 29, 2017"
ALPHA BANK SA MTN RegS,Banking,Fixed Income,"114,304.91",0.17,"114,304.91","100,000.00",-,XS2111230285,-,110.05,Greece,-,USD,2.89,4.89,0.88,"Feb 13, 2030",4.25,2.72,-,5.39,2.8,5.39,EUR,"Feb 13, 2020","Feb 13, 2020"
VMED O2 UK FINANCING I PLC RegS,Communications,Fixed Income,"114,272.08",0.17,"114,272.08","100,000.00",-,XS2231188876,BM9C1K7,112.58,United Kingdom,-,USD,7.01,3.38,0.88,"Jan 31, 2031",3.25,7.68,-,3.38,7.68,3.38,EUR,"Sep 24, 2020","Sep 24, 2020"
TEVA PHARMACEUTICAL FINANCE NETHER RegS,Consumer Non-Cyclical,Fixed Income,"114,244.78",0.17,"114,244.78","100,000.00",-,XS1211040917,BWK1Q19,113.17,Israel,-,USD,0.99,1.72,0.88,"Mar 31, 2023",1.25,0.98,-,1.72,0.98,1.72,EUR,"Mar 31, 2015","Mar 31, 2015"
SHERWOOD FINANCING PLC RegS,Brokerage/Asset Managers/Exchanges,Fixed Income,"114,225.05",0.17,"114,225.05","100,000.00",-,XS2010027022,-,113.48,United Kingdom,-,USD,4.14,4.55,0.88,"Nov 15, 2026",4.5,4.3,-,4.55,4.3,4.55,EUR,"Nov 08, 2021","Nov 08, 2021"
INTERNATIONAL CONSOLIDATED AIRLINE RegS,Transportation,Fixed Income,"114,213.98",0.17,"114,213.98","100,000.00",-,XS2322423539,-,110.93,United Kingdom,-,USD,6.26,4.15,0.88,"Mar 25, 2029",3.75,6.02,-,4.15,6.02,4.15,EUR,"Mar 25, 2021","Mar 25, 2021"
RENAULT SA MTN RegS,Consumer Cyclical,Fixed Income,"114,169.55",0.17,"114,169.55","100,000.00",-,FR0013329315,BFWS039,113.37,France,-,USD,2.21,1.14,0.88,"Apr 18, 2024",1.0,2.24,-,1.14,2.24,1.14,EUR,"Apr 18, 2018","Apr 18, 2018"
CROWN EUROPEAN HOLDINGS SA RegS,Capital Goods,Fixed Income,"114,159.24",0.17,"114,159.24","100,000.00",-,XS2071622216,-,113.84,United States,-,USD,1.08,0.66,0.88,"Feb 15, 2023",0.75,1.12,-,0.65,1.04,0.65,EUR,"Oct 31, 2019","Oct 31, 2019"
RENAULT SA MTN RegS,Consumer Cyclical,Fixed Income,"114,158.96",0.17,"114,158.96","100,000.00",-,FR0014006W65,-,113.93,France,-,USD,5.06,2.46,0.88,"Jun 02, 2027",2.5,5.0,-,2.46,4.79,2.46,EUR,"Dec 02, 2021","Dec 02, 2021"
INFRASTRUTTURE WIRELESS ITALIANE S MTN RegS,Communications,Fixed Income,"114,151.97",0.17,"114,151.97","100,000.00",-,XS2332687040,-,112.76,Italy,-,USD,8.51,1.85,0.88,"Apr 19, 2031",1.75,8.4,-,1.85,8.4,1.85,EUR,"Apr 19, 2021","Apr 19, 2021"
EIRCOM FINANCE DAC RegS,Communications,Fixed Income,"114,120.53",0.17,"114,120.53","100,000.00",-,XS2063288943,-,113.79,Ireland,-,USD,2.21,1.73,0.88,"Nov 01, 2024",1.75,2.75,-,1.72,1.79,1.72,EUR,"Oct 22, 2019","Oct 22, 2019"
CHROME HOLDCO SAS RegS,Consumer Non-Cyclical,Fixed Income,"114,112.33",0.17,"114,112.33","100,000.00",-,XS2343001991,-,113.64,France,-,USD,5.44,5.06,0.88,"May 31, 2029",5.0,6.11,-,5.06,6.11,5.06,EUR,"May 24, 2021","May 24, 2021"
BANCA POPOLARE DI SONDRIO SCPA MTN RegS,Banking,Fixed Income,"114,106.34",0.17,"114,106.34","100,000.00",-,XS2411537033,-,113.67,Italy,-,USD,4.55,3.93,0.88,"Feb 25, 2032",3.88,4.6,-,3.88,4.46,3.88,EUR,"Nov 25, 2021","Nov 25, 2021"
FAURECIA SE RegS,Consumer Cyclical,Fixed Income,"114,077.39",0.17,"114,077.39","100,000.00",-,XS2081474046,-,113.97,France,-,USD,4.08,2.35,0.88,"Jun 15, 2027",2.38,5.09,-,2.32,3.3,2.32,EUR,"Nov 27, 2019","Nov 27, 2019"
SILGAN HOLDINGS INC,Capital Goods,Fixed Income,"114,030.36",0.17,"114,030.36","100,000.00",-,XS2181577268,BMWVTW9,112.86,United States,-,USD,4.74,2.38,0.88,"Jun 01, 2028",2.25,5.88,-,2.38,5.88,2.38,EUR,"Jul 15, 2020","Jul 22, 2020"
DEUTSCHE LUFTHANSA AG RegS,Transportation,Fixed Income,"114,022.94",0.17,"114,022.94","100,000.00",-,XS2363235107,-,112.17,Germany,-,USD,6.62,3.71,0.88,"Jul 14, 2029",3.5,6.4,-,3.71,6.4,3.71,EUR,"Jul 14, 2021","Jul 14, 2021"
MYTILINEOS SA RegS,Electric,Fixed Income,"113,975.87",0.17,"113,975.87","100,000.00",-,XS2337604479,-,113.55,Greece,-,USD,4.6,2.30,0.88,"Oct 30, 2026",2.25,4.54,-,2.30,4.54,2.30,EUR,"Apr 28, 2021","Apr 28, 2021"
ALTICE FRANCE SA (FRANCE) RegS,Communications,Fixed Income,"113,964.11",0.17,"113,964.11","100,000.00",-,XS2390152986,BMXJS36,112.82,France,-,USD,5.92,4.42,0.88,"Oct 15, 2029",4.25,6.5,-,4.42,6.5,4.42,EUR,"Oct 06, 2021","Oct 06, 2021"
INEOS FINANCE PLC RegS,Basic Industry,Fixed Income,"113,907.21",0.17,"113,907.21","100,000.00",-,XS1577947440,BZ1NMP1,113.61,Luxembourg,-,USD,2.17,2.15,0.88,"Nov 15, 2025",2.13,3.69,-,2.15,3.69,2.15,EUR,"Nov 03, 2017","Nov 03, 2017"
DEUTSCHE LUFTHANSA AG RegS,Transportation,Fixed Income,"113,857.54",0.17,"113,857.54","100,000.00",-,XS2363244513,-,112.8,Germany,-,USD,2.41,2.33,0.88,"Jul 14, 2024",2.0,2.42,-,2.33,2.36,2.33,EUR,"Jul 14, 2021","Jul 14, 2021"
CELLNEX TELECOM SA MTN RegS,Communications,Fixed Income,"113,844.30",0.17,"113,844.30","100,000.00",-,XS2193658619,-,112.75,Spain,-,USD,6.94,2.00,0.88,"Jun 26, 2029",1.88,6.85,-,2.00,6.85,2.00,EUR,"Jun 26, 2020","Jun 26, 2020"
JAGUAR LAND ROVER AUTOMOTIVE PLC RegS,Consumer Cyclical,Fixed Income,"113,772.55",0.17,"113,772.55","100,000.00",-,XS1551347393,BDR5978,112.63,United Kingdom,-,USD,2.0,2.69,0.88,"Jan 15, 2024",2.2,1.96,-,2.69,1.96,2.69,EUR,"Jan 17, 2017","Jan 17, 2017"
ELIS SA MTN RegS,Consumer Cyclical,Fixed Income,"113,759.09",0.17,"113,759.09","100,000.00",-,FR0013449972,BJLBK04,112.91,France,-,USD,3.16,1.22,0.88,"Apr 03, 2025",1.0,3.16,-,1.22,3.16,1.22,EUR,"Oct 03, 2019","Oct 03, 2019"
GRIFOLS SA RegS,Consumer Non-Cyclical,Fixed Income,"113,763.50",0.17,"113,763.50","100,000.00",-,XS2077646391,-,113.44,Spain,-,USD,4.16,2.31,0.88,"Nov 15, 2027",2.25,5.46,-,2.31,5.46,2.31,EUR,"Nov 15, 2019","Nov 15, 2019"
EDP - ENERGIAS DE PORTUGAL SA RegS,Electric,Fixed Income,"113,608.89",0.17,"113,608.89","100,000.00",-,PTEDPLOM0017,-,112.74,Portugal,-,USD,3.22,2.06,0.88,"Jul 20, 2080",1.7,3.1,-,1.97,3.42,1.97,EUR,"Jan 20, 2020","Jan 20, 2020"
ZF FINANCE GMBH MTN RegS,Consumer Cyclical,Fixed Income,"113,584.73",0.17,"113,584.73","100,000.00",-,XS2399851901,-,113.18,Germany,-,USD,5.91,2.33,0.88,"May 03, 2028",2.25,5.82,-,2.33,5.62,2.33,EUR,"Nov 03, 2021","Nov 03, 2021"
BRUNELLO BIDCO SPA RegS,Technology,Fixed Income,"113,465.51",0.17,"113,465.51","100,000.00",-,XS2295690742,BMFZ6Y9,112.63,Italy,-,USD,5.02,3.71,0.88,"Feb 15, 2028",3.5,5.42,-,3.71,5.42,3.71,EUR,"Feb 10, 2021","Feb 10, 2021"
